profile,scope,mode,view,method,operation,expected_campaigns,issued_campaigns,coverage,all_test_requests,issued_test_requests,observed_all,observed_issued,prediction,signed_error_pp,signed_error_pp_lower95,signed_error_pp_upper95,absolute_error_pp,absolute_error_pp_lower95,absolute_error_pp_upper95,brier_score,brier_score_lower95,brier_score_upper95,represented_strata,minimum_issued_campaigns_per_stratum,absolute_error_median_pp,absolute_error_p90_pp,absence_reasons
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,80,80,1.0,96000,96000,0.8916145833333333,0.8916145833333333,0.8928393005828477,0.12247172495142886,-0.3471854617679712,0.6085709825145702,2.014611955315015,1.7851020633846788,2.240328155356648,0.09533193482602965,0.09287075738213575,0.09768119894580288,8,10,1.8622675548154277,3.793581737441022,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,8,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_user_timeline,80,80,1.0,96000,96000,0.8610729166666666,0.8610729166666666,0.8603767693588676,-0.06961473077990557,-0.5111693597349425,0.3801856959478219,1.746620004163198,1.4875196450874275,2.0023658886691664,0.11829117292971927,0.11592560392179141,0.12074045982799107,8,10,1.4993408270885356,3.4021648626144954,{}
deathstarbench_social_network,current,full,all_sequence,B1,compose_post,80,65,0.8125,96000,78000,0.8916145833333333,0.8918664434523809,0.9287611717151847,3.6894728262803747,3.2006238038501036,4.157320748772067,3.796340850550501,3.3493104281722568,4.237201471225382,0.096610791850503,0.09351543373977057,0.09974456323488685,8,3,3.0629525859443674,7.48303450530911,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,B1,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,80,65,0.8125,96000,78000,0.8610729166666666,0.8603313492063491,0.9287611717151847,6.8429822508835505,6.380040036029613,7.315924797830335,6.8429822508835505,6.383722181408997,7.318976095825751,0.1235780233894116,0.12024802748805664,0.12696732341538686,8,3,6.591366185178171,10.078259363599738,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,80,65,0.8125,96000,78000,0.8916145833333333,0.8918664434523809,0.9145910120225855,2.272456857020455,1.751743164711689,2.7630768567160526,2.777724785236398,2.4345758713717998,3.1268592136245004,0.09556657006339757,0.09273813402782599,0.09847657201217477,8,3,2.5891088091420933,4.6149218580164515,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_user_timeline,80,65,0.8125,96000,78000,0.8610729166666666,0.8603313492063491,0.9145910120225855,5.425966281623631,4.939324506534965,5.8943748838020165,5.465601683303521,5.0034533978795555,5.931124363021277,0.12187006940532785,0.11869269561962026,0.12519309373800078,8,3,5.75456576523653,7.761406749306574,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,B3,compose_post,80,65,0.8125,96000,78000,0.8916145833333333,0.8918664434523809,0.9272283724205095,3.5361928968128566,3.077834467909154,3.988336047271859,3.58673909678033,3.159574778866226,4.0027767079412,0.096199348620716,0.09325949972668812,0.09927300996822273,8,3,3.1630310455144306,5.840360327518688,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,B3,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B3,read_user_timeline,80,65,0.8125,96000,78000,0.8610729166666666,0.8603313492063491,0.9272283724205095,6.689702321416032,6.2663014180290455,7.1243952819506005,6.689702321416032,6.277919181261201,7.120226631561431,0.12324428991754482,0.11994175368637212,0.1266902270734694,8,3,6.4345792746771995,8.826165925024682,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,B4,compose_post,80,65,0.8125,96000,78000,0.8916145833333333,0.8918664434523809,0.9092563791546264,1.7389935702245496,0.9501402644121533,2.4978377566795777,3.102292487006515,2.621356815263742,3.571536715578992,0.09588312545094488,0.09308260762779658,0.09873810761608715,8,3,2.645280720483967,5.296559378468366,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,B4,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B4,read_user_timeline,80,65,0.8125,96000,78000,0.8610729166666666,0.8603313492063491,0.9092563791546264,4.892502994827725,4.103030623118835,5.63806832056941,5.361120753339237,4.78546321689471,5.92254433867927,0.12183566767853223,0.11856834631177125,0.1250746653844113,8,3,4.89077085215296,8.354009947794625,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,proposed,compose_post,80,65,0.8125,96000,78000,0.8916145833333333,0.8918664434523809,0.9272283724205095,3.5361928968128566,3.0902426088944495,3.9924040697177663,3.58673909678033,3.1681119688792045,4.014320501769057,0.096199348620716,0.09320272396899086,0.09925941091612052,8,3,3.1630310455144306,5.840360327518688,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,all_sequence,proposed,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,proposed,read_user_timeline,80,65,0.8125,96000,78000,0.8610729166666666,0.8603313492063491,0.9272283724205095,6.689702321416032,6.271106292326967,7.114849346529883,6.689702321416032,6.270678077646847,7.127030167022097,0.12324428991754482,0.11997937008882968,0.12660204151675453,8,3,6.4345792746771995,8.826165925024682,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,full,stable,B0,compose_post,80,80,1.0,72396,72396,0.926931573077119,0.926931573077119,0.8928393005828477,-3.4092272494271403,-3.9295703260065826,-2.8829995072532992,3.4809332296390183,2.9783954402110684,3.9738286870727957,0.06786844091551784,0.06525977390580319,0.07055924727988107,8,10,3.000756904570978,7.302038149005086,{}
deathstarbench_social_network,current,full,stable,B0,read_home_timeline,80,80,1.0,72399,72399,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.7332212054762383e-07,8,10,0.04163197335553814,0.04163197335553814,{}
