campaign_id,profile,placement,failure_law,repetition,source_run_id,operation,all_sequence_requests,all_sequence_successes,all_sequence_availability,stable_requests,stable_successes,stable_availability
deathstarbench_social_network--colocated--N--r0,deathstarbench_social_network,colocated,N,0,33990678586,compose_post,1200,1139,0.9491666666666667,985,963,0.9776649746192894
deathstarbench_social_network--colocated--N--r0,deathstarbench_social_network,colocated,N,0,33990678586,read_home_timeline,1200,1200,1.0,972,972,1.0
deathstarbench_social_network--colocated--N--r0,deathstarbench_social_network,colocated,N,0,33990678586,read_user_timeline,1200,1084,0.9033333333333333,961,903,0.9396462018730489
deathstarbench_social_network--colocated--N--r1,deathstarbench_social_network,colocated,N,1,33990678586,compose_post,1200,1143,0.9525,1008,984,0.9761904761904762
deathstarbench_social_network--colocated--N--r1,deathstarbench_social_network,colocated,N,1,33990678586,read_home_timeline,1200,1200,1.0,992,992,1.0
deathstarbench_social_network--colocated--N--r1,deathstarbench_social_network,colocated,N,1,33990678586,read_user_timeline,1200,1116,0.93,1015,976,0.961576354679803
deathstarbench_social_network--colocated--N--r2,deathstarbench_social_network,colocated,N,2,33990678586,compose_post,1200,1136,0.9466666666666667,953,929,0.974816369359916
deathstarbench_social_network--colocated--N--r2,deathstarbench_social_network,colocated,N,2,33990678586,read_home_timeline,1200,1200,1.0,991,991,1.0
deathstarbench_social_network--colocated--N--r2,deathstarbench_social_network,colocated,N,2,33990678586,read_user_timeline,1200,1112,0.9266666666666666,973,923,0.9486125385405961
deathstarbench_social_network--colocated--N--r3,deathstarbench_social_network,colocated,N,3,33990678586,compose_post,1200,1142,0.9516666666666667,1021,994,0.9735553379040157
deathstarbench_social_network--colocated--N--r3,deathstarbench_social_network,colocated,N,3,33990678586,read_home_timeline,1200,1200,1.0,1007,1007,1.0
deathstarbench_social_network--colocated--N--r3,deathstarbench_social_network,colocated,N,3,33990678586,read_user_timeline,1200,1092,0.91,997,931,0.9338014042126379
deathstarbench_social_network--colocated--N--r4,deathstarbench_social_network,colocated,N,4,33990678586,compose_post,1200,1129,0.9408333333333333,987,957,0.9696048632218845
deathstarbench_social_network--colocated--N--r4,deathstarbench_social_network,colocated,N,4,33990678586,read_home_timeline,1200,1200,1.0,976,976,1.0
deathstarbench_social_network--colocated--N--r4,deathstarbench_social_network,colocated,N,4,33990678586,read_user_timeline,1200,1099,0.9158333333333334,955,898,0.9403141361256544
deathstarbench_social_network--colocated--N--r5,deathstarbench_social_network,colocated,N,5,33990678586,compose_post,1200,1141,0.9508333333333333,968,947,0.9783057851239669
deathstarbench_social_network--colocated--N--r5,deathstarbench_social_network,colocated,N,5,33990678586,read_home_timeline,1200,1200,1.0,980,980,1.0
deathstarbench_social_network--colocated--N--r5,deathstarbench_social_network,colocated,N,5,33990678586,read_user_timeline,1200,1101,0.9175,1001,948,0.9470529470529471
deathstarbench_social_network--colocated--N--r6,deathstarbench_social_network,colocated,N,6,33990678586,compose_post,1200,1158,0.965,973,964,0.9907502569373073
deathstarbench_social_network--colocated--N--r6,deathstarbench_social_network,colocated,N,6,33990678586,read_home_timeline,1200,1200,1.0,1003,1003,1.0
deathstarbench_social_network--colocated--N--r6,deathstarbench_social_network,colocated,N,6,33990678586,read_user_timeline,1200,1106,0.9216666666666666,990,939,0.9484848484848485
deathstarbench_social_network--colocated--N--r7,deathstarbench_social_network,colocated,N,7,33990678586,compose_post,1200,1133,0.9441666666666667,982,946,0.9633401221995926
deathstarbench_social_network--colocated--N--r7,deathstarbench_social_network,colocated,N,7,33990678586,read_home_timeline,1200,1200,1.0,975,975,1.0
deathstarbench_social_network--colocated--N--r7,deathstarbench_social_network,colocated,N,7,33990678586,read_user_timeline,1200,1091,0.9091666666666667,979,909,0.9284984678243106
deathstarbench_social_network--colocated--N--r8,deathstarbench_social_network,colocated,N,8,33990678586,compose_post,1200,1134,0.945,971,939,0.9670442842430484
deathstarbench_social_network--colocated--N--r8,deathstarbench_social_network,colocated,N,8,33990678586,read_home_timeline,1200,1200,1.0,959,959,1.0
deathstarbench_social_network--colocated--N--r8,deathstarbench_social_network,colocated,N,8,33990678586,read_user_timeline,1200,1091,0.9091666666666667,965,905,0.9378238341968912
deathstarbench_social_network--colocated--N--r9,deathstarbench_social_network,colocated,N,9,33990678586,compose_post,1200,1162,0.9683333333333334,1005,997,0.9920398009950249
deathstarbench_social_network--colocated--N--r9,deathstarbench_social_network,colocated,N,9,33990678586,read_home_timeline,1200,1200,1.0,1008,1008,1.0
deathstarbench_social_network--colocated--N--r9,deathstarbench_social_network,colocated,N,9,33990678586,read_user_timeline,1200,1122,0.935,1014,984,0.9704142011834319
deathstarbench_social_network--colocated--NC--r0,deathstarbench_social_network,colocated,NC,0,33990678586,compose_post,1200,1104,0.92,932,889,0.953862660944206
deathstarbench_social_network--colocated--NC--r0,deathstarbench_social_network,colocated,NC,0,33990678586,read_home_timeline,1200,1200,1.0,946,946,1.0
deathstarbench_social_network--colocated--NC--r0,deathstarbench_social_network,colocated,NC,0,33990678586,read_user_timeline,1200,1089,0.9075,950,894,0.9410526315789474
deathstarbench_social_network--colocated--NC--r1,deathstarbench_social_network,colocated,NC,1,33990678586,compose_post,1200,1073,0.8941666666666667,878,830,0.9453302961275627
deathstarbench_social_network--colocated--NC--r1,deathstarbench_social_network,colocated,NC,1,33990678586,read_home_timeline,1200,1200,1.0,884,884,1.0
deathstarbench_social_network--colocated--NC--r1,deathstarbench_social_network,colocated,NC,1,33990678586,read_user_timeline,1200,1027,0.8558333333333333,867,777,0.8961937716262975
deathstarbench_social_network--colocated--NC--r2,deathstarbench_social_network,colocated,NC,2,33990678586,compose_post,1200,1082,0.9016666666666666,869,835,0.9608745684695051
deathstarbench_social_network--colocated--NC--r2,deathstarbench_social_network,colocated,NC,2,33990678586,read_home_timeline,1200,1200,1.0,855,855,1.0
deathstarbench_social_network--colocated--NC--r2,deathstarbench_social_network,colocated,NC,2,33990678586,read_user_timeline,1200,1044,0.87,854,779,0.9121779859484778
deathstarbench_social_network--colocated--NC--r3,deathstarbench_social_network,colocated,NC,3,33990678586,compose_post,1200,1072,0.8933333333333333,853,803,0.9413833528722158
deathstarbench_social_network--colocated--NC--r3,deathstarbench_social_network,colocated,NC,3,33990678586,read_home_timeline,1200,1200,1.0,870,870,1.0
deathstarbench_social_network--colocated--NC--r3,deathstarbench_social_network,colocated,NC,3,33990678586,read_user_timeline,1200,1035,0.8625,867,787,0.9077277970011534
deathstarbench_social_network--colocated--NC--r4,deathstarbench_social_network,colocated,NC,4,33990678586,compose_post,1200,1106,0.9216666666666666,883,853,0.9660249150622876
deathstarbench_social_network--colocated--NC--r4,deathstarbench_social_network,colocated,NC,4,33990678586,read_home_timeline,1200,1200,1.0,898,898,1.0
deathstarbench_social_network--colocated--NC--r4,deathstarbench_social_network,colocated,NC,4,33990678586,read_user_timeline,1200,1059,0.8825,882,816,0.9251700680272109
deathstarbench_social_network--colocated--NC--r5,deathstarbench_social_network,colocated,NC,5,33990678586,compose_post,1200,1051,0.8758333333333334,873,807,0.9243986254295533
deathstarbench_social_network--colocated--NC--r5,deathstarbench_social_network,colocated,NC,5,33990678586,read_home_timeline,1200,1200,1.0,873,873,1.0
deathstarbench_social_network--colocated--NC--r5,deathstarbench_social_network,colocated,NC,5,33990678586,read_user_timeline,1200,1036,0.8633333333333333,895,799,0.8927374301675978
deathstarbench_social_network--colocated--NC--r6,deathstarbench_social_network,colocated,NC,6,33990678586,compose_post,1200,1093,0.9108333333333334,864,817,0.9456018518518519
