campaign_id,profile,placement,failure_law,repetition,operation,method,status,prediction,retained_native_development_sample,reason
deathstarbench_social_network--colocated--N--r0,deathstarbench_social_network,colocated,N,0,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r0,deathstarbench_social_network,colocated,N,0,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r0,deathstarbench_social_network,colocated,N,0,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r1,deathstarbench_social_network,colocated,N,1,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r1,deathstarbench_social_network,colocated,N,1,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r1,deathstarbench_social_network,colocated,N,1,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r2,deathstarbench_social_network,colocated,N,2,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r2,deathstarbench_social_network,colocated,N,2,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r2,deathstarbench_social_network,colocated,N,2,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r3,deathstarbench_social_network,colocated,N,3,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r3,deathstarbench_social_network,colocated,N,3,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r3,deathstarbench_social_network,colocated,N,3,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r4,deathstarbench_social_network,colocated,N,4,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r4,deathstarbench_social_network,colocated,N,4,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r4,deathstarbench_social_network,colocated,N,4,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r5,deathstarbench_social_network,colocated,N,5,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r5,deathstarbench_social_network,colocated,N,5,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r5,deathstarbench_social_network,colocated,N,5,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r6,deathstarbench_social_network,colocated,N,6,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r6,deathstarbench_social_network,colocated,N,6,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r6,deathstarbench_social_network,colocated,N,6,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r7,deathstarbench_social_network,colocated,N,7,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r7,deathstarbench_social_network,colocated,N,7,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r7,deathstarbench_social_network,colocated,N,7,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r8,deathstarbench_social_network,colocated,N,8,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r8,deathstarbench_social_network,colocated,N,8,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r8,deathstarbench_social_network,colocated,N,8,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r9,deathstarbench_social_network,colocated,N,9,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r9,deathstarbench_social_network,colocated,N,9,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--N--r9,deathstarbench_social_network,colocated,N,9,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--NC--r0,deathstarbench_social_network,colocated,NC,0,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--NC--r0,deathstarbench_social_network,colocated,NC,0,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--NC--r0,deathstarbench_social_network,colocated,NC,0,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--NC--r1,deathstarbench_social_network,colocated,NC,1,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--NC--r1,deathstarbench_social_network,colocated,NC,1,read_home_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--NC--r1,deathstarbench_social_network,colocated,NC,1,read_user_timeline,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
deathstarbench_social_network--colocated--NC--r2,deathstarbench_social_network,colocated,NC,2,compose_post,PMX,not_part_of_frozen_M7,,False,No independent PMX forecast in the immutable M7 analysis; later M9V development is separate.
