profile,placement,failure_law,repetition,qualification_seconds,raw_telemetry_bytes,raw_request_bytes,raw_health_bytes,all_source_bytes,learner_request_rows,health_ticks
opentelemetry_demo,colocated,ND,28,4.987190303000261,226336480,3090432,1248716,238254954,3840,900
opentelemetry_demo,colocated,ND,27,3.3006916569997884,223350189,3091654,1252465,235212152,3840,900
opentelemetry_demo,colocated,N,29,3.8591310259998863,232036255,3068898,1243493,243985475,3840,900
opentelemetry_demo,split,N,4,4.290845544999684,234684277,2991448,1217787,246508738,3840,901
opentelemetry_demo,split,ND,26,4.944883686000139,227099365,3032655,1226204,238736455,3840,900
opentelemetry_demo,split,N,7,3.573298569000144,233520847,2993281,1216437,245261833,3840,900
opentelemetry_demo,split,N,11,4.8123682559999,233982832,3007017,1221640,245849064,3840,900
opentelemetry_demo,split,N,9,5.318837247999909,233358406,2993901,1216904,245099373,3840,900
opentelemetry_demo,colocated,N,6,5.14992948400004,235266765,3051035,1239380,247224824,3840,900
opentelemetry_demo,colocated,N,1,4.677295302999937,235688344,3050276,1238394,247684673,3840,901
opentelemetry_demo,colocated,N,8,5.381320181000319,234033619,3052981,1239181,245992757,3840,900
opentelemetry_demo,split,N,24,4.902289009000015,233033799,3007619,1222428,244891448,3840,900
opentelemetry_demo,colocated,N,26,4.896417980000024,234274238,3065297,1242583,246338569,3840,900
opentelemetry_demo,colocated,ND,13,3.595415186000082,225182063,3093267,1250119,237013753,3840,900
opentelemetry_demo,colocated,ND,22,4.466911810000056,224394633,3092441,1252961,236249361,3840,900
opentelemetry_demo,split,N,20,5.470445558999927,237117849,3002475,1223869,249074902,3840,901
opentelemetry_demo,split,N,26,5.133377546999782,231336033,3008231,1221946,243154639,3840,901
opentelemetry_demo,colocated,N,5,4.753122173000065,237286259,3047110,1241571,249379382,3840,901
opentelemetry_demo,split,N,17,4.406442883000182,233480918,3010833,1222719,245231854,3840,900
opentelemetry_demo,colocated,N,27,4.058670302999872,234947171,3063053,1243488,247047528,3840,900
