,mode,p_fail,seed,R_avg,R_model,R_live,rounds,samples,R_ep_home_timeline,R_ep_user_timeline,R_ep_compose_post,dirname,error,error_pct
0,norepl,0.1,1,0.41766,0.41766,0.55679,450,500000,0.4232,0.54581,0.0,norepl-0.1-seed1,-0.13913000000000003,-24.987876937445
1,norepl,0.1,2,0.41822,0.41822,0.55454,450,500000,0.42426,0.54556,0.0,norepl-0.1-seed2,-0.13632000000000005,-24.58253687741192
2,norepl,0.1,3,0.41746,0.41746,0.55327,450,500000,0.42338,0.54478,0.0,norepl-0.1-seed3,-0.13581000000000004,-24.54678547544599
3,norepl,0.1,4,0.41814,0.41814,0.55496,450,500000,0.4242,0.54541,0.0,norepl-0.1-seed4,-0.13682,-24.6540291192158
4,norepl,0.1,5,0.41845,0.41845,0.55665,450,500000,0.42516,0.5445,0.0,norepl-0.1-seed5,-0.1382,-24.82709063145603
5,norepl,0.1,6,0.41796,0.41796,0.55537,450,500000,0.42385,0.54552,0.0,norepl-0.1-seed6,-0.13741000000000003,-24.742063849325678
6,norepl,0.1,7,0.41791,0.41791,0.56077,450,500000,0.4237,0.54563,0.0,norepl-0.1-seed7,-0.14286,-25.47568521853879
7,norepl,0.1,8,0.41781,0.41781,0.55488,450,500000,0.42411,0.54446,0.0,norepl-0.1-seed8,-0.13707000000000003,-24.7026384083045
8,norepl,0.1,9,0.4192,0.4192,0.55351,450,500000,0.4256,0.54615,0.0,norepl-0.1-seed9,-0.13430999999999993,-24.265144261169617
9,norepl,0.1,10,0.41881,0.41881,0.55698,450,500000,0.42489,0.54627,0.0,norepl-0.1-seed10,-0.13817000000000002,-24.806994865165716
10,norepl,0.1,11,0.41764,0.41764,0.55509,450,500000,0.42364,0.54485,0.0,norepl-0.1-seed11,-0.13744999999999996,-24.761750346790603
11,norepl,0.1,12,0.41807,0.41807,0.55252,450,500000,0.42353,0.54651,0.0,norepl-0.1-seed12,-0.13445000000000001,-24.333960761601393
12,norepl,0.1,13,0.41833,0.41833,0.55474,450,500000,0.4244,0.54562,0.0,norepl-0.1-seed13,-0.13641000000000003,-24.58989797022029
13,norepl,0.1,14,0.41844,0.41844,0.55135,450,500000,0.42467,0.54544,0.0,norepl-0.1-seed14,-0.13291000000000003,-24.1062845742269
14,norepl,0.1,15,0.41744,0.41744,0.55518,450,500000,0.42346,0.54454,0.0,norepl-0.1-seed15,-0.13774000000000003,-24.80997154076156
15,norepl,0.1,16,0.41759,0.41759,0.55333,450,500000,0.42331,0.54536,0.0,norepl-0.1-seed16,-0.13573999999999997,-24.531473081163135
16,norepl,0.1,17,0.4178,0.4178,0.54972,450,500000,0.42392,0.54481,0.0,norepl-0.1-seed17,-0.13191999999999998,-23.99767154187586
17,norepl,0.1,18,0.41872,0.41872,0.55227,450,500000,0.42492,0.54588,0.0,norepl-0.1-seed18,-0.13355000000000006,-24.182012421460527
18,norepl,0.1,19,0.41823,0.41823,0.55296,450,500000,0.42439,0.54531,0.0,norepl-0.1-seed19,-0.13473000000000002,-24.365234375000004
19,norepl,0.1,20,0.41833,0.41833,0.55179,450,500000,0.42411,0.54622,0.0,norepl-0.1-seed20,-0.13346000000000002,-24.18673770818609
20,norepl,0.1,21,0.41898,0.41898,0.5472,450,500000,0.42539,0.5458,0.0,norepl-0.1-seed21,-0.12822,-23.432017543859647
21,norepl,0.1,22,0.41837,0.41837,0.54991,450,500000,0.42468,0.54521,0.0,norepl-0.1-seed22,-0.13154,-23.920277863650412
22,norepl,0.1,23,0.41814,0.41814,0.55296,450,500000,0.42372,0.54635,0.0,norepl-0.1-seed23,-0.13482,-24.381510416666664
23,norepl,0.1,24,0.41897,0.41897,0.548,450,500000,0.42519,0.5462,0.0,norepl-0.1-seed24,-0.12903000000000003,-23.54562043795621
24,norepl,0.1,25,0.41876,0.41876,0.54845,450,500000,0.42466,0.54655,0.0,norepl-0.1-seed25,-0.12968999999999997,-23.646640532409513
25,norepl,0.3,1,0.16113,0.16113,0.18045,450,500000,0.14138,0.25435,0.0,norepl-0.3-seed1,-0.019320000000000004,-10.706566916043228
26,norepl,0.3,2,0.16116,0.16116,0.18066,450,500000,0.14165,0.25391,0.0,norepl-0.3-seed2,-0.01949999999999999,-10.79375622716705
27,norepl,0.3,3,0.1621,0.1621,0.17961,450,500000,0.14234,0.25564,0.0,norepl-0.3-seed3,-0.017509999999999998,-9.748900395300929
28,norepl,0.3,4,0.16068,0.16068,0.17904,450,500000,0.14059,0.25442,0.0,norepl-0.3-seed4,-0.018360000000000015,-10.254691689008052
29,norepl,0.3,5,0.16206,0.16206,0.17894,450,500000,0.14221,0.25577,0.0,norepl-0.3-seed5,-0.01687999999999998,-9.433329607689716
30,norepl,0.3,6,0.16158,0.16158,0.17869,450,500000,0.14168,0.25522,0.0,norepl-0.3-seed6,-0.017109999999999986,-9.575242039285907
31,norepl,0.3,7,0.1605,0.1605,0.1797,450,500000,0.14063,0.25373,0.0,norepl-0.3-seed7,-0.019199999999999995,-10.68447412353923
32,norepl,0.3,8,0.16153,0.16153,0.1781,450,500000,0.14191,0.25462,0.0,norepl-0.3-seed8,-0.01657,-9.303761931499158
33,norepl,0.3,9,0.16123,0.16123,0.17926,450,500000,0.14164,0.25417,0.0,norepl-0.3-seed9,-0.01802999999999999,-10.058016289188883
34,norepl,0.3,10,0.1619,0.1619,0.1806,450,500000,0.14257,0.25452,0.0,norepl-0.3-seed10,-0.018700000000000022,-10.354374307862692
35,norepl,0.3,11,0.16089,0.16089,0.17696,450,500000,0.14087,0.25456,0.0,norepl-0.3-seed11,-0.01607,-9.081148282097649
36,norepl,0.3,12,0.16111,0.16111,0.17622,450,500000,0.14125,0.25454,0.0,norepl-0.3-seed12,-0.015109999999999985,-8.574509136306881
37,norepl,0.3,13,0.16129,0.16129,0.17772,450,500000,0.14178,0.25409,0.0,norepl-0.3-seed13,-0.01643,-9.244879585865407
38,norepl,0.3,14,0.16114,0.16114,0.17943,450,500000,0.14123,0.25468,0.0,norepl-0.3-seed14,-0.01829,-10.19339018001449
39,norepl,0.3,15,0.16153,0.16153,0.17729,450,500000,0.14189,0.25467,0.0,norepl-0.3-seed15,-0.015759999999999996,-8.889390264538324
40,norepl,0.3,16,0.16095,0.16095,0.17491,450,500000,0.14095,0.25459,0.0,norepl-0.3-seed16,-0.01396,-7.981247498713624
