artifact_id,artifact_name,scope,measurement_present,wall_seconds,user_seconds,system_seconds,maximum_rss_bytes
10147301384,v3-comparison-pmx-extraction-controls-34465226083,timed extraction command/children; not total deployment resources,False,,,,
10165139821,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r0-34465226083,timed extraction command/children; not total deployment resources,True,88.31,67.75,2.8,2277318656.0
10165144545,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r1-34465226083,timed extraction command/children; not total deployment resources,True,86.7,67.94,2.94,1960206336.0
10165136177,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r2-34465226083,timed extraction command/children; not total deployment resources,True,87.05,65.91,2.81,2171805696.0
10165145162,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r3-34465226083,timed extraction command/children; not total deployment resources,True,87.61,68.49,2.87,1880104960.0
10165149396,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r4-34465226083,timed extraction command/children; not total deployment resources,True,88.39,65.11,2.28,1299505152.0
10165135057,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r5-34465226083,timed extraction command/children; not total deployment resources,True,83.08,56.85,1.87,1354903552.0
10165135159,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r6-34465226083,timed extraction command/children; not total deployment resources,True,79.21000000000001,39.87,2.04,2442309632.0
10165130143,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r7-34465226083,timed extraction command/children; not total deployment resources,True,82.1,56.83,2.03,1293574144.0
10165145302,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r8-34465226083,timed extraction command/children; not total deployment resources,True,87.28,65.91,2.82,2131173376.0
10165146809,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--N--r9-34465226083,timed extraction command/children; not total deployment resources,True,88.92,68.9,2.83,2113265664.0
10165140746,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--NC--r0-34465226083,timed extraction command/children; not total deployment resources,True,86.25,65.47,2.87,2027532288.0
10165147749,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--NC--r1-34465226083,timed extraction command/children; not total deployment resources,True,91.71000000000001,79.09,3.11,1635459072.0
10165145063,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--NC--r2-34465226083,timed extraction command/children; not total deployment resources,True,89.13,68.52,2.81,2073391104.0
10165142868,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--NC--r3-34465226083,timed extraction command/children; not total deployment resources,True,87.1,67.15,2.78,1946054656.0
