application,placement,law,repetition,operation,status,attempts,successes,lower_exact,upper_exact,b0_exact,success_excluded,failure_excluded,incompatible_attempts,incompatible_fraction,fully_observed_attempts,fully_observed_mismatches,ambiguous_attempts,aggregate_excess_above_upper_count,aggregate_deficit_below_lower_count,aggregate_contains_b0,incompatible_despite_aggregate_containment,ablation_without_selection_incompatible_attempts
deathstarbench_social_network,colocated,N,0,compose_post,audited,1200,1155,77/80,77/80,77/80,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,0,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,0,read_user_timeline,audited,1200,1114,557/600,557/600,557/600,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,1,compose_post,audited,1200,1127,1127/1200,1127/1200,1127/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,1,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,1,read_user_timeline,audited,1200,1067,1067/1200,1067/1200,1067/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,2,compose_post,audited,1200,1128,47/50,47/50,47/50,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,2,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,2,read_user_timeline,audited,1200,1098,183/200,183/200,183/200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,3,compose_post,audited,1200,1151,1151/1200,1151/1200,1151/1200,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,3,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,3,read_user_timeline,audited,1200,1098,183/200,183/200,183/200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,4,compose_post,audited,1200,1121,1121/1200,1121/1200,1121/1200,0,0,0,0.0,1196,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,4,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,4,read_user_timeline,audited,1200,1107,369/400,369/400,369/400,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,5,compose_post,audited,1200,1136,71/75,71/75,71/75,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,5,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,5,read_user_timeline,audited,1200,1081,1081/1200,1081/1200,1081/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,6,compose_post,audited,1200,1137,379/400,379/400,379/400,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,6,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,6,read_user_timeline,audited,1200,1109,1109/1200,1109/1200,1109/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,7,compose_post,audited,1200,1134,189/200,189/200,189/200,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,7,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,7,read_user_timeline,audited,1200,1089,363/400,363/400,363/400,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,8,compose_post,audited,1200,1131,377/400,377/400,377/400,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,8,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,8,read_user_timeline,audited,1200,1098,183/200,183/200,183/200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,9,compose_post,audited,1200,1145,229/240,229/240,229/240,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,9,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,9,read_user_timeline,audited,1200,1120,14/15,14/15,14/15,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,0,compose_post,audited,1200,1068,1051/1200,1051/1200,89/100,17,0,17,0.014166666666666666,1169,17,0,17,0,False,False,1
deathstarbench_social_network,colocated,NC,0,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,0,read_user_timeline,audited,1200,1023,167/200,167/200,341/400,21,0,21,0.0175,1167,21,0,21,0,False,False,1
deathstarbench_social_network,colocated,NC,1,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NC,1,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,1,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NC,2,compose_post,audited,1200,1103,183/200,183/200,1103/1200,5,0,5,0.004166666666666667,1193,5,0,5,0,False,False,2
deathstarbench_social_network,colocated,NC,2,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,2,read_user_timeline,audited,1200,1062,22/25,22/25,177/200,6,0,6,0.005,1185,6,0,6,0,False,False,1
deathstarbench_social_network,colocated,NC,3,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NC,3,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,3,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NC,4,compose_post,audited,1200,1063,1057/1200,1057/1200,1063/1200,6,0,6,0.005,1166,6,0,6,0,False,False,0
deathstarbench_social_network,colocated,NC,4,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,4,read_user_timeline,audited,1200,1038,339/400,339/400,173/200,21,0,21,0.0175,1172,21,0,21,0,False,False,0
deathstarbench_social_network,colocated,NC,5,compose_post,audited,1200,1077,351/400,351/400,359/400,24,0,24,0.02,1167,24,0,24,0,False,False,1
deathstarbench_social_network,colocated,NC,5,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,5,read_user_timeline,audited,1200,1046,64/75,64/75,523/600,22,0,22,0.018333333333333333,1160,22,0,22,0,False,False,1
deathstarbench_social_network,colocated,NC,6,compose_post,audited,1200,1066,3/4,259/300,533/600,30,0,30,0.025,1004,30,136,30,0,False,False,0
deathstarbench_social_network,colocated,NC,6,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,6,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NC,7,compose_post,audited,1200,1061,451/600,87/100,1061/1200,17,0,17,0.014166666666666666,1012,9,142,17,0,False,False,1
deathstarbench_social_network,colocated,NC,7,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,7,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NC,8,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NC,8,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,8,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NC,9,compose_post,audited,1200,1044,181/600,1043/1200,87/100,1,0,1,0.0008333333333333334,409,1,681,1,0,False,False,0
deathstarbench_social_network,colocated,NC,9,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,9,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,0,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,0,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,0,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,1,compose_post,audited,1200,1016,169/300,127/150,127/150,0,0,0,0.0,781,0,340,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,1,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,1,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,2,compose_post,audited,1200,1034,71/240,251/300,517/600,30,0,30,0.025,447,30,649,30,0,False,False,0
deathstarbench_social_network,colocated,NCD,2,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,2,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,3,compose_post,audited,1200,993,203/400,989/1200,331/400,4,0,4,0.0033333333333333335,709,4,380,4,0,False,False,0
deathstarbench_social_network,colocated,NCD,3,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,3,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,4,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,4,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,4,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,5,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,5,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,5,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,6,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,6,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,6,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,7,compose_post,audited,1200,978,123/400,163/200,163/200,0,0,0,0.0,432,0,609,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,7,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,7,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,8,compose_post,audited,1200,975,967/1200,967/1200,13/16,8,0,8,0.006666666666666667,1137,8,0,8,0,False,False,2
deathstarbench_social_network,colocated,NCD,8,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,8,read_user_timeline,audited,1200,953,929/1200,929/1200,953/1200,24,0,24,0.02,1148,24,0,24,0,False,False,3
deathstarbench_social_network,colocated,NCD,9,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,NCD,9,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NCD,9,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,colocated,ND,0,compose_post,audited,1200,1031,1031/1200,1031/1200,1031/1200,0,0,0,0.0,1191,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,0,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,0,read_user_timeline,audited,1200,1008,21/25,21/25,21/25,0,0,0,0.0,1191,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,1,compose_post,audited,1200,1062,177/200,177/200,177/200,0,0,0,0.0,1188,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,1,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,1,read_user_timeline,audited,1200,1023,341/400,341/400,341/400,0,0,0,0.0,1184,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,2,compose_post,audited,1200,1049,1049/1200,1049/1200,1049/1200,0,0,0,0.0,1179,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,2,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,2,read_user_timeline,audited,1200,1041,347/400,347/400,347/400,0,0,0,0.0,1188,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,3,compose_post,audited,1200,1024,64/75,64/75,64/75,0,0,0,0.0,1190,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,3,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,3,read_user_timeline,audited,1200,989,989/1200,989/1200,989/1200,0,0,0,0.0,1186,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,4,compose_post,audited,1200,1079,1079/1200,1079/1200,1079/1200,0,0,0,0.0,1197,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,4,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,4,read_user_timeline,audited,1200,1035,69/80,69/80,69/80,0,0,0,0.0,1196,0,0,0,0,True,False,0
