application,placement,law,repetition,operation,status,attempts,successes,lower_exact,upper_exact,b0_exact,success_excluded,failure_excluded,incompatible_attempts,incompatible_fraction,fully_observed_attempts,fully_observed_mismatches,ambiguous_attempts,aggregate_excess_above_upper_count,aggregate_deficit_below_lower_count,aggregate_contains_b0,incompatible_despite_aggregate_containment,ablation_without_selection_incompatible_attempts
deathstarbench_social_network,colocated,N,5,compose_post,audited,1200,1136,71/75,71/75,71/75,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,5,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,N,5,read_user_timeline,audited,1200,1081,1081/1200,1081/1200,1081/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,5,compose_post,audited,1200,1077,351/400,351/400,359/400,24,0,24,0.02,1167,24,0,24,0,False,False,1
deathstarbench_social_network,colocated,NC,5,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,NC,5,read_user_timeline,audited,1200,1046,64/75,64/75,523/600,22,0,22,0.018333333333333333,1160,22,0,22,0,False,False,1
deathstarbench_social_network,split,N,1,compose_post,audited,1200,1125,15/16,15/16,15/16,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,1,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,1,read_user_timeline,audited,1200,1080,9/10,9/10,9/10,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,1,compose_post,audited,1200,1057,37/48,1001/1200,1057/1200,56,0,56,0.04666666666666667,1045,56,76,56,0,False,False,1
deathstarbench_social_network,split,NC,1,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,1,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
opentelemetry_demo,colocated,N,3,add_to_cart,audited,1200,1086,181/200,181/200,181/200,0,0,0,0.0,1086,0,0,0,0,True,False,0
opentelemetry_demo,colocated,N,3,browse_product,audited,1200,1094,547/600,547/600,547/600,0,0,0,0.0,1094,0,0,0,0,True,False,0
opentelemetry_demo,colocated,N,3,checkout,audited,1200,944,59/75,59/75,59/75,0,0,0,0.0,944,0,0,0,0,True,False,0
opentelemetry_demo,colocated,NC,3,add_to_cart,audited,1200,1032,209/600,17/20,43/50,12,0,12,0.01,428,10,602,12,0,False,False,2
opentelemetry_demo,colocated,NC,3,browse_product,audited,1200,1054,431/1200,87/100,527/600,10,0,10,0.008333333333333333,441,10,613,10,0,False,False,1
opentelemetry_demo,colocated,NC,3,checkout,audited,1200,876,29/100,18/25,73/100,12,0,12,0.01,359,11,516,12,0,False,False,3
opentelemetry_demo,split,N,7,add_to_cart,audited,1200,1076,269/300,269/300,269/300,0,0,0,0.0,1076,0,0,0,0,True,False,0
opentelemetry_demo,split,N,7,browse_product,audited,1200,1092,91/100,91/100,91/100,0,0,0,0.0,1093,0,0,0,0,True,False,0
opentelemetry_demo,split,N,7,checkout,audited,1200,943,943/1200,943/1200,943/1200,0,0,0,0.0,943,0,0,0,0,True,False,0
opentelemetry_demo,split,NCD,7,add_to_cart,audited,1200,984,983/1200,983/1200,41/50,1,0,1,0.0008333333333333334,984,1,0,1,0,False,False,0
opentelemetry_demo,split,NCD,7,browse_product,audited,1200,991,33/40,33/40,991/1200,1,0,1,0.0008333333333333334,991,1,0,1,0,False,False,0
opentelemetry_demo,split,NCD,7,checkout,audited,1200,799,197/300,197/300,799/1200,11,0,11,0.009166666666666667,799,11,0,11,0,False,False,0
spring_petclinic_microservices,colocated,N,0,create_visit,audited,900,857,71/75,71/75,857/900,5,0,5,0.005555555555555556,857,5,0,5,0,False,False,3
spring_petclinic_microservices,colocated,N,0,list_owners,audited,900,900,1,1,1,0,0,0,0.0,900,0,0,0,0,True,False,0
spring_petclinic_microservices,colocated,N,0,list_vets,audited,900,900,1,1,1,0,0,0,0.0,900,0,0,0,0,True,False,0
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,audited,900,848,14/15,14/15,212/225,8,0,8,0.008888888888888889,848,8,0,8,0,False,False,3
spring_petclinic_microservices,colocated,N,1,create_visit,audited,900,860,427/450,427/450,43/45,6,0,6,0.006666666666666667,860,6,0,6,0,False,False,4
spring_petclinic_microservices,colocated,N,1,list_owners,audited,900,900,1,1,1,0,0,0,0.0,900,0,0,0,0,True,False,0
spring_petclinic_microservices,colocated,N,1,list_vets,audited,900,900,1,1,1,0,0,0,0.0,900,0,0,0,0,True,False,0
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,audited,900,863,287/300,287/300,863/900,2,0,2,0.0022222222222222222,863,2,0,2,0,False,False,0
spring_petclinic_microservices,split,N,7,create_visit,audited,900,859,71/75,71/75,859/900,7,0,7,0.0077777777777777776,859,7,0,7,0,False,False,0
spring_petclinic_microservices,split,N,7,list_owners,audited,900,900,1,1,1,0,0,0,0.0,900,0,0,0,0,True,False,0
spring_petclinic_microservices,split,N,7,list_vets,audited,900,900,1,1,1,0,0,0,0.0,900,0,0,0,0,True,False,0
spring_petclinic_microservices,split,N,7,owner_details_with_visits,audited,900,862,143/150,143/150,431/450,4,0,4,0.0044444444444444444,862,4,0,4,0,False,False,1
spring_petclinic_microservices,split,NCD,7,create_visit,audited,900,793,389/450,389/450,793/900,15,0,15,0.016666666666666666,793,15,0,15,0,False,False,9
spring_petclinic_microservices,split,NCD,7,list_owners,audited,900,900,1,1,1,0,0,0,0.0,900,0,0,0,0,True,False,0
