profile,case_id,method,round,status,execution_status,cold_ms,cold_cpu_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_median_ms,warm_cpu_median_ms,build_ms,reorder_ms,evaluated_states,cudd_execution_nodes,cudd_manager_bytes,witnesses_verified_first_query,category_extrema_sha256,exact_estimates_sha256
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,specialized,0,qualified,singleton_given_empirical_observation_law,1.131025,1.137463,0.963041,0.920451,0.916704,0.920451,0.923013,0.0,0.0,12,,,8,a241cb8815d49c65220ccb373896e78f1c0a795bcce1596bbf190cf1c59e6bae,023330aa90253554d6f4d7e1c2b66bedf21935f671af970fb37023d3a8cf8d20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,specialized,0,qualified,singleton_given_empirical_observation_law,0.182221,0.185206,0.173093,0.148858,0.147035,0.148858,0.150581,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,specialized,0,qualified,singleton_given_empirical_observation_law,0.504503,0.506906,0.500116,0.494405,0.48646,0.494405,0.496317,0.0,0.0,4,,,0,534afbed588b342a7f8047f21b3645634c12857f9651c624265d58992ac0e9b2,6782e6645b46cce0dba5a44b2a5e8fbf9f8a6d4898e34e18fe9b9f8ffb2eef76
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,specialized,0,qualified,singleton_given_empirical_observation_law,0.606083,0.62163,0.583661,0.578753,0.574154,0.578753,0.580844,0.0,0.0,4,,,0,534afbed588b342a7f8047f21b3645634c12857f9651c624265d58992ac0e9b2,4540aa67edbd1463f14fac86a3b67da61a010641ba84e4e8285d6d7a7f80be70
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,specialized,0,qualified,singleton_given_empirical_observation_law,0.175328,0.177832,0.170118,0.149229,0.143519,0.149229,0.150902,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,specialized,0,qualified,singleton_given_empirical_observation_law,0.518129,0.520973,0.482372,0.476642,0.471973,0.476642,0.478593,0.0,0.0,4,,,0,534afbed588b342a7f8047f21b3645634c12857f9651c624265d58992ac0e9b2,6ec8fd641f9c09b409131dbea0b2996602c5f26e8bd15ed9f7be5cd1a01bcb17
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,specialized,0,qualified,singleton_given_empirical_observation_law,0.960226,0.962837,0.929568,0.907196,0.902417,0.907196,0.909487,0.0,0.0,12,,,8,a241cb8815d49c65220ccb373896e78f1c0a795bcce1596bbf190cf1c59e6bae,7e3d1ab7f46986a8cb8db43ffeeac6c8aa159a1d90a630fcdecdcc2a9d5dfdd4
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,specialized,0,qualified,singleton_given_empirical_observation_law,0.180497,0.194713,0.153006,0.146194,0.141665,0.146194,0.147856,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,specialized,0,qualified,singleton_given_empirical_observation_law,0.501869,0.504282,0.47043,0.462375,0.52953,0.47043,0.472712,0.0,0.0,4,,,0,534afbed588b342a7f8047f21b3645634c12857f9651c624265d58992ac0e9b2,3836faa6252d55f0e7f33e46fd8dd1665a9266480f43b3812aeacceb7230168a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,specialized,0,qualified,singleton_given_empirical_observation_law,0.985964,0.989367,0.931932,0.912617,0.907817,0.912617,0.914918,0.0,0.0,12,,,8,a241cb8815d49c65220ccb373896e78f1c0a795bcce1596bbf190cf1c59e6bae,ea6256017effb594dca332e163cd0d4f1f343d04e55d46f212482ddc7ca904ae
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,specialized,0,qualified,singleton_given_empirical_observation_law,0.1874,0.189935,0.153818,0.147406,0.14449,0.147406,0.148969,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
