profile,method,round,wall_seconds,user_seconds,system_seconds,peak_rss_mib,returncode
deathstarbench_social_network,specialized,0,3.81,4.08,0.06,60.46875,0
deathstarbench_social_network,controls_first,0,5.23,5.06,0.49,75.921875,0
deathstarbench_social_network,structural,0,5.07,4.9,0.5,75.8984375,0
deathstarbench_social_network,sift_once,0,5.22,5.02,0.52,75.85546875,0
deathstarbench_social_network,controls_first,1,4.89,4.73,0.49,75.9453125,0
deathstarbench_social_network,structural,1,5.31,5.13,0.5,76.09375,0
deathstarbench_social_network,sift_once,1,5.21,5.04,0.49,76.03515625,0
deathstarbench_social_network,specialized,1,3.44,3.72,0.04,60.43359375,0
deathstarbench_social_network,structural,2,4.78,4.74,0.36,78.05859375,0
deathstarbench_social_network,sift_once,2,5.07,4.91,0.49,75.953125,0
deathstarbench_social_network,specialized,2,3.47,3.75,0.04,60.48828125,0
deathstarbench_social_network,controls_first,2,4.78,4.58,0.5,75.69140625,0
opentelemetry_demo,controls_first,0,7.3,7.06,0.59,77.4375,0
opentelemetry_demo,structural,0,7.33,7.11,0.56,77.34765625,0
opentelemetry_demo,sift_once,0,7.54,7.32,0.57,77.08203125,0
opentelemetry_demo,specialized,0,6.03,6.34,0.03,62.4765625,0
opentelemetry_demo,structural,1,7.38,7.14,0.58,77.2265625,0
opentelemetry_demo,sift_once,1,7.5,7.28,0.55,77.5234375,0
opentelemetry_demo,specialized,1,6.13,6.44,0.03,62.53125,0
opentelemetry_demo,controls_first,1,7.15,6.92,0.57,77.25,0
opentelemetry_demo,sift_once,2,7.55,7.32,0.58,77.40625,0
opentelemetry_demo,specialized,2,6.22,6.54,0.02,62.51171875,0
opentelemetry_demo,controls_first,2,7.46,7.22,0.58,77.18359375,0
opentelemetry_demo,structural,2,7.49,7.2,0.63,77.296875,0
spring_petclinic_microservices,structural,0,8.46,8.0,0.78,77.51171875,0
spring_petclinic_microservices,sift_once,0,9.16,8.69,0.8,77.4140625,0
spring_petclinic_microservices,specialized,0,6.5,6.77,0.05,62.421875,0
spring_petclinic_microservices,controls_first,0,8.95,8.58,0.68,79.39453125,0
spring_petclinic_microservices,sift_once,1,9.3,8.82,0.8,77.41015625,0
spring_petclinic_microservices,specialized,1,6.6,6.87,0.05,62.48046875,0
spring_petclinic_microservices,controls_first,1,9.13,8.69,0.76,77.47265625,0
spring_petclinic_microservices,structural,1,9.04,8.5,0.86,77.3984375,0
spring_petclinic_microservices,specialized,2,6.53,6.8,0.05,62.328125,0
spring_petclinic_microservices,controls_first,2,9.0,8.58,0.74,77.21484375,0
spring_petclinic_microservices,structural,2,8.9,8.42,0.8,77.53515625,0
spring_petclinic_microservices,sift_once,2,9.33,8.85,0.8,77.484375,0
synthetic,sift_once,0,1.51,1.71,0.09,71.85546875,0
synthetic,specialized,0,1.45,1.72,0.04,56.6875,0
synthetic,controls_first,0,1.44,1.63,0.08,71.8984375,0
synthetic,structural,0,1.47,1.67,0.09,71.9140625,0
synthetic,specialized,1,1.47,1.73,0.03,56.703125,0
synthetic,controls_first,1,1.46,1.67,0.09,71.90234375,0
synthetic,structural,1,1.51,1.72,0.09,71.84765625,0
synthetic,sift_once,1,1.52,1.74,0.08,71.7890625,0
synthetic,controls_first,2,1.45,1.67,0.08,71.91796875,0
synthetic,structural,2,1.46,1.68,0.08,71.81640625,0
synthetic,sift_once,2,1.5,1.72,0.08,71.91015625,0
synthetic,specialized,2,1.47,1.73,0.04,56.5078125,0
