profile,case_id,functional,lower_exact,upper_exact,status,model_sha256
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,execution,77/80,77/80,singleton_given_empirical_observation_law,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,reachability,1,1,singleton_given_empirical_observation_law,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,reachability_minus_execution,3/80,3/80,singleton_given_empirical_observation_law,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,selected,1199/1200,1,ambiguous,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,selected_minus_execution,11/300,3/80,ambiguous,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,without_completion,77/80,289/300,ambiguous,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,without_completion_minus_execution,0,1/1200,ambiguous,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,without_deadline,1199/1200,1199/1200,singleton_given_empirical_observation_law,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,without_deadline_minus_execution,11/300,11/300,singleton_given_empirical_observation_law,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,without_selection,77/80,77/80,singleton_given_empirical_observation_law,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,b0b0dc6a721fea357689706244dc38fd448f4417e7474b3bf2ebd7151136305a
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,execution,1,1,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,reachability,1,1,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,reachability_minus_execution,0,0,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,selected,1,1,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,selected_minus_execution,0,0,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,without_completion,1,1,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,without_deadline,1,1,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,without_selection,1,1,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,bd25da9497a5c8a92aa04e793ef875cabc595efed65f251e36dcca180c3c52cd
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,execution,557/600,557/600,singleton_given_empirical_observation_law,55e9b8df530fe250089273f28d14834da0cb7a1fcdd761e36aae4eacc23fc282
