profile,group,method,cases,cold_median_ms,warm_median_ms,cold_cpu_median_ms,warm_cpu_median_ms,build_median_ms,reorder_median_ms,total_cold_median_seconds,total_warm_median_seconds,paired_cold_ratio_median,paired_warm_ratio_median,bdd_cold_faster_cases,batch_peak_rss_median_mib,batch_wall_median_seconds,batch_cpu_median_seconds
deathstarbench_social_network,all,specialized,201,0.606204,0.578753,0.62163,0.580844,0.0,0.0,0.255368841,0.24502309,,,,60.46875,3.47,3.79
deathstarbench_social_network,all,controls_first,201,4.903008,0.362838,4.90742,0.364751,4.445192999980918,0.0,1.086332072,0.175403516,0.12461269491161335,1.4054824606476657,0,75.921875,4.89,5.220000000000001
deathstarbench_social_network,all,structural,201,4.764229,0.37432,4.767659,0.376332,4.450230999992755,0.0,1.10364287,0.176526409,0.1288979831466406,1.4091439491810989,0,76.09375,5.07,5.4
deathstarbench_social_network,all,sift_once,201,6.067254,0.370373,6.070872,0.372405,5.592626999998629,1.1520839999832333,1.319347184,0.177492994,0.09943772618160666,1.3957165726728107,0,75.953125,5.21,5.53
deathstarbench_social_network,singleton_given_empirical_observation_law,specialized,186,0.528473,0.488684,0.5311265,0.4905905,0.0,0.0,0.167964439,0.159392871,,,,60.46875,3.47,3.79
deathstarbench_social_network,singleton_given_empirical_observation_law,controls_first,186,4.853922,0.345126,4.857737,0.347238,4.438418500001262,0.0,0.942525655,0.1028704,0.10871564924086217,1.4222718316226213,0,75.921875,4.89,5.220000000000001
deathstarbench_social_network,singleton_given_empirical_observation_law,structural,186,4.72232,0.344394,4.727018,0.3463365,4.444821000006982,0.0,0.954390045,0.103319983,0.10982025095011896,1.4309116120431873,0,76.09375,5.07,5.4
deathstarbench_social_network,singleton_given_empirical_observation_law,sift_once,186,6.0181225,0.3457915,6.020147,0.3478445,5.572037999982626,1.1507915000095181,1.156284257,0.103656797,0.08738928553474218,1.4271501296569873,0,75.953125,5.21,5.53
deathstarbench_social_network,ambiguous,specialized,15,6.075179,6.028022,6.077985,6.030356,0.0,0.0,0.087335901,0.085993635,,,,60.46875,3.47,3.79
deathstarbench_social_network,ambiguous,controls_first,15,9.956197,5.156493,9.959118,5.150794,4.525423000018236,0.0,0.144055682,0.07242256,0.6034874654999237,1.1718536263610502,0,75.921875,4.89,5.220000000000001
