case_id,axis,nodes,edges,controls,completions,coordinates,categories,max_unknown_controls,lower_exact,upper_exact,specialized_cold_ms,specialized_warm_ms,specialized_build_ms,specialized_reorder_ms,specialized_execution_nodes,specialized_manager_bytes,controls_first_cold_ms,controls_first_warm_ms,controls_first_build_ms,controls_first_reorder_ms,controls_first_execution_nodes,controls_first_manager_bytes,structural_cold_ms,structural_warm_ms,structural_build_ms,structural_reorder_ms,structural_execution_nodes,structural_manager_bytes,sift_once_cold_ms,sift_once_warm_ms,sift_once_build_ms,sift_once_reorder_ms,sift_once_execution_nodes,sift_once_manager_bytes,cold_ratio_specialized_over_sift
00-graph_nodes,graph_nodes,4,3,10,4,14,5,4,1/5,3/5,0.990067,0.768769,0.0,0.0,,,4.812855,0.673698,3.871410000002129,0.0,23,16835816.0,4.998622,0.702516,4.049187999996207,0.0,19,16835816.0,5.508015,0.688601,4.600009999990107,1.2844220000047812,16,16835816.0,0.17903099431606018
01-graph_nodes,graph_nodes,8,7,10,8,18,5,4,1/5,3/5,0.997758,0.920714,0.0,0.0,,,4.369662,0.729812,3.501325999998528,0.0,27,16835816.0,4.468362,0.742606,3.5636349999990102,0.0,23,16835816.0,5.854996,0.752542,4.962085999999033,1.3923019999992903,20,16835816.0,0.17016763189442
02-graph_nodes,graph_nodes,16,15,10,16,26,5,4,1/5,3/5,1.299976,1.216262,0.0,0.0,,,4.460567,0.834817,3.487680999995746,0.0,35,16857096.0,4.935477,0.843115,3.8942139999988967,0.0,31,16857096.0,6.1991,0.847937,5.219527999997808,1.5709179999987555,28,16857096.0,0.20769859244392247
03-graph_nodes,graph_nodes,32,31,10,32,42,5,4,1/5,3/5,1.927345,1.845774,0.0,0.0,,,5.212901,1.032661,4.0174909999990405,0.0,51,16899656.0,5.500648,1.058508,4.1859909999999445,0.0,47,16932392.0,6.787993,1.049626,5.58417799999944,1.6724900000042453,44,16899656.0,0.28393444129951223
04-graph_nodes,graph_nodes,48,47,10,48,58,5,4,1/5,3/5,2.507645,2.448347,0.0,0.0,,,5.647853,1.253787,4.260836999996798,0.0,67,16953672.0,6.082547,1.292717,4.531847999999172,0.0,63,16986408.0,7.733645,1.262712,6.307610999996882,1.918583999994894,60,16953672.0,0.3237587324255288
05-completions,completions,4,3,10,4,14,5,4,1/5,3/5,0.800636,0.739606,0.0,0.0,,,4.24249,0.680578,3.461991999998304,0.0,23,16835816.0,4.232441,0.668059,3.428312999993466,0.0,19,16835816.0,5.597298,0.686207,4.800927999994542,1.2840229999966368,16,16835816.0,0.14055702389239075
06-completions,completions,4,7,10,8,18,5,4,1/5,3/5,0.929997,0.827155,0.0,0.0,,,4.305604,0.700118,3.4507359999977893,0.0,27,16835816.0,4.2989,0.708691,3.4451329999996005,0.0,24,16835816.0,5.671628,0.729913,4.847337000001062,1.3372129999993376,20,16835816.0,0.16107919250220706
07-completions,completions,4,15,10,16,26,5,4,1/5,3/5,1.033571,0.969055,0.0,0.0,,,4.42499,0.827466,3.4921680000010724,0.0,35,16857096.0,4.592408,0.832383,3.5707739999963906,0.0,32,16857096.0,6.035027,0.811368,5.079841000004137,1.5031589999949801,28,16857096.0,0.16984591335866284
08-completions,completions,4,31,10,32,42,5,4,1/5,3/5,1.281759,1.220397,0.0,0.0,,,4.714043,1.001645,3.578085000000897,0.0,51,16899656.0,4.957643,1.026382,3.690417000001389,0.0,48,16932392.0,6.434329,1.009737,5.303331999996885,1.6458220000004076,44,16899656.0,0.19985628849612083
09-completions,completions,4,47,10,48,58,5,4,1/5,3/5,1.537838,1.47825,0.0,0.0,,,5.096475,1.203373,3.7064049999955273,0.0,67,16953672.0,5.366486,1.240589,3.871099000008371,0.0,64,16986408.0,7.048479,1.258887,5.678347999996447,1.9335670000018013,60,16953672.0,0.2239305982063566
10-unknown_controls,unknown_controls,8,7,10,8,18,5,0,1/5,3/5,0.541492,0.483957,0.0,0.0,,,4.231183,0.619788,3.5051660000036122,0.0,27,16835816.0,4.37776,0.615251,3.60069900000326,0.0,23,16835816.0,5.715494,0.635792,4.962938000005579,1.4007959999986497,20,16835816.0,0.09637922411770697
11-unknown_controls,unknown_controls,8,7,10,8,18,5,2,1/5,3/5,0.632697,0.569965,0.0,0.0,,,4.422932,0.739206,3.545561999999336,0.0,27,16835816.0,4.601672,0.747057,3.7028189999972483,0.0,23,16835816.0,5.864074,0.760074,4.978641000001005,1.3990940000070395,20,16835816.0,0.10789376123152607
12-unknown_controls,unknown_controls,8,7,10,8,18,5,4,1/5,3/5,0.954043,0.914164,0.0,0.0,,,4.220061,0.719206,3.3792850000011754,0.0,27,16835816.0,4.547406,0.726622,3.657637999999963,0.0,23,16835816.0,5.839457,0.729431,4.990337999998928,1.3966909999965083,20,16835816.0,0.16418136138343
13-unknown_controls,unknown_controls,8,7,10,8,18,5,6,1/5,3/5,2.28224,2.177746,0.0,0.0,,,4.354079,0.695231,3.5265839999993887,0.0,27,16835816.0,4.374906,0.704729,3.522771999996621,0.0,23,16835816.0,5.803594,0.719727,4.922016999998391,1.3951480000002903,20,16835816.0,0.3966852264303809
14-unknown_controls,unknown_controls,8,7,10,8,18,5,8,1/5,3/5,7.29718,7.042442,0.0,0.0,,,4.305082,0.671015,3.492106999999578,0.0,27,16835816.0,4.369778,0.681501,3.538445000003776,0.0,23,16835816.0,5.798416,0.702501,4.945882999997764,1.3901909999987083,20,16835816.0,1.2744939307562617
15-unknown_controls,unknown_controls,8,7,10,8,18,5,10,1/5,3/5,28.323756,27.338286,0.0,0.0,,,4.318808,0.691324,3.5361280000003603,0.0,27,16835816.0,4.411838,0.698034,3.556453999998155,0.0,23,16835816.0,5.764666,0.722001,4.933935000003942,1.3982630000128893,20,16835816.0,4.997030183535351
16-categories,categories,4,15,10,16,26,5,4,1/5,3/5,1.054282,0.963477,0.0,0.0,,,4.376483,0.80284,3.443610999994462,0.0,35,16857096.0,4.528612,0.823035,3.5110910000000217,0.0,32,16857096.0,6.019534,0.825114,5.0666610000007495,1.508076000000358,28,16857096.0,0.17514345794873823
17-categories,categories,4,15,10,16,26,16,4,1/5,3/5,7.206354,7.121989,0.0,0.0,,,10.489157,6.577072,3.4455280000003086,0.0,35,16889832.0,10.66444,6.716409,3.5260590000021352,0.0,32,16889832.0,12.086428,6.721049,5.117756999993617,1.503122999999107,28,16889832.0,0.5990216765537261
18-categories,categories,4,15,10,16,26,64,4,1/5,3/5,33.981031,34.048381,0.0,0.0,,,38.257591,33.103115,3.6285400000011236,0.0,35,16988040.0,38.137744,33.500465,3.7108770000031654,0.0,32,16955304.0,39.599328,34.004012,5.243092999997145,1.5089169999953356,28,17094440.0,0.8556816557919744
19-categories,categories,4,15,10,16,26,128,4,1/5,3/5,69.628259,70.444419,0.0,0.0,,,77.609189,70.393834,3.957381999995846,0.0,35,17157864.0,75.970828,71.548505,3.8444249999969315,0.0,32,17057608.0,76.850503,71.414974,5.298475000003577,1.5084260000008953,28,17409544.0,0.9077993951764047
20-graph_structure,graph_structure,12,11,10,12,22,5,4,1/5,3/5,1.178005,1.076364,0.0,0.0,,,4.625525,0.773717,3.6965030000004617,0.0,31,16857096.0,4.773626,0.774497,3.8096520000010514,0.0,27,16857096.0,6.086213,0.783851,5.1379969999985065,1.4872639999907733,24,16857096.0,0.19246399435329947
21-graph_structure,graph_structure,12,20,10,21,31,5,4,1/5,3/5,1.319605,1.243562,0.0,0.0,,,4.726167,0.881345,3.7185530000058975,0.0,50,16878376.0,4.862018,0.884891,3.739253000006215,0.0,58,16911112.0,5.980326,0.889523,4.9110309999989,1.369941000007202,33,16878376.0,0.22065770327570772
22-graph_structure,graph_structure,12,21,10,22,32,5,4,1/5,3/5,1.326876,1.261238,0.0,0.0,,,4.851236,0.903986,3.767050000000438,0.0,48,16878376.0,4.848527,0.922638,3.718094999996424,0.0,41,16911112.0,6.049278,0.920094,5.014044000006379,1.396489000001111,34,16878376.0,0.2200205946583227
23-graph_structure,graph_structure,12,21,10,22,32,5,4,1/5,3/5,1.3228,1.243922,0.0,0.0,,,4.724925,0.907531,3.6938359999965087,0.0,41,16878376.0,4.879704,0.927343,3.7495919999983585,0.0,37,16911112.0,6.159591,0.922368,5.118070999998281,1.5489159999972912,34,16878376.0,0.2147545186035891
24-fully_observed,fully_observed,4,3,10,4,14,16,0,1/16,1/16,1.24936,1.224354,0.0,0.0,,,4.417284,0.887165,3.45071600000324,0.0,15,16835816.0,4.53936,0.885753,3.5346400000122458,0.0,15,16835816.0,5.47565,0.912662,4.483987000000411,1.0346420000004741,15,16835816.0,0.23190038826135348
25-fully_observed,fully_observed,16,15,10,16,26,16,0,1/16,1/16,1.562404,1.488705,0.0,0.0,,,4.55027,0.956314,3.5242599999989466,0.0,27,16857096.0,4.718235,0.945712,3.6734760000030064,0.0,27,16857096.0,5.852557,0.942016,4.799165000001437,1.238456000002941,27,16857096.0,0.2666505557168357
26-fully_observed,fully_observed,48,47,10,48,58,16,0,1/16,1/16,2.317563,2.239497,0.0,0.0,,,5.384365,1.079449,4.203838999998766,0.0,59,16953672.0,5.727686,1.080312,4.50921499999879,0.0,59,16953672.0,6.984256,1.087752,5.804187999999044,1.5665920000031974,59,16920936.0,0.33309493917858934
