campaign_id,job_role,attempt_id,input_bytes,native_bytes,ordinary_role_bytes,pmx_role_bytes,input_loading_seconds,combined_process_seconds,acquisition_process_seconds,shared_native_extraction_seconds,manual_integration_seconds,manual_reason,update_seconds,update_reason
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,acquisition,1,,54972606,34448206,34205285,,,2058.608525907,1.8938498359998448,,,,
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,graph,1,34447690,,,,0.3181504300000597,0.5424693960000013,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,,,,,,,,,,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,acquisition,1,,58415561,36661825,36419509,,,2059.129447386,1.923278436000146,,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,graph,1,36661309,,,,0.4258945570000492,1.4305016890000388,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,,,,,,,,,,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,acquisition,1,,184117209,110383686,110140220,,,2074.935457633,6.290591771999971,,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,graph,1,110383170,,,,1.108967038000003,3.3654496110000025,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,,,,,,,,,,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,acquisition,1,,201467144,106872481,106628924,,,2073.1337664629996,6.301233062999927,,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,graph,1,106871965,,,,0.837707279,2.1351756099999974,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-preflight-771605/opentelemetry_demo/split/NCD/0,pmx,1,,,,,,,,,,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,acquisition,1,,84172858,47953007,47708668,,,2104.212501106,1.943258103000062,,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,graph,1,47952491,,,,0.4689510279999993,1.2772246629999984,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,pmx,1,,,,,,,,,,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,acquisition,1,,84828106,48372869,48128326,,,2126.4802132520003,2.1423384019999503,,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,graph,1,48372353,,,,0.46880994200000714,1.2571380809999937,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,pmx,1,,,,,,,,,,,,
