campaign_id,job_role,attempt_id,model_id,variant,extraction_status,status,repetition,load_solve_elapsed_nanoseconds,evaluated_physical_states,total_physical_states
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--compose_post--conditional_local,conditional_local,prepared,solved,0,11049277518,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--compose_post--conditional_local,conditional_local,prepared,solved,1,245940024,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--compose_post--inclusive,inclusive,prepared,solved,0,404739264,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--compose_post--inclusive,inclusive,prepared,solved,1,176208053,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,80523273,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,40790475,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_home_timeline--inclusive,inclusive,prepared,solved,0,82217797,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_home_timeline--inclusive,inclusive,prepared,solved,1,39277710,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,175565356,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,85863088,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_user_timeline--inclusive,inclusive,prepared,solved,0,155512681,1,1
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_user_timeline--inclusive,inclusive,prepared,solved,1,85032884,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--compose_post--conditional_local,conditional_local,prepared,solved,0,295817187,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--compose_post--conditional_local,conditional_local,prepared,solved,1,151202292,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--compose_post--inclusive,inclusive,prepared,solved,0,254219827,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--compose_post--inclusive,inclusive,prepared,solved,1,146234306,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,63478859,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,39836276,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_home_timeline--inclusive,inclusive,prepared,solved,0,60434642,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_home_timeline--inclusive,inclusive,prepared,solved,1,34943916,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,103974357,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,57126025,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_user_timeline--inclusive,inclusive,prepared,solved,0,100357837,1,1
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_user_timeline--inclusive,inclusive,prepared,solved,1,74198375,1,1
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--add_to_cart--conditional_local,conditional_local,unsupported_conditional_propagation_or_positivity,no_solver_timing,,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--add_to_cart--inclusive,inclusive,prepared,solved,0,394211111,1,1
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--add_to_cart--inclusive,inclusive,prepared,solved,1,236359580,1,1
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--browse_product--conditional_local,conditional_local,unsupported_conditional_propagation_or_positivity,no_solver_timing,,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--browse_product--inclusive,inclusive,prepared,solved,0,176630868,1,1
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--browse_product--inclusive,inclusive,prepared,solved,1,100702823,1,1
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--checkout--conditional_local,conditional_local,unsupported_conditional_propagation_or_positivity,no_solver_timing,,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--checkout--inclusive,inclusive,prepared,solved,0,1471884117,1,1
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--checkout--inclusive,inclusive,prepared,solved,1,1153469083,1,1
v3-preflight-771605/opentelemetry_demo/split/NCD/0,pmx,1,campaign-359ffa201dfd7057d942--add_to_cart--conditional_local,conditional_local,unsupported_conditional_propagation_or_positivity,no_solver_timing,,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,pmx,1,campaign-359ffa201dfd7057d942--add_to_cart--inclusive,inclusive,prepared,solved,0,7168584260,1,1
v3-preflight-771605/opentelemetry_demo/split/NCD/0,pmx,1,campaign-359ffa201dfd7057d942--add_to_cart--inclusive,inclusive,prepared,solved,1,305028235,1,1
