campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",598622208.0,acquisition-resource-usage.txt,88.8,217.53,2071.21,,,
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52576256.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,11.16,,,
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54665216.0,logs/services.log.resource-usage.txt,0.07,0.14,0.17,,,
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51814400.0,pull-resource-usage.txt,0.07,0.14,19.42,,,
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52576256.0,start-resource-usage.txt,0.04,0.14,8.22,,,
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",242499584.0,build-resource-usage.txt,0.09,2.13,1.99,,,
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",108093440.0,replay-resource-usage.txt,0.05,1.25,0.78,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",623218688.0,acquisition-resource-usage.txt,90.85,217.91,2071.43,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52264960.0,logs/compose-down.log.resource-usage.txt,0.04,0.09,10.99,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54296576.0,logs/services.log.resource-usage.txt,0.05,0.11,0.12,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52727808.0,pull-resource-usage.txt,0.06,0.13,20.81,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52940800.0,start-resource-usage.txt,0.03,0.14,8.28,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",218738688.0,build-resource-usage.txt,0.15,3.1,3.12,,,
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109416448.0,replay-resource-usage.txt,0.07,1.48,0.97,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",971898880.0,acquisition-resource-usage.txt,87.02,229.45,2109.22,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54657024.0,logs/collector-stop.log.resource-usage.txt,0.02,0.1,1.32,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51671040.0,logs/compose-down.log.resource-usage.txt,0.02,0.08,32.18,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54730752.0,logs/services.log.resource-usage.txt,0.61,0.66,1.11,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51265536.0,pull-resource-usage.txt,0.09,0.17,34.6,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52482048.0,start-resource-usage.txt,0.04,0.15,23.76,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",431407104.0,build-resource-usage.txt,0.25,5.06,4.78,,,
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109785088.0,replay-resource-usage.txt,0.08,1.45,0.94,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",952258560.0,acquisition-resource-usage.txt,89.88,238.08,2097.24,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51499008.0,logs/collector-stop.log.resource-usage.txt,0.02,0.08,0.29,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51429376.0,logs/compose-down.log.resource-usage.txt,0.02,0.08,22.31,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54910976.0,logs/services.log.resource-usage.txt,0.48,0.48,0.8,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51826688.0,pull-resource-usage.txt,0.1,0.17,42.88,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51961856.0,start-resource-usage.txt,0.04,0.14,23.87,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",417562624.0,build-resource-usage.txt,0.17,3.63,3.16,,,
v3-preflight-771605/opentelemetry_demo/split/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",108249088.0,replay-resource-usage.txt,0.04,1.26,0.75,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",518111232.0,acquisition-resource-usage.txt,74.97,134.85,2120.41,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52293632.0,logs/collector-stop.log.resource-usage.txt,0.02,0.04,0.27,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",53882880.0,logs/compose-down.log.resource-usage.txt,0.02,0.05,12.87,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52748288.0,logs/compose-up.log.resource-usage.txt,0.07,0.17,31.09,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",55242752.0,logs/services.log.resource-usage.txt,1.0,0.86,2.07,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",250650624.0,build-resource-usage.txt,0.15,3.0,2.81,,,
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109604864.0,replay-resource-usage.txt,0.09,1.45,0.93,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",521773056.0,acquisition-resource-usage.txt,72.12,165.13,2143.48,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",50012160.0,logs/collector-stop.log.resource-usage.txt,0.01,0.06,0.14,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52195328.0,logs/compose-down.log.resource-usage.txt,0.01,0.06,12.91,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",53178368.0,logs/compose-up.log.resource-usage.txt,0.07,0.22,49.33,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52543488.0,logs/services.log.resource-usage.txt,0.68,0.85,1.89,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",249135104.0,build-resource-usage.txt,0.13,2.98,2.88,,,
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109424640.0,replay-resource-usage.txt,0.07,1.45,0.91,,,
,,,application_batch,"per timed process/children GNU-time high-water report, not summed across concurrent processes",1774510080.0,runtime/build-resource-usage.txt,3.51,155.49,219.56,deathstarbench_social_network,34460574221,True
,,,application_batch,"per timed process/children GNU-time high-water report, not summed across concurrent processes",1704501248.0,runtime/solve-resource-usage.txt,2.51,155.95,83.26,deathstarbench_social_network,34460574221,True
,,,application_batch,"per timed process/children GNU-time high-water report, not summed across concurrent processes",2181734400.0,runtime/build-resource-usage.txt,6.92,202.98,192.49,opentelemetry_demo,34460574221,True
,,,application_batch,"per timed process/children GNU-time high-water report, not summed across concurrent processes",1711685632.0,runtime/solve-resource-usage.txt,4.34,207.5,96.07,opentelemetry_demo,34460574221,True
,,,application_batch,"per timed process/children GNU-time high-water report, not summed across concurrent processes",1590140928.0,runtime/build-resource-usage.txt,6.04,201.94,306.19,spring_petclinic_microservices,34460574221,True
,,,application_batch,"per timed process/children GNU-time high-water report, not summed across concurrent processes",1771147264.0,runtime/solve-resource-usage.txt,3.62,207.56,94.77000000000001,spring_petclinic_microservices,34460574221,True
