profile,case_id,phase,functional,lower_exact,upper_exact,status
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,execution,2853/2918,2853/2918,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,reachability_minus_execution,65/2918,65/2918,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,selected,2917/2918,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,selected_minus_execution,32/1459,65/2918,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,without_completion,2853/2918,1427/1459,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,without_completion_minus_execution,0,1/2918,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,without_deadline,2917/2918,2917/2918,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,without_deadline_minus_execution,32/1459,32/1459,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,without_selection,2853/2918,2853/2918,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,execution,77/80,77/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,reachability_minus_execution,3/80,3/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,selected,1199/1200,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,selected_minus_execution,11/300,3/80,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,without_completion,77/80,289/300,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,without_completion_minus_execution,0,1/1200,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,without_deadline,1199/1200,1199/1200,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,without_deadline_minus_execution,11/300,11/300,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,without_selection,77/80,77/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,execution,0,1427/1459,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,reachability_minus_execution,32/1459,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,selected,2917/2918,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,selected_minus_execution,32/1459,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,without_completion,2853/2918,1427/1459,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,without_completion_minus_execution,0,1427/1459,ambiguous
