profile,case_id,method,round,phase,error
synthetic,22-graph_structure,agrum_lazy,0,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,0,repeat,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,0,counts,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,0,masks,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,0,metadata,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,0,structure,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,0,restore,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,1,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,1,repeat,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,1,counts,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,1,masks,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,1,metadata,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,1,structure,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,1,restore,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,2,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,2,repeat,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,2,counts,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,2,masks,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,2,metadata,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,2,structure,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_lazy,2,restore,Exception: std::bad_alloc
