profile,case_id,method,round,phase,status,total_ms,cpu_ms,key_check_ms,construction_ms,data_update_ms,inference_and_validation_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,initial,qualified,2.300615,2.305918,0.091321,1.729847,0.0,0.477654,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,repeat,qualified,0.47058,0.472683,0.065933,0.0,0.0,0.403546,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,counts,qualified,0.464499,0.466552,0.062597,0.0,0.0,0.400911,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,masks,qualified,0.473135,0.475148,0.059552,0.0,0.0,0.412542,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,metadata,qualified,0.492822,0.494624,0.071875,0.0,0.0,0.419905,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,structure,qualified,1.348483,1.350494,0.064802,0.877542,0.0,0.404918,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,restore,qualified,2.016623,2.018802,0.063579,1.527207,0.0,0.424494,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,initial,qualified,5.561415,5.576571,0.089297,4.937769,0.0,0.532667,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,repeat,qualified,0.546944,0.549166,0.072075,0.0,0.0,0.473686,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,counts,qualified,0.495707,0.49763,0.062597,0.0,0.0,0.432039,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,masks,qualified,0.542415,0.544467,0.061445,0.0,0.0,0.479888,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,metadata,qualified,0.527207,0.529279,0.069119,0.0,0.0,0.456935,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,structure,qualified,5.52589,5.528711,0.071073,4.998763,0.0,0.45426,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,restore,qualified,5.307942,5.311054,0.062007,4.781807,0.0,0.462285,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,initial,qualified,6.888859,6.896767,0.092553,6.226941,0.0,0.567271,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,repeat,qualified,0.526435,0.528838,0.07532,0.0,0.0,0.449841,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,counts,qualified,0.526996,0.529199,0.06408,0.0,0.0,0.461684,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,masks,qualified,0.576048,0.578141,0.064471,0.0,0.0,0.509945,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,metadata,qualified,0.504584,0.506577,0.06382,0.0,0.0,0.439703,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,structure,qualified,6.816564,6.819563,0.066153,6.251006,0.0,0.497621,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,restore,qualified,6.718852,6.722732,0.063839,6.155597,0.0,0.497491,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,initial,qualified,24.779463,24.785053,0.152275,8.780128,0.007464,15.837303,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,repeat,qualified,15.938432,15.941107,0.072465,0.0,0.009197,15.855276,False,
