profile,case_id,phase,method,paired_rounds,other_over_prepared_median,min_ratio,max_ratio
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,cudd_controls_first,3,2.543063731678618,2.4173601406580416,2.615793429913277
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,cudd_sift_once,3,3.092847114493736,2.9943554223544573,3.1061907223401137
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,agrum_lazy,3,10.967139023399103,10.77079954707763,11.071417921839114
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,storm_exact,3,2.4630905988378493,2.4609480508472736,2.471673866972428
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,cudd_controls_first,3,1.1128438774257199,1.0603632727596273,1.162276339835947
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,cudd_sift_once,3,1.132526342994903,1.1186939521441626,1.1340343909182908
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,agrum_lazy,3,33.869760720812614,33.8452595319908,34.094706288346806
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,storm_exact,3,4.847486028785574,4.833365796237408,4.964407752135663
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,cudd_controls_first,3,1.078709726389296,1.0671863663861494,1.107605807070626
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,cudd_sift_once,3,1.0882988570211707,1.0628182442339722,1.134547114202614
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,agrum_lazy,3,33.829246134006745,33.63906031580035,35.241775735142824
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,counts,storm_exact,3,5.30593607305936,5.120580998425004,5.337594999491026
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,cudd_controls_first,3,1.14642755238991,1.1052261509297527,1.1954368837942853
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,cudd_sift_once,3,1.172619100064319,1.0233352043578225,1.2175129719847402
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,agrum_lazy,3,38.332577382776584,36.813336342952795,40.25421376776479
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,masks,storm_exact,3,10.113227725701966,9.298010255344904,10.202820338863582
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,metadata,cudd_controls_first,3,1.0404866114703673,1.0238127942259905,1.069771641688074
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,metadata,cudd_sift_once,3,1.074541413283718,1.023866629330671,1.1178026949110578
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,metadata,agrum_lazy,3,33.030994926097506,32.0919561220887,33.19465507908066
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,metadata,storm_exact,3,4.577502924049631,4.5714578488785,4.5803122941154255
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,cudd_controls_first,3,4.164837259531052,4.097856628522569,4.413692802761553
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,cudd_sift_once,3,5.054986974251808,4.970481757476909,5.092137803803607
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,agrum_lazy,3,7.158164090626262,6.939635130735797,7.16278422934602
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,storm_exact,3,3.3131350598559783,3.2461291688512204,3.374144725277415
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,cudd_controls_first,3,2.657830136316449,2.632094347828027,2.699898121689016
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,cudd_sift_once,3,3.283851773666635,3.219703430142626,3.3317342904449667
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,agrum_lazy,3,11.70337887730928,11.661713582420337,11.712120708729396
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,storm_exact,3,2.293244019950095,2.2740619582666097,2.3270789830325254
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,cudd_controls_first,3,12.783608789848344,12.264776355932606,13.209214930761584
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,cudd_sift_once,3,15.490274575193345,15.200458817891525,15.596050758279171
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,agrum_lazy,3,11.51445620550913,11.36343643687814,12.21322577656935
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,storm_exact,3,5.559197771587744,5.219141294084713,5.580363379625805
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,cudd_controls_first,3,0.9972829901144954,0.8493284026975669,1.0738988350633016
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,cudd_sift_once,3,0.9747799322251408,0.9001872275420097,1.309795577707508
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,agrum_lazy,3,11.319785045417177,10.843390215730839,13.543341287660605
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,storm_exact,3,1.9521816286017926,1.759552330563732,2.4752083602722497
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,cudd_controls_first,3,1.0376150285189512,1.037204738296958,1.1516747158906
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,cudd_sift_once,3,1.0892567389896166,1.061910800967083,1.1301566018823468
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,agrum_lazy,3,14.629036499252827,14.119460982451319,14.773024902693344
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,storm_exact,3,2.2532372162826046,2.198102068482967,2.261159348598654
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,cudd_controls_first,3,1.5739404959338221,1.4408673312837297,1.7407594867445486
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,cudd_sift_once,3,1.8000396705972477,1.4730493168322192,1.9190560872779587
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,agrum_lazy,3,17.29206545846904,15.785868564655768,17.915741019397554
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,storm_exact,3,13.294003636581614,12.093044383344063,14.137219227928101
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,cudd_controls_first,3,1.064778256966801,1.0085350030354614,1.1952393010888833
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,cudd_sift_once,3,1.0149287131861466,0.9585570250098207,1.1014260935295983
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,agrum_lazy,3,13.342132203268775,13.045781387104183,17.35736027590489
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,storm_exact,3,3.461068720463771,3.325522504961515,3.851039705197514
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,cudd_controls_first,3,20.586260724499525,19.269832707912126,20.969833937318306
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,cudd_sift_once,3,24.413938290912053,24.23615148739596,24.56004925325707
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,agrum_lazy,3,5.200139021290117,5.031747078888444,5.314236788658357
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,storm_exact,3,7.662122656498252,7.334607459263542,7.686519851857752
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,cudd_controls_first,3,17.755804849592028,17.011320859455502,19.36816235497082
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,cudd_sift_once,3,22.408176032203666,20.16234660634426,23.14564895340001
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,agrum_lazy,3,14.43120149832283,13.254429637545146,14.594501130703057
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,storm_exact,3,5.823728306173673,5.242720198175756,5.847355087386639
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,cudd_controls_first,3,3.2895623077792444,3.224954624088937,3.419837272047864
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,cudd_sift_once,3,4.0682633444701874,3.914741152735396,4.140792353213654
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,agrum_lazy,3,9.728277857163969,9.713984052257924,9.799109923219907
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,storm_exact,3,1.735651049790609,1.69758009248238,1.7497585741610113
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,cudd_controls_first,3,1.3442311501432553,1.1991111989439787,1.3845203958164127
