profile,case_id,method,round,phase,circuit_nodes,prepared_states,table_bytes,bn_nodes,bn_arcs,cpt_entries,storm_model_type,storm_states,storm_transitions,storm_choices,cudd_nodes,cudd_peak_nodes,cudd_memory_bytes,cudd_variables,cudd_reorderings
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,initial,48,64,88,,,,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,repeat,48,64,88,,,,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,counts,48,64,88,,,,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,masks,48,64,88,,,,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,metadata,48,64,88,,,,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,structure,16,64,48,,,,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,0,restore,48,64,88,,,,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,initial,,,,,,,,,,,90,1022,16835816.0,17,0
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,repeat,,,,,,,,,,,90,1022,16835816.0,17,0
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,counts,,,,,,,,,,,90,1022,16835816.0,17,0
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,masks,,,,,,,,,,,90,1022,16835816.0,17,0
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,metadata,,,,,,,,,,,90,1022,16835816.0,17,0
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,structure,,,,,,,,,,,32,1022,16835816.0,17,0
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,0,restore,,,,,,,,,,,90,1022,16835816.0,17,0
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,initial,,,,,,,,,,,67,1022,16835816.0,17,1
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,repeat,,,,,,,,,,,67,1022,16835816.0,17,1
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,counts,,,,,,,,,,,67,1022,16835816.0,17,1
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,masks,,,,,,,,,,,67,1022,16835816.0,17,1
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,metadata,,,,,,,,,,,67,1022,16835816.0,17,1
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,structure,,,,,,,,,,,27,1022,16835816.0,17,1
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,0,restore,,,,,,,,,,,67,1022,16835816.0,17,1
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,initial,,,,49,76,411,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,repeat,,,,49,76,411,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,counts,,,,49,76,411,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,masks,,,,49,76,411,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,metadata,,,,49,76,411,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,structure,,,,17,23,129,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,0,restore,,,,49,76,411,,,,,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_exact,0,initial,,,,,,,MDP,124,153,149,,,,,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_exact,0,repeat,,,,,,,MDP,124,153,149,,,,,
