case_id,axis,parameters,phase,prepared_specialized_median_ms,prepared_specialized_qualified_rounds,cudd_controls_first_median_ms,cudd_controls_first_qualified_rounds,cudd_sift_once_median_ms,cudd_sift_once_qualified_rounds,agrum_lazy_median_ms,agrum_lazy_qualified_rounds,storm_exact_median_ms,storm_exact_qualified_rounds
00-graph_nodes,graph_nodes,"{""nodes"": 4}",initial,45.339677,3,5.496931,3,7.008392,3,25.141648,3,6.582539,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",repeat,0.447255,3,0.532694,3,0.563932,3,16.27248,3,2.569958,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",counts,0.418791,3,0.47677,3,0.469737,3,16.191789,3,2.645608,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",masks,0.415375,3,0.522425,3,0.475007,3,18.274247,3,5.485602,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",metadata,0.43948,3,0.470057,3,0.542813,3,16.290675,3,2.47635,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",structure,31.283784,3,5.29283,3,6.8075,3,14.771177,3,5.172597,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",restore,44.344209,3,5.069402,3,6.517245,3,24.051861,3,5.496299,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",initial,58.432374,3,5.622428,3,7.423227,3,31.421628,3,7.236057,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",repeat,0.466351,3,0.486949,3,0.510313,3,19.487276,3,2.837116,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",counts,0.431135,3,0.47688,3,0.486548,3,19.280419,3,2.940052,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",masks,0.440002,3,0.494122,3,0.494372,3,21.868551,3,6.28369,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",metadata,0.448679,3,0.488144,3,0.49289,3,19.447253,3,2.772045,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",structure,40.428544,3,5.417022,3,7.12507,3,18.423878,3,5.723764,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",restore,57.911087,3,3.873831,3,7.156569,3,30.006801,3,6.276105,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",initial,86.431578,3,5.8281,3,7.848592,3,45.908463,3,9.04714,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",repeat,0.507338,3,0.561258,3,0.553433,3,26.72799,3,3.362747,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",counts,0.485678,3,0.542905,3,0.539727,3,26.293979,3,3.497569,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",masks,0.503722,3,0.560749,3,0.555447,3,29.974842,3,7.9336,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",metadata,0.499012,3,0.545039,3,0.523818,3,26.549036,3,3.346588,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",structure,58.631189,3,5.756786,3,7.309215,3,25.270934,3,7.684452,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",restore,84.143938,3,5.555832,3,7.444558,3,43.996612,3,7.921676,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",initial,141.537067,3,6.336266,3,8.355659,3,74.198347,3,12.556871,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",repeat,0.636709,3,0.656305,3,0.636118,3,37.932131,3,4.362985,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",counts,0.588498,3,0.645966,3,0.644954,3,38.16324,3,4.460287,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",masks,0.571547,3,0.661725,3,0.652438,3,43.655015,3,11.751667,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",metadata,0.585362,3,0.648851,3,0.650935,3,38.185606,3,4.396317,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",structure,96.852692,3,6.226284,3,7.737875,3,40.757716,3,10.304968,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",restore,136.844221,3,5.843549,3,7.83142,3,73.012198,3,11.374354,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",initial,199.590144,3,7.081791,3,9.415898,3,107.193889,3,17.354727,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",repeat,0.702181,3,0.787249,3,0.793261,3,50.57367,3,5.357759,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",counts,0.663069,3,0.727078,3,0.715265,3,49.899752,3,5.530384,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",masks,0.676765,3,0.751273,3,0.742697,3,58.249709,3,15.453318,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",metadata,0.677485,3,0.75029,3,0.741293,3,50.108474,3,5.399567,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",structure,135.501772,3,6.658288,3,8.75817,3,57.622743,3,13.946536,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",restore,194.456498,3,6.378677,3,8.838417,3,106.861588,3,15.470179,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",initial,44.984496,3,5.77959,3,7.032158,3,24.936923,3,6.510314,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",repeat,0.443358,3,0.553553,3,0.557852,3,16.220961,3,2.545883,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",counts,0.417699,3,0.473254,3,0.481018,3,16.168655,3,2.669383,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",masks,0.422538,3,0.490226,3,0.473214,3,18.149851,3,5.503778,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",metadata,0.414985,3,0.46572,3,0.460039,3,16.117258,3,2.439375,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",structure,30.980514,3,5.363873,3,6.615079,3,14.494289,3,5.087429,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",restore,44.222222,3,5.257866,3,6.515474,3,23.701436,3,5.439035,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",initial,60.000308,3,5.683732,3,7.286424,3,32.704192,3,7.221161,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",repeat,0.457144,3,0.559886,3,0.572609,3,19.959684,3,2.799146,3
