profile,case_id,method,representation,round,phase,error
synthetic,22-graph_structure,agrum_conditioned,original,0,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_conditioned,original,0,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,0,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,0,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,0,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,0,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,0,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,0,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_conditioned,completion_projected,0,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,0,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,0,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,0,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,0,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,0,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,0,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_joint,original,0,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,0,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,0,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,0,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,0,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,0,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,0,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_joint,completion_projected,0,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,0,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,0,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,0,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,0,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,0,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_conditioned,original,0,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_conditioned,original,0,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_conditioned,completion_projected,0,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_conditioned,completion_projected,0,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_joint,original,0,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_joint,original,0,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_joint,completion_projected,0,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_joint,completion_projected,0,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,1,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_conditioned,original,1,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,1,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,1,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,1,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,1,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,1,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,1,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_conditioned,completion_projected,1,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,1,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,1,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,1,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,1,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,1,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,1,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_joint,original,1,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,1,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,1,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,1,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,1,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,1,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,1,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_joint,completion_projected,1,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,1,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,1,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,1,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,1,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,1,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_conditioned,original,1,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_conditioned,original,1,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_conditioned,completion_projected,1,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_conditioned,completion_projected,1,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_joint,original,1,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_joint,original,1,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_joint,completion_projected,1,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_joint,completion_projected,1,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,2,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_conditioned,original,2,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,2,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,2,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,2,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,2,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,original,2,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,2,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_conditioned,completion_projected,2,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,2,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,2,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,2,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,2,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_conditioned,completion_projected,2,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,2,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_joint,original,2,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,2,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,2,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,2,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,2,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,original,2,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,2,initial,Exception: std::bad_alloc
synthetic,22-graph_structure,agrum_joint,completion_projected,2,repeat,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,2,counts,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,2,masks,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,2,metadata,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,2,structure,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,22-graph_structure,agrum_joint,completion_projected,2,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_conditioned,completion_projected,2,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_conditioned,completion_projected,2,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_joint,original,2,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_joint,original,2,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_joint,completion_projected,2,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_joint,completion_projected,2,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
synthetic,23-graph_structure,agrum_conditioned,original,2,structure,Exception: std::bad_alloc
synthetic,23-graph_structure,agrum_conditioned,original,2,restore,RuntimeError: upstream_failure: stream infrastructure cannot safely be reused
