profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,original,0,initial,qualified,1.156097,1.155295,1.160918,0.000802,0.102032,0.002415,0.0,1.048906,1.048906,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,original,0,repeat,qualified,0.892624,0.887805,0.894721,0.004819,0.071034,0.0,0.0,0.815439,0.815439,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,original,0,counts,qualified,0.858028,0.853159,0.859996,0.004869,0.059842,0.0,0.0,0.792014,0.792014,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,original,0,masks,qualified,1.008471,1.007749,1.010557,0.000722,0.063179,0.0,0.0,0.943349,0.943349,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,original,0,metadata,qualified,0.979897,0.979205,0.981843,0.000692,0.065483,0.0,0.0,0.91253,0.91253,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,original,0,structure,qualified,0.984305,0.983604,0.986251,0.000701,0.064211,0.001022,0.0,0.917189,0.917189,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,original,0,restore,qualified,0.910797,0.910156,0.912835,0.000641,0.061745,0.000942,0.0,0.846276,0.846276,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,completion_projected,0,initial,qualified,1.215499,0.908503,1.22092,0.306996,0.086021,0.002405,0.0,0.818214,0.818214,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,completion_projected,0,repeat,qualified,1.034579,0.759523,1.036646,0.275056,0.068558,0.0,0.0,0.689413,0.689413,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,completion_projected,0,counts,qualified,0.990717,0.730138,0.992684,0.260579,0.055855,0.0,0.0,0.673031,0.673031,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,completion_projected,0,masks,qualified,1.212243,0.920846,1.214347,0.291397,0.063659,0.0,0.0,0.855914,0.855914,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,completion_projected,0,metadata,qualified,1.241678,0.982472,1.243803,0.259206,0.05839,0.0,0.0,0.922789,0.922789,False,
