profile,case_id,method,representation,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,original,0,0,False,0.12,0.11,36.15234375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_direct,completion_projected,0,0,False,0.12,0.12,36.09765625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_prepared,original,0,0,False,0.12,0.12,36.1015625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_prepared,completion_projected,0,0,False,0.12,0.12,36.19921875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,original,0,0,False,0.24,0.24,61.4375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,completion_projected,0,0,False,0.25,0.24,61.39453125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,original,0,0,False,0.25,0.24,61.23046875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,completion_projected,0,0,False,0.25,0.24,61.4609375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,original,0,0,False,0.23,0.22999999999999998,48.3125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,completion_projected,0,0,False,0.21,0.2,47.8515625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,original,0,0,False,0.19,0.19,48.265625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,completion_projected,0,0,False,0.18,0.18,48.0390625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_sparse,original,0,0,False,0.25,0.25,94.609375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_sparse,completion_projected,0,0,False,0.24,0.24,94.6171875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_compact,original,0,0,False,0.25,0.24,94.515625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_compact,completion_projected,0,0,False,0.24,0.24,94.6015625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,ours_direct,completion_projected,0,0,False,0.11,0.11,35.9921875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,ours_prepared,original,0,0,False,0.11,0.11,35.98828125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,ours_prepared,completion_projected,0,0,False,0.12,0.11,36.1015625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_fixed,original,0,0,False,0.25,0.24000000000000002,61.1328125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_fixed,completion_projected,0,0,False,0.24,0.24000000000000002,61.41796875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift,original,0,0,False,0.24,0.24000000000000002,61.26953125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift,completion_projected,0,0,False,0.24,0.24,61.1953125
