profile,case_id,phase,method,paired_rounds,original_over_projected,kernel_original_over_projected
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,ours_direct,3,0.8834277958031638,1.2052715431412202
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,ours_prepared,3,1.129396794769677,1.33396780384658
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,cudd_fixed,3,0.9488593244901448,1.0341634768505286
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,cudd_sift,3,0.9890370672400065,1.079772826028581
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,agrum_conditioned,3,1.427609955108974,1.4670196277564425
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,agrum_joint,3,1.4304519224907812,1.4860314708232163
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,storm_sparse,3,1.2370388846128513,1.325668997047526
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,initial,storm_compact,3,1.0844335401703928,1.1732267698345924
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,ours_direct,3,0.8719455517501669,1.1688981110512782
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,ours_prepared,3,0.6918321405772268,1.0975797049700797
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,cudd_fixed,3,0.7280246294342494,1.0977712159512039
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,cudd_sift,3,0.7169561081056738,1.0828073316151468
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,agrum_conditioned,3,1.18257313417375,1.2280805165174606
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,agrum_joint,3,0.8917274704089717,0.993131179597345
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,storm_sparse,3,1.2426567440393448,1.4943718106985777
