case_id,axis,parameters,representation,phase,ours_direct_median_ms,ours_direct_qualified_rounds,ours_prepared_median_ms,ours_prepared_qualified_rounds,cudd_fixed_median_ms,cudd_fixed_qualified_rounds,cudd_sift_median_ms,cudd_sift_qualified_rounds,agrum_conditioned_median_ms,agrum_conditioned_qualified_rounds,agrum_joint_median_ms,agrum_joint_qualified_rounds,storm_sparse_median_ms,storm_sparse_qualified_rounds,storm_compact_median_ms,storm_compact_qualified_rounds
00-graph_nodes,graph_nodes,"{""nodes"": 4}",original,initial,1.204262,3,42.099633,3,3.842957,3,4.575293,3,17.036419,3,12.194543,3,5.752785,3,4.918713,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",original,repeat,0.93861,3,0.447817,3,0.52151,3,0.577083,3,8.845376,3,2.162903,3,2.142922,3,0.934744,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",original,counts,0.92467,3,0.411333,3,0.503311,3,0.559547,3,8.697253,3,2.102271,3,2.235242,3,1.083539,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",original,masks,0.970729,3,0.417091,3,0.508219,3,0.555251,3,11.204324,3,6.609342,3,3.976577,3,3.221635,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",original,metadata,0.956938,3,0.403801,3,0.569813,3,0.624455,3,8.512211,3,2.12088,3,2.042461,3,0.886301,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",original,structure,0.970119,3,44.598997,3,0.60089,3,1.000003,3,17.136721,3,11.963495,3,4.14323,3,3.204961,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",original,restore,0.8858,3,41.74667,3,0.546777,3,1.190943,3,16.217233,3,11.621636,3,3.912661,3,3.697535,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",completion_projected,initial,1.326808,3,39.553322,3,3.149827,3,4.609607,3,15.528882,3,11.133637,3,5.518131,3,4.65912,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",completion_projected,repeat,1.128809,3,0.574971,3,0.704937,3,0.797587,3,8.357478,3,2.276735,3,2.047208,3,0.987444,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",completion_projected,counts,1.02428,3,0.533347,3,0.598275,3,0.689503,3,8.264626,3,2.22636,3,2.186639,3,1.107335,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",completion_projected,masks,1.101727,3,0.50889,3,0.586578,3,0.657414,3,10.723006,3,6.110767,3,3.704937,3,2.941672,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",completion_projected,metadata,1.046273,3,0.520859,3,0.577534,3,0.673929,3,8.317776,3,2.249254,3,1.990202,3,0.920553,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",completion_projected,structure,1.054476,3,42.362733,3,0.689784,3,1.015597,3,15.905539,3,11.129794,3,3.830857,3,2.97388,3
00-graph_nodes,graph_nodes,"{""nodes"": 4}",completion_projected,restore,0.990839,3,38.816577,3,0.638867,3,1.13011,3,14.957504,3,10.503906,3,3.721142,3,3.493688,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",original,initial,1.32199,3,54.208252,3,3.848233,3,4.70513,3,20.515869,3,15.505072,3,6.520036,3,5.717903,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",original,repeat,1.139584,3,0.460788,3,0.635271,3,0.696113,3,9.274136,3,2.182363,3,2.387423,3,1.067946,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",original,counts,1.109459,3,0.430571,3,0.522701,3,0.597214,3,9.278953,3,2.144035,3,2.561997,3,1.208819,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",original,masks,1.183601,3,0.444422,3,0.547068,3,0.630013,3,13.054203,3,7.860134,3,4.751299,3,3.994725,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",original,metadata,1.171883,3,0.428909,3,0.540197,3,0.584545,3,9.311622,3,2.132517,3,2.338108,3,1.017981,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",original,structure,1.199445,3,57.056351,3,0.655522,3,1.111632,3,22.180724,3,16.41293,3,4.934347,3,4.516354,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",original,restore,1.109579,3,54.205773,3,0.608751,3,1.409312,3,21.040302,3,15.846068,3,4.681604,3,3.784347,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",completion_projected,initial,1.443244,3,47.002363,3,3.308017,3,4.008166,3,17.301394,3,12.859509,3,5.783583,3,4.921779,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",completion_projected,repeat,1.2682,3,0.630154,3,0.685908,3,0.768974,3,8.441145,3,2.354263,3,2.10767,3,1.056909,3
