application,method,reason,cells
deathstarbench_social_network,Gstar,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,GID,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,Gselected,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,G_without_deadline,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,G_without_selection,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,G_without_completion,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,G0,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,B0,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,PMX,acquisition_or_evaluator_unavailable,240
deathstarbench_social_network,PMX_inclusive,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,Gstar,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,GID,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,Gselected,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,G_without_deadline,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,G_without_selection,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,G_without_completion,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,G0,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,B0,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,PMX,acquisition_or_evaluator_unavailable,240
opentelemetry_demo,PMX_inclusive,acquisition_or_evaluator_unavailable,240
spring_petclinic_microservices,Gstar,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,GID,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,Gselected,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,G_without_deadline,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,G_without_selection,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,G_without_completion,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,G0,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,B0,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,PMX,acquisition_or_evaluator_unavailable,320
spring_petclinic_microservices,PMX_inclusive,acquisition_or_evaluator_unavailable,320
