application,operation,method,attempts,campaigns,median_absolute_error_pp,p90_absolute_error_pp,planned_campaigns,retained_conditions,standardized_mean
deathstarbench_social_network,compose_post,Gstar,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,Gstar,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,Gstar,0,0,,,80,0,
deathstarbench_social_network,compose_post,GID,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,GID,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,GID,0,0,,,80,0,
deathstarbench_social_network,compose_post,Gselected,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,Gselected,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,Gselected,0,0,,,80,0,
deathstarbench_social_network,compose_post,G_without_deadline,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,G_without_deadline,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,G_without_deadline,0,0,,,80,0,
deathstarbench_social_network,compose_post,G_without_selection,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,G_without_selection,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,G_without_selection,0,0,,,80,0,
deathstarbench_social_network,compose_post,G_without_completion,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,G_without_completion,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,G_without_completion,0,0,,,80,0,
deathstarbench_social_network,compose_post,G0,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,G0,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,G0,0,0,,,80,0,
deathstarbench_social_network,compose_post,B0,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,B0,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,B0,0,0,,,80,0,
deathstarbench_social_network,compose_post,PMX,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,PMX,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,PMX,0,0,,,80,0,
deathstarbench_social_network,compose_post,PMX_inclusive,0,0,,,80,0,
deathstarbench_social_network,read_home_timeline,PMX_inclusive,0,0,,,80,0,
deathstarbench_social_network,read_user_timeline,PMX_inclusive,0,0,,,80,0,
opentelemetry_demo,add_to_cart,Gstar,0,0,,,80,0,
opentelemetry_demo,browse_product,Gstar,0,0,,,80,0,
opentelemetry_demo,checkout,Gstar,0,0,,,80,0,
opentelemetry_demo,add_to_cart,GID,0,0,,,80,0,
