application,method,reason,cells
deathstarbench_social_network,Gstar,not_point_identified_under_declared_observation_law,15
deathstarbench_social_network,Gstar,unexplained native parent boundary,39
deathstarbench_social_network,GID,unexplained native parent boundary,39
deathstarbench_social_network,Gselected,not_point_identified_under_declared_observation_law,80
deathstarbench_social_network,Gselected,unexplained native parent boundary,39
deathstarbench_social_network,G_without_deadline,not_point_identified_under_declared_observation_law,21
deathstarbench_social_network,G_without_deadline,unexplained native parent boundary,39
deathstarbench_social_network,G_without_selection,not_point_identified_under_declared_observation_law,15
deathstarbench_social_network,G_without_selection,unexplained native parent boundary,39
deathstarbench_social_network,G_without_completion,not_point_identified_under_declared_observation_law,75
deathstarbench_social_network,G_without_completion,unexplained native parent boundary,39
deathstarbench_social_network,G0,shared_graph_extraction_unsupported: unexplained native parent boundary,39
opentelemetry_demo,Gstar,not_point_identified_under_declared_observation_law,105
opentelemetry_demo,Gselected,not_point_identified_under_declared_observation_law,114
opentelemetry_demo,G_without_deadline,not_point_identified_under_declared_observation_law,135
opentelemetry_demo,G_without_selection,not_point_identified_under_declared_observation_law,105
opentelemetry_demo,G_without_completion,not_point_identified_under_declared_observation_law,111
opentelemetry_demo,PMX,unsupported_conditional_propagation_or_positivity,140
spring_petclinic_microservices,Gselected,not_point_identified_under_declared_observation_law,156
spring_petclinic_microservices,G_without_deadline,not_point_identified_under_declared_observation_law,160
spring_petclinic_microservices,G_without_completion,not_point_identified_under_declared_observation_law,156
