application,campaign_id,evaluator_reason,evaluator_status,forecast,law,method,metrics,operation,placement,repetition
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""77/80"", ""probability"": 0.9625, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 3.833333333333333, ""attempts"": 1200, ""brier"": 0.07155208333333334, ""forecast"": 0.9625, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.833333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 7.58333333333333, ""attempts"": 1200, ""brier"": 0.07583333333333334, ""forecast"": 1.0, ""observed"": 0.9241666666666667, ""signed_error_pp"": 7.58333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""identified_lower"": 0.9991666666666666, ""identified_upper"": 1.0, ""lower_exact"": ""1199/1200"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1""}",N,Gselected,,compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1199/1200"", ""probability"": 0.9991666666666666, ""reason"": null, ""status"": ""ok""}",N,G_without_deadline,"{""absolute_error_pp"": 7.499999999999996, ""attempts"": 1200, ""brier"": 0.07570763888888887, ""forecast"": 0.9991666666666666, ""observed"": 0.9241666666666667, ""signed_error_pp"": 7.499999999999996, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""77/80"", ""probability"": 0.9625, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 3.833333333333333, ""attempts"": 1200, ""brier"": 0.07155208333333334, ""forecast"": 0.9625, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.833333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""identified_lower"": 0.9625, ""identified_upper"": 0.9633333333333334, ""lower_exact"": ""77/80"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""289/300""}",N,G_without_completion,,compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 7.58333333333333, ""attempts"": 1200, ""brier"": 0.07583333333333334, ""forecast"": 1.0, ""observed"": 0.9241666666666667, ""signed_error_pp"": 7.58333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1155/1200"", ""probability"": 0.9625, ""reason"": null, ""status"": ""ok"", ""successes"": 1155, ""timeouts"": 44}",N,B0,"{""absolute_error_pp"": 3.833333333333333, ""attempts"": 1200, ""brier"": 0.07155208333333334, ""forecast"": 0.9625, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.833333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""model_id"": ""campaign-cab5f63e4c701ae863c4--compose_post--conditional_local"", ""probability"": 0.9625, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 3.833333333333333, ""attempts"": 1200, ""brier"": 0.07155208333333334, ""forecast"": 0.9625, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.833333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""model_id"": ""campaign-cab5f63e4c701ae863c4--compose_post--inclusive"", ""probability"": 0.9616979166666667, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 3.7531250000000016, ""attempts"": 1200, ""brier"": 0.07149123361545139, ""forecast"": 0.9616979166666667, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.7531250000000016, ""successes"": 1109}",compose_post,colocated,0
