campaign_id,job_role,attempt_id,input_bytes,native_bytes,ordinary_role_bytes,pmx_role_bytes,input_loading_seconds,combined_process_seconds,acquisition_process_seconds,shared_native_extraction_seconds,manual_integration_seconds,manual_reason,update_seconds,update_reason
v3-main-771601/deathstarbench_social_network/colocated/N/0,acquisition,1,,59173563,36799314,36557739,,,2059.755276237,2.103539488000024,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/0,graph,1,36798798,,,,0.4169566650000007,1.4161136190000008,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,acquisition,1,,59176350,36803195,36561412,,,2059.398056518,2.04529918299977,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,graph,1,36802679,,,,0.43272821799996564,1.4481136669999728,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,acquisition,1,,59123938,36767458,36525842,,,2058.731148095,1.8644931720000386,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,36766942,,,,0.42964465400007157,1.4684478860000354,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,acquisition,1,,59160634,36797319,36556083,,,2059.4815317009998,2.0431385379997664,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,36796803,,,,0.44827123700000016,1.4560201039999967,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,acquisition,1,,59126519,36765436,36524378,,,2058.663330105,1.8421193760000278,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,graph,1,36764920,,,,0.4705510639999986,1.4889455669999947,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/5,acquisition,1,,59160307,36816874,36575198,,,2059.604785808,2.084640715000205,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/5,graph,1,36816358,,,,0.4324223779999983,1.4215906310000008,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,acquisition,1,,59151685,36804900,36563556,,,2059.8468072429996,2.202216459000283,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,graph,1,36804384,,,,0.4147755140000058,1.474912297000003,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/7,acquisition,1,,59185998,36805695,36564235,,,2060.555604346,2.326012788999833,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/7,graph,1,36805179,,,,0.44437333900009435,1.4049394559999655,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,acquisition,1,,59160137,36794986,36553136,,,2059.440406232,2.001697760999832,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,graph,1,36794470,,,,0.4437354869999979,1.4281592049999858,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/9,acquisition,1,,59166398,36786119,36544764,,,2059.9607499639997,2.2790517979997276,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/9,graph,1,36785603,,,,0.4362647239999973,1.4641358919999945,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/0,acquisition,1,,57101108,36617450,36374609,,,2059.8760781829997,2.10962482099967,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/0,graph,1,36616934,,,,0.32355911999999876,1.0127889549999907,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,acquisition,1,,57448876,36220938,35978365,,,2059.1415686170003,1.9894291539999358,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,graph,1,36220422,,,,0.4290678009999951,0.7802704209999973,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/1,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/2,acquisition,1,,58817590,36740175,36498106,,,2059.624853986,2.0850543180004024,,,,
