campaign_id,job_role,attempt_id,case_id,qualified,elapsed_seconds,startup_seconds,internal_watchdog_seconds,exit_code,started_at,finished_at,jar_sha256
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--compose_post,True,27.907329511,20,1800,0,2026-09-10T17:36:43.148469+00:00,2026-09-10T17:37:11.055797+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_home_timeline,True,22.928578218,20,1800,0,2026-09-10T17:37:11.413029+00:00,2026-09-10T17:37:34.341607+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_user_timeline,True,22.985756672000008,20,1800,0,2026-09-10T17:37:34.540825+00:00,2026-09-10T17:37:57.526581+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--compose_post,True,26.752323853000007,20,1800,0,2026-09-10T17:36:50.449898+00:00,2026-09-10T17:37:17.202222+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_home_timeline,True,22.88082189100001,20,1800,0,2026-09-10T17:37:17.567096+00:00,2026-09-10T17:37:40.447918+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_user_timeline,True,22.930861748000012,20,1800,0,2026-09-10T17:37:40.641220+00:00,2026-09-10T17:38:03.572082+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,campaign-d318662e2636c1ac40be--compose_post,True,27.546706178000022,20,1800,0,2026-09-10T17:36:37.863440+00:00,2026-09-10T17:37:05.410145+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,campaign-d318662e2636c1ac40be--read_home_timeline,True,22.982169021000004,20,1800,0,2026-09-10T17:37:05.762893+00:00,2026-09-10T17:37:28.745062+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,campaign-d318662e2636c1ac40be--read_user_timeline,True,22.981414169999994,20,1800,0,2026-09-10T17:37:28.936299+00:00,2026-09-10T17:37:51.917713+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--compose_post,True,26.89675572200001,20,1800,0,2026-09-10T17:36:50.643605+00:00,2026-09-10T17:37:17.540360+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_home_timeline,True,23.084053757999982,20,1800,0,2026-09-10T17:37:17.912081+00:00,2026-09-10T17:37:40.996134+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_user_timeline,True,23.039289405000005,20,1800,0,2026-09-10T17:37:41.202633+00:00,2026-09-10T17:38:04.241923+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--compose_post,True,30.654649003000003,20,1800,0,2026-09-10T17:36:54.828358+00:00,2026-09-10T17:37:25.483006+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_home_timeline,True,22.783627849,20,1800,0,2026-09-10T17:37:25.785502+00:00,2026-09-10T17:37:48.569129+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_user_timeline,True,22.834664271999998,20,1800,0,2026-09-10T17:37:48.743892+00:00,2026-09-10T17:38:11.578556+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--compose_post,True,27.89505794600001,20,1800,0,2026-09-10T17:36:36.688105+00:00,2026-09-10T17:37:04.583162+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_home_timeline,True,22.478026142000033,20,1800,0,2026-09-10T17:37:04.852192+00:00,2026-09-10T17:37:27.330218+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_user_timeline,True,22.47784372199999,20,1800,0,2026-09-10T17:37:27.479653+00:00,2026-09-10T17:37:49.957497+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--compose_post,True,26.292867743999977,20,1800,0,2026-09-10T17:36:39.944630+00:00,2026-09-10T17:37:06.237497+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_home_timeline,True,21.82748484000001,20,1800,0,2026-09-10T17:37:06.452016+00:00,2026-09-10T17:37:28.279501+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_user_timeline,True,21.87374480799997,20,1800,0,2026-09-10T17:37:28.386768+00:00,2026-09-10T17:37:50.260514+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--compose_post,True,27.19183612300001,20,1800,0,2026-09-10T17:36:30.198430+00:00,2026-09-10T17:36:57.390264+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_home_timeline,True,22.58012247500001,20,1800,0,2026-09-10T17:36:57.658135+00:00,2026-09-10T17:37:20.238257+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
