campaign_id,job_role,attempt_id,model_id,variant,extraction_status,status,repetition,load_solve_elapsed_nanoseconds,evaluated_physical_states,total_physical_states
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--compose_post--conditional_local,conditional_local,prepared,solved,0,158110653,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--compose_post--conditional_local,conditional_local,prepared,solved,1,157907649,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--compose_post--inclusive,inclusive,prepared,solved,0,157581283,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--compose_post--inclusive,inclusive,prepared,solved,1,157171112,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,33507381,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,34162412,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_home_timeline--inclusive,inclusive,prepared,solved,0,34670845,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_home_timeline--inclusive,inclusive,prepared,solved,1,33518038,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,52157574,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,51307963,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_user_timeline--inclusive,inclusive,prepared,solved,0,51747609,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/0,pmx,1,campaign-cab5f63e4c701ae863c4--read_user_timeline--inclusive,inclusive,prepared,solved,1,52393720,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--compose_post--conditional_local,conditional_local,prepared,solved,0,154458822,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--compose_post--conditional_local,conditional_local,prepared,solved,1,158093298,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--compose_post--inclusive,inclusive,prepared,solved,0,163048501,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--compose_post--inclusive,inclusive,prepared,solved,1,171813993,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,35590585,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,33823233,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_home_timeline--inclusive,inclusive,prepared,solved,0,35267140,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_home_timeline--inclusive,inclusive,prepared,solved,1,33870661,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,50715433,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,51331263,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_user_timeline--inclusive,inclusive,prepared,solved,0,50898666,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,campaign-9214a3a25201cb1bad3d--read_user_timeline--inclusive,inclusive,prepared,solved,1,52218581,1,1
