campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-main-771601/deathstarbench_social_network/colocated/N/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",628342784.0,acquisition-resource-usage.txt,93.96,233.07,2072.23,,,
v3-main-771601/deathstarbench_social_network/colocated/N/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52170752.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,11.04,,,
v3-main-771601/deathstarbench_social_network/colocated/N/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52428800.0,logs/services.log.resource-usage.txt,0.04,0.12,0.13,,,
v3-main-771601/deathstarbench_social_network/colocated/N/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52756480.0,pull-resource-usage.txt,0.06,0.17,20.16,,,
v3-main-771601/deathstarbench_social_network/colocated/N/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54919168.0,start-resource-usage.txt,0.06,0.14,8.35,,,
v3-main-771601/deathstarbench_social_network/colocated/N/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",222814208.0,build-resource-usage.txt,0.14,3.1,2.81,,,
v3-main-771601/deathstarbench_social_network/colocated/N/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109244416.0,replay-resource-usage.txt,0.07,1.44,0.93,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",628686848.0,acquisition-resource-usage.txt,89.69,220.23,2071.99,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51806208.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,11.21,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52355072.0,logs/services.log.resource-usage.txt,0.03,0.11,0.12,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51888128.0,pull-resource-usage.txt,0.05,0.17,20.36,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52662272.0,start-resource-usage.txt,0.03,0.15,8.44,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219488256.0,build-resource-usage.txt,0.14,3.19,3.04,,,
