application,method,status,planned_cells,scored_cells,attempts,absolute_error_pp,signed_error_pp,brier,median_absolute_error_pp,p90_absolute_error_pp,forecast_status_counts,absence_reasons
deathstarbench_social_network,Gstar,estimable_on_reported_own_support,240,186,223200,1.2429976851851856,-0.04137731481481505,0.0714613570601852,0.2500000000000002,2.6666666666666727,"{""ok"": 186, ""unsupported"": 54}","{""not_point_identified_under_declared_observation_law"": 15, ""unexplained native parent boundary"": 39}"
deathstarbench_social_network,GID,estimable_on_reported_own_support,240,201,241200,7.847941468253968,7.847941468253968,0.08047549437830688,7.08333333333333,14.416666666666666,"{""ok"": 201, ""unsupported"": 39}","{""unexplained native parent boundary"": 39}"
deathstarbench_social_network,Gselected,estimable_on_reported_own_support,240,121,145200,2.871180555555556,2.871180555555556,0.028711805555555556,0.0,13.083333333333336,"{""ok"": 121, ""unsupported"": 119}","{""not_point_identified_under_declared_observation_law"": 80, ""unexplained native parent boundary"": 39}"
deathstarbench_social_network,G_without_deadline,estimable_on_reported_own_support,240,180,216000,6.234317129629629,6.234317129629629,0.07498244212962962,5.499999999999994,12.591666666666667,"{""ok"": 180, ""unsupported"": 60}","{""not_point_identified_under_declared_observation_law"": 21, ""unexplained native parent boundary"": 39}"
deathstarbench_social_network,G_without_selection,estimable_on_reported_own_support,240,186,223200,1.1326388888888892,0.2517361111111105,0.0714085479359568,0.29166666666666785,2.374999999999999,"{""ok"": 186, ""unsupported"": 54}","{""not_point_identified_under_declared_observation_law"": 15, ""unexplained native parent boundary"": 39}"
deathstarbench_social_network,G_without_completion,estimable_on_reported_own_support,240,126,151200,0.571354166666667,-0.22100694444444485,0.049909636863425935,0.0,1.8333333333333313,"{""ok"": 126, ""unsupported"": 114}","{""not_point_identified_under_declared_observation_law"": 75, ""unexplained native parent boundary"": 39}"
deathstarbench_social_network,G0,estimable_on_reported_own_support,240,201,241200,8.12765376984127,8.12765376984127,0.0812765376984127,7.166666666666666,14.749999999999996,"{""ok"": 201, ""unsupported"": 39}","{""shared_graph_extraction_unsupported: unexplained native parent boundary"": 39}"
deathstarbench_social_network,B0,estimable_on_reported_own_support,240,240,288000,1.2173611111111113,0.09305555555555567,0.07119491608796297,0.7499999999999951,3.4250000000000007,"{""ok"": 240}",{}
deathstarbench_social_network,PMX,estimable_on_reported_own_support,240,240,288000,1.2173611111111116,0.09305555555555547,0.07119491608796297,0.7499999999999951,3.4250000000000007,"{""ok"": 240}",{}
deathstarbench_social_network,PMX_inclusive,estimable_on_reported_own_support,240,240,288000,1.6983182870370372,-0.998707175925926,0.07158979905666071,0.8333333333333304,5.071833333333327,"{""ok"": 240}",{}
opentelemetry_demo,Gstar,estimable_on_reported_own_support,240,135,162000,2.1469576719576726,0.045370370370370276,0.15120272486772485,1.749999999999996,4.383333333333328,"{""ok"": 135, ""unsupported"": 105}","{""not_point_identified_under_declared_observation_law"": 105}"
opentelemetry_demo,GID,estimable_on_reported_own_support,240,240,288000,20.28263888888889,20.28263888888889,0.20529429398148147,17.54166666666667,32.76666666666666,"{""ok"": 240}",{}
opentelemetry_demo,Gselected,estimable_on_reported_own_support,240,126,151200,17.423214285714284,17.423214285714284,0.17555210813492064,16.541666666666664,29.66666666666667,"{""ok"": 126, ""unsupported"": 114}","{""not_point_identified_under_declared_observation_law"": 114}"
opentelemetry_demo,G_without_deadline,estimable_on_reported_own_support,240,105,126000,2.1605725623582774,0.378571428571428,0.14491030541383218,1.5833333333333255,4.216666666666665,"{""ok"": 105, ""unsupported"": 135}","{""not_point_identified_under_declared_observation_law"": 135}"
opentelemetry_demo,G_without_selection,estimable_on_reported_own_support,240,135,162000,2.1443121693121694,0.16970899470899506,0.15121564373897708,1.749999999999996,4.333333333333334,"{""ok"": 135, ""unsupported"": 105}","{""not_point_identified_under_declared_observation_law"": 105}"
