application,operation,method,attempts,campaigns,median_absolute_error_pp,p90_absolute_error_pp,planned_campaigns,retained_conditions,standardized_mean
deathstarbench_social_network,compose_post,Gstar,62400,52,1.541666666666669,4.308333333333323,80,8,"{""absolute_error_pp"": 2.110763888888889, ""brier"": 0.096994375, ""forecast"": 0.8947291666666667, ""observed"": 0.8897361111111111, ""signed_error_pp"": 0.4993055555555554}"
deathstarbench_social_network,read_home_timeline,Gstar,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,Gstar,64800,54,1.1666666666666659,2.6416666666666724,80,8,"{""absolute_error_pp"": 1.618229166666667, ""brier"": 0.11738969618055556, ""forecast"": 0.8565833333333334, ""observed"": 0.8628177083333333, ""signed_error_pp"": -0.6234375000000006}"
deathstarbench_social_network,compose_post,GID,80400,67,9.916666666666673,14.883333333333333,80,8,"{""absolute_error_pp"": 10.276116071428572, ""brier"": 0.10572675657242064, ""forecast"": 0.9961138392857143, ""observed"": 0.8933526785714285, ""signed_error_pp"": 10.276116071428572}"
deathstarbench_social_network,read_home_timeline,GID,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,GID,64800,54,12.5,16.483333333333338,80,8,"{""absolute_error_pp"": 13.267708333333333, ""brier"": 0.1356997265625, ""forecast"": 0.9954947916666665, ""observed"": 0.8628177083333333, ""signed_error_pp"": 13.267708333333333}"
deathstarbench_social_network,compose_post,Gselected,1200,1,5.249999999999999,5.249999999999999,80,1,"{""absolute_error_pp"": 5.249999999999999, ""brier"": 0.0525, ""forecast"": 1.0, ""observed"": 0.9475, ""signed_error_pp"": 5.249999999999999}"
deathstarbench_social_network,read_home_timeline,Gselected,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,Gselected,48000,40,11.25,15.366666666666665,80,4,"{""absolute_error_pp"": 11.304166666666667, ""brier"": 0.11304166666666667, ""forecast"": 1.0, ""observed"": 0.8869583333333334, ""signed_error_pp"": 11.304166666666667}"
deathstarbench_social_network,compose_post,G_without_deadline,55200,46,7.2916666666666625,13.208333333333332,80,7,"{""absolute_error_pp"": 8.54563492063492, ""brier"": 0.09812073412698412, ""forecast"": 0.983984126984127, ""observed"": 0.8985277777777778, ""signed_error_pp"": 8.54563492063492}"
deathstarbench_social_network,read_home_timeline,G_without_deadline,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,G_without_deadline,64800,54,10.125,14.000000000000002,80,8,"{""absolute_error_pp"": 10.532812499999999, ""brier"": 0.12870518229166666, ""forecast"": 0.9681458333333333, ""observed"": 0.8628177083333333, ""signed_error_pp"": 10.532812499999999}"
deathstarbench_social_network,compose_post,G_without_selection,62400,52,1.3749999999999984,4.066666666666661,80,8,"{""absolute_error_pp"": 1.9953125, ""brier"": 0.0969697583912037, ""forecast"": 0.8975329861111111, ""observed"": 0.8897361111111111, ""signed_error_pp"": 0.7796874999999992}"
deathstarbench_social_network,read_home_timeline,G_without_selection,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,G_without_selection,64800,54,1.1666666666666714,2.3916666666666666,80,8,"{""absolute_error_pp"": 1.4026041666666675, ""brier"": 0.11725588541666668, ""forecast"": 0.8625729166666667, ""observed"": 0.8628177083333333, ""signed_error_pp"": -0.024479166666667773}"
deathstarbench_social_network,compose_post,G_without_completion,1200,1,0.8333333333333304,0.8333333333333304,80,1,"{""absolute_error_pp"": 0.8333333333333304, ""brier"": 0.049813194444444445, ""forecast"": 0.9391666666666667, ""observed"": 0.9475, ""signed_error_pp"": -0.8333333333333304}"
deathstarbench_social_network,read_home_timeline,G_without_completion,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,G_without_completion,54000,45,1.0000000000000009,2.4833333333333356,80,7,"{""absolute_error_pp"": 1.292857142857144, ""brier"": 0.11298051587301587, ""forecast"": 0.8646825396825397, ""observed"": 0.8690158730158731, ""signed_error_pp"": -0.4333333333333345}"
deathstarbench_social_network,compose_post,G0,80400,67,10.33333333333334,15.199999999999996,80,8,"{""absolute_error_pp"": 10.664732142857142, ""brier"": 0.10664732142857142, ""forecast"": 1.0, ""observed"": 0.8933526785714285, ""signed_error_pp"": 10.664732142857142}"
deathstarbench_social_network,read_home_timeline,G0,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,G0,64800,54,12.83333333333333,16.700000000000003,80,8,"{""absolute_error_pp"": 13.718229166666667, ""brier"": 0.13718229166666668, ""forecast"": 1.0, ""observed"": 0.8628177083333333, ""signed_error_pp"": 13.718229166666667}"
deathstarbench_social_network,compose_post,B0,96000,80,1.6666666666666663,4.008333333333336,80,8,"{""absolute_error_pp"": 2.003125, ""brier"": 0.09635299479166667, ""forecast"": 0.89521875, ""observed"": 0.8905000000000001, ""signed_error_pp"": 0.47187499999999993}"
deathstarbench_social_network,read_home_timeline,B0,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,B0,96000,80,1.3333333333333308,3.600000000000006,80,8,"{""absolute_error_pp"": 1.6489583333333333, ""brier"": 0.11723175347222223, ""forecast"": 0.8611250000000001, ""observed"": 0.8630520833333333, ""signed_error_pp"": -0.19270833333333295}"
deathstarbench_social_network,compose_post,PMX,96000,80,1.6666666666666718,4.008333333333336,80,8,"{""absolute_error_pp"": 2.003125, ""brier"": 0.09635299479166667, ""forecast"": 0.89521875, ""observed"": 0.8905000000000001, ""signed_error_pp"": 0.47187499999999966}"
deathstarbench_social_network,read_home_timeline,PMX,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,PMX,96000,80,1.3333333333333364,3.5999999999999956,80,8,"{""absolute_error_pp"": 1.6489583333333346, ""brier"": 0.11723175347222223, ""forecast"": 0.8611250000000001, ""observed"": 0.8630520833333333, ""signed_error_pp"": -0.1927083333333332}"
deathstarbench_social_network,compose_post,PMX_inclusive,96000,80,2.051979166666673,5.448243055555553,80,8,"{""absolute_error_pp"": 2.6122317708333336, ""brier"": 0.09680347863087746, ""forecast"": 0.8792051649305556, ""observed"": 0.8905000000000001, ""signed_error_pp"": -1.129483506944445}"
deathstarbench_social_network,read_home_timeline,PMX_inclusive,96000,80,0.0,0.0,80,8,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,PMX_inclusive,96000,80,1.7488888888888887,5.932833333333351,80,8,"{""absolute_error_pp"": 2.4827230902777773, ""brier"": 0.1179659185391047, ""forecast"": 0.844385703125, ""observed"": 0.8630520833333333, ""signed_error_pp"": -1.866638020833333}"
opentelemetry_demo,add_to_cart,Gstar,54000,45,1.2500000000000067,3.6333333333333404,80,7,"{""absolute_error_pp"": 1.8436507936507947, ""brier"": 0.12502383267195766, ""forecast"": 0.8561706349206349, ""observed"": 0.8516468253968253, ""signed_error_pp"": 0.4523809523809533}"
opentelemetry_demo,browse_product,Gstar,54000,45,1.5833333333333255,3.2166666666666743,80,7,"{""absolute_error_pp"": 1.7996031746031753, ""brier"": 0.12555988095238096, ""forecast"": 0.8522698412698413, ""observed"": 0.8512896825396824, ""signed_error_pp"": 0.09801587301587159}"
opentelemetry_demo,checkout,Gstar,54000,45,2.500000000000002,5.866666666666669,80,7,"{""absolute_error_pp"": 2.7976190476190483, ""brier"": 0.20302446097883595, ""forecast"": 0.7097182539682539, ""observed"": 0.7138611111111111, ""signed_error_pp"": -0.41428571428571415}"
opentelemetry_demo,add_to_cart,GID,96000,80,14.583333333333332,20.76666666666667,80,8,"{""absolute_error_pp"": 15.48020833333333, ""brier"": 0.15790228298611111, ""forecast"": 0.9952604166666666, ""observed"": 0.8404583333333333, ""signed_error_pp"": 15.48020833333333}"
opentelemetry_demo,browse_product,GID,96000,80,14.291666666666668,20.766666666666666,80,8,"{""absolute_error_pp"": 15.505208333333332, ""brier"": 0.1577793142361111, ""forecast"": 0.9956979166666666, ""observed"": 0.8406458333333333, ""signed_error_pp"": 15.505208333333332}"
