application,right,common_cells,pooled_cell_mean_ae_difference_pp,smaller_ae,equal_ae,larger_ae,same_forecast,scope
deathstarbench_social_network,GID,186,-5.173835125448029,106,80,0,80,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
deathstarbench_social_network,Gselected,121,-3.335399449035813,41,80,0,80,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
deathstarbench_social_network,G_without_deadline,180,-4.426851851851851,100,80,0,80,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
deathstarbench_social_network,G_without_selection,186,0.018369175627240206,16,162,8,162,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
deathstarbench_social_network,G_without_completion,126,0.0,0,126,0,126,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
deathstarbench_social_network,B0,186,0.01478494623655918,17,161,8,161,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
opentelemetry_demo,GID,135,-15.989506172839507,135,0,0,0,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
opentelemetry_demo,Gselected,126,-15.575396825396826,126,0,0,0,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
opentelemetry_demo,G_without_deadline,105,1.1419436824715895e-16,12,79,14,79,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
opentelemetry_demo,G_without_selection,135,0.004938271604938379,6,122,7,122,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
opentelemetry_demo,G_without_completion,128,0.0,0,128,0,128,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
opentelemetry_demo,B0,135,0.0018518518518520657,7,121,7,121,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
spring_petclinic_microservices,GID,320,-0.5454861111111111,104,161,55,160,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
spring_petclinic_microservices,Gselected,164,-0.00542005420054204,3,160,1,160,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
spring_petclinic_microservices,G_without_deadline,160,0.0,0,160,0,160,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
spring_petclinic_microservices,G_without_selection,320,0.07569444444444458,52,164,104,163,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
spring_petclinic_microservices,G_without_completion,164,0.0,0,164,0,164,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
spring_petclinic_microservices,B0,320,0.12256944444444466,60,162,98,160,descriptive equal-cell comparison on paired point support; not primary campaign estimand; no new inference
