application,campaign_id,operation,lower,upper,lower_exact,upper_exact,width_pp,scope
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/NC/6,compose_post,0.75,0.8633333333333333,3/4,259/300,11.333333333333329,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/NC/7,compose_post,0.7516666666666667,0.87,451/600,87/100,11.833333333333329,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/NC/9,compose_post,0.3016666666666667,0.8691666666666666,181/600,1043/1200,56.749999999999986,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/NCD/1,compose_post,0.5633333333333334,0.8466666666666667,169/300,127/150,28.333333333333332,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/NCD/2,compose_post,0.29583333333333334,0.8366666666666667,71/240,251/300,54.08333333333333,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/NCD/3,compose_post,0.5075,0.8241666666666667,203/400,989/1200,31.666666666666675,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/NCD/7,compose_post,0.3075,0.815,123/400,163/200,50.74999999999999,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/split/NC/1,compose_post,0.7708333333333334,0.8341666666666666,37/48,1001/1200,6.333333333333324,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/split/NC/3,compose_post,0.3441666666666667,0.905,413/1200,181/200,56.08333333333333,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/split/NC/4,compose_post,0.7766666666666666,0.9058333333333334,233/300,1087/1200,12.916666666666677,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/split/NC/7,compose_post,0.9258333333333333,0.9266666666666666,1111/1200,139/150,0.08333333333333526,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/split/NC/9,compose_post,0.8566666666666667,0.8591666666666666,257/300,1031/1200,0.24999999999999467,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/split/NCD/1,compose_post,0.5416666666666666,0.815,13/24,163/200,27.333333333333332,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/split/NCD/2,compose_post,0.20166666666666666,0.7983333333333333,121/600,479/600,59.66666666666667,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/split/NCD/6,compose_post,0.6083333333333333,0.8725,73/120,349/400,26.41666666666668,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/0,add_to_cart,0.725,0.8666666666666667,29/40,13/15,14.166666666666671,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/0,browse_product,0.7183333333333334,0.875,431/600,7/8,15.666666666666663,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/0,checkout,0.27416666666666667,0.335,329/1200,67/200,6.083333333333335,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/1,add_to_cart,0.8775,0.8833333333333333,351/400,53/60,0.5833333333333357,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/1,browse_product,0.8741666666666666,0.8891666666666667,1049/1200,1067/1200,1.5000000000000013,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/1,checkout,0.7583333333333333,0.7708333333333334,91/120,37/48,1.2500000000000067,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/2,add_to_cart,0.7908333333333334,0.8558333333333333,949/1200,1027/1200,6.499999999999995,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/2,browse_product,0.7733333333333333,0.8591666666666666,58/75,1031/1200,8.583333333333332,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/2,checkout,0.6458333333333334,0.7133333333333334,31/48,107/150,6.75,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/3,add_to_cart,0.34833333333333333,0.85,209/600,17/20,50.16666666666667,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/3,browse_product,0.3591666666666667,0.87,431/1200,87/100,51.08333333333333,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/3,checkout,0.29,0.72,29/100,18/25,43.0,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/4,add_to_cart,0.8375,0.84,67/80,21/25,0.24999999999999467,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/4,browse_product,0.8425,0.8433333333333334,337/400,253/300,0.08333333333333526,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/4,checkout,0.6933333333333334,0.6991666666666667,52/75,839/1200,0.5833333333333357,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/5,add_to_cart,0.7066666666666667,0.8508333333333333,53/75,1021/1200,14.416666666666666,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/5,browse_product,0.7141666666666666,0.8475,857/1200,339/400,13.333333333333341,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/5,checkout,0.61,0.71,61/100,71/100,9.999999999999998,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/6,add_to_cart,0.8675,0.8691666666666666,347/400,1043/1200,0.1666666666666594,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/6,browse_product,0.8575,0.8625,343/400,69/80,0.5000000000000004,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/6,checkout,0.7516666666666667,0.7525,451/600,301/400,0.08333333333332416,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/7,add_to_cart,0.025833333333333333,0.8875,31/1200,71/80,86.16666666666666,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/7,browse_product,0.021666666666666667,0.8641666666666666,13/600,1037/1200,84.25,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/7,checkout,0.013333333333333334,0.7558333333333334,1/75,907/1200,74.25,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
opentelemetry_demo,v3-main-771601/opentelemetry_demo/colocated/NC/8,add_to_cart,0.37,0.8466666666666667,37/100,127/150,47.66666666666667,identified calibration-event interval under empirical Q; not a population or future-business confidence interval
