axis,nodes,unknown_controls,masked_completion,nodes_measured,edges,coordinates,categories,evaluated_states,full_fiber_states,lower_exact,upper_exact,median_seconds,min_seconds,max_seconds,exact_results_verified
graph_nodes_complete_observations,4,0,False,4,3,14,16,16,16,1/16,1/16,0.00146198,0.001455741,0.001821211,True
graph_nodes_complete_observations,8,0,False,8,7,18,16,16,16,1/16,1/16,0.00160465,0.001582828,0.001624711,True
graph_nodes_complete_observations,16,0,False,16,15,26,16,16,16,1/16,1/16,0.001860309,0.001843675,0.002499332,True
graph_nodes_complete_observations,32,0,False,32,31,42,16,16,16,1/16,1/16,0.002377412,0.002345386,0.002403492,True
graph_nodes_complete_observations,48,0,False,48,47,58,16,16,16,1/16,1/16,0.002907255,0.002890641,0.002963098,True
graph_nodes_masked_completion,4,10,True,4,3,14,1,2048,16384,0,1,0.022356731,0.021780271,0.02414252,True
graph_nodes_masked_completion,8,10,True,8,7,18,1,2048,262144,0,1,0.030393046,0.029551352,0.038876279,True
graph_nodes_masked_completion,16,10,True,16,15,26,1,2048,67108864,0,1,0.044878608,0.044525997,0.045774831,True
graph_nodes_masked_completion,32,10,True,32,31,42,1,2048,4398046511104,0,1,0.074673318,0.073931353,0.076791809,True
graph_nodes_masked_completion,48,10,True,48,47,58,1,2048,288230376151711744,0,1,0.103116584,0.101559173,0.106144667,True
unknown_controls,16,0,True,16,15,26,1,2,65536,0,1,0.000227636,0.000219655,0.000282518,True
unknown_controls,16,2,True,16,15,26,1,8,262144,0,1,0.000367663,0.000353872,0.00039883,True
unknown_controls,16,4,True,16,15,26,1,32,1048576,0,1,0.000874773,0.000864898,0.000929143,True
unknown_controls,16,6,True,16,15,26,1,128,4194304,0,1,0.002952663,0.002902148,0.003002967,True
unknown_controls,16,8,True,16,15,26,1,512,16777216,0,1,0.011197764,0.011108783,0.011623854,True
unknown_controls,16,10,True,16,15,26,1,2048,67108864,0,1,0.044927089,0.044386601,0.045781531,True
