application,placement,law,repetition,operation,measure,count
deathstarbench_social_network,colocated,N,5,compose_post,attempts,1200
deathstarbench_social_network,colocated,N,5,compose_post,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,colocated,N,5,compose_post,outcome_independently_determined,1200
deathstarbench_social_network,colocated,N,5,compose_post,outcome_mismatches,0
deathstarbench_social_network,colocated,N,5,read_home_timeline,attempts,1200
deathstarbench_social_network,colocated,N,5,read_home_timeline,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,colocated,N,5,read_home_timeline,outcome_independently_determined,1200
deathstarbench_social_network,colocated,N,5,read_home_timeline,outcome_mismatches,0
deathstarbench_social_network,colocated,N,5,read_user_timeline,attempts,1200
deathstarbench_social_network,colocated,N,5,read_user_timeline,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,colocated,N,5,read_user_timeline,outcome_independently_determined,1200
deathstarbench_social_network,colocated,N,5,read_user_timeline,outcome_mismatches,0
deathstarbench_social_network,colocated,NC,5,compose_post,attempts,1200
deathstarbench_social_network,colocated,NC,5,compose_post,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,colocated,NC,5,compose_post,outcome_independently_determined,1200
deathstarbench_social_network,colocated,NC,5,compose_post,outcome_mismatches,0
deathstarbench_social_network,colocated,NC,5,compose_post,incompatible_attempts,24
deathstarbench_social_network,colocated,NC,5,compose_post,incompatible_with_independently_determined_outcome,24
deathstarbench_social_network,colocated,NC,5,compose_post,mechanism:recent_release_precedes_negative_sample,3
deathstarbench_social_network,colocated,NC,5,compose_post,mechanism:transition_not_localized_in_window,18
deathstarbench_social_network,colocated,NC,5,compose_post,mechanism:confirmed_release_between_sample_and_target_execution,3
deathstarbench_social_network,colocated,NC,5,read_home_timeline,attempts,1200
deathstarbench_social_network,colocated,NC,5,read_home_timeline,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,colocated,NC,5,read_home_timeline,outcome_independently_determined,1200
deathstarbench_social_network,colocated,NC,5,read_home_timeline,outcome_mismatches,0
deathstarbench_social_network,colocated,NC,5,read_user_timeline,attempts,1200
deathstarbench_social_network,colocated,NC,5,read_user_timeline,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,colocated,NC,5,read_user_timeline,outcome_independently_determined,1200
deathstarbench_social_network,colocated,NC,5,read_user_timeline,outcome_mismatches,0
deathstarbench_social_network,colocated,NC,5,read_user_timeline,incompatible_attempts,22
deathstarbench_social_network,colocated,NC,5,read_user_timeline,incompatible_with_independently_determined_outcome,22
deathstarbench_social_network,colocated,NC,5,read_user_timeline,mechanism:confirmed_release_between_sample_and_target_execution,7
deathstarbench_social_network,colocated,NC,5,read_user_timeline,mechanism:recent_release_precedes_negative_sample,2
deathstarbench_social_network,colocated,NC,5,read_user_timeline,mechanism:transition_not_localized_in_window,13
deathstarbench_social_network,split,N,1,compose_post,attempts,1200
deathstarbench_social_network,split,N,1,compose_post,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,split,N,1,compose_post,outcome_independently_determined,1200
deathstarbench_social_network,split,N,1,compose_post,outcome_mismatches,0
deathstarbench_social_network,split,N,1,read_home_timeline,attempts,1200
deathstarbench_social_network,split,N,1,read_home_timeline,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,split,N,1,read_home_timeline,outcome_independently_determined,1200
deathstarbench_social_network,split,N,1,read_home_timeline,outcome_mismatches,0
deathstarbench_social_network,split,N,1,read_user_timeline,attempts,1200
deathstarbench_social_network,split,N,1,read_user_timeline,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,split,N,1,read_user_timeline,outcome_independently_determined,1200
deathstarbench_social_network,split,N,1,read_user_timeline,outcome_mismatches,0
deathstarbench_social_network,split,NC,1,compose_post,attempts,1200
deathstarbench_social_network,split,NC,1,compose_post,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,split,NC,1,compose_post,outcome_independently_determined,1200
