application,placement,law,repetition,operation,status,planned_attempts,attempts,successes,lower_exact,upper_exact,b0_exact,success_excluded,failure_excluded,incompatible_attempts,incompatible_fraction,fully_observed_attempts,fully_observed_mismatches,ambiguous_attempts,checked_witness_endpoints
deathstarbench_social_network,colocated,N,5,compose_post,diagnosed,1200,1200,1136,71/75,71/75,71/75,0,0,0,0.0,0,0,0,36
deathstarbench_social_network,colocated,N,5,read_home_timeline,diagnosed,1200,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0
deathstarbench_social_network,colocated,N,5,read_user_timeline,diagnosed,1200,1200,1081,1081/1200,1081/1200,1081/1200,0,0,0,0.0,0,0,0,24
deathstarbench_social_network,colocated,NC,5,compose_post,diagnosed,1200,1200,1077,359/400,359/400,359/400,0,0,0,0.0,0,0,0,60
deathstarbench_social_network,colocated,NC,5,read_home_timeline,diagnosed,1200,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0
deathstarbench_social_network,colocated,NC,5,read_user_timeline,diagnosed,1200,1200,1046,523/600,523/600,523/600,0,0,0,0.0,0,0,0,60
deathstarbench_social_network,split,N,1,compose_post,diagnosed,1200,1200,1125,15/16,15/16,15/16,0,0,0,0.0,0,0,0,36
deathstarbench_social_network,split,N,1,read_home_timeline,diagnosed,1200,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0
deathstarbench_social_network,split,N,1,read_user_timeline,diagnosed,1200,1200,1080,9/10,9/10,9/10,0,0,0,0.0,0,0,0,24
deathstarbench_social_network,split,NC,1,compose_post,diagnosed,1200,1200,1057,327/400,1057/1200,1057/1200,0,0,0,0.0,0,0,76,132
deathstarbench_social_network,split,NC,1,read_home_timeline,diagnosed,1200,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0
deathstarbench_social_network,split,NC,1,read_user_timeline,unsupported,1200,,,,,,,,,,,,,
opentelemetry_demo,colocated,N,3,add_to_cart,diagnosed,1200,1200,1086,181/200,181/200,181/200,0,0,0,0.0,0,0,0,16
opentelemetry_demo,colocated,N,3,browse_product,diagnosed,1200,1200,1094,547/600,547/600,547/600,0,0,0,0.0,0,0,0,16
opentelemetry_demo,colocated,N,3,checkout,diagnosed,1200,1200,944,59/75,59/75,59/75,0,0,0,0.0,937,0,0,28
opentelemetry_demo,colocated,NC,3,add_to_cart,diagnosed,1200,1200,1032,107/300,43/50,43/50,0,0,0,0.0,0,0,604,68
opentelemetry_demo,colocated,NC,3,browse_product,diagnosed,1200,1200,1054,147/400,527/600,527/600,0,0,0,0.0,0,0,613,76
opentelemetry_demo,colocated,NC,3,checkout,diagnosed,1200,1200,876,359/1200,73/100,73/100,0,0,0,0.0,268,0,517,212
opentelemetry_demo,split,N,7,add_to_cart,diagnosed,1200,1200,1076,269/300,269/300,269/300,0,0,0,0.0,0,0,0,16
opentelemetry_demo,split,N,7,browse_product,diagnosed,1200,1200,1092,91/100,91/100,91/100,0,0,0,0.0,0,0,0,16
opentelemetry_demo,split,N,7,checkout,diagnosed,1200,1200,943,943/1200,943/1200,943/1200,0,0,0,0.0,935,0,0,36
opentelemetry_demo,split,NCD,7,add_to_cart,diagnosed,1200,1200,984,41/50,41/50,41/50,0,0,0,0.0,0,0,0,44
opentelemetry_demo,split,NCD,7,browse_product,diagnosed,1200,1200,991,991/1200,991/1200,991/1200,0,0,0,0.0,0,0,0,44
opentelemetry_demo,split,NCD,7,checkout,diagnosed,1200,1200,799,799/1200,799/1200,799/1200,0,0,0,0.0,571,0,0,72
spring_petclinic_microservices,colocated,N,0,create_visit,diagnosed,900,900,857,857/900,857/900,857/900,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,0,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,0,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,diagnosed,900,900,848,212/225,212/225,212/225,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,1,create_visit,diagnosed,900,900,860,43/45,43/45,43/45,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,1,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,1,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,diagnosed,900,900,863,863/900,863/900,863/900,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,3,create_visit,diagnosed,900,900,860,43/45,43/45,43/45,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,3,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,3,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,3,owner_details_with_visits,diagnosed,900,900,863,863/900,863/900,863/900,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,5,create_visit,diagnosed,900,900,857,857/900,857/900,857/900,0,0,0,0.0,0,0,0,40
spring_petclinic_microservices,colocated,N,5,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,5,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,5,owner_details_with_visits,diagnosed,900,900,854,427/450,427/450,427/450,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,7,create_visit,diagnosed,900,900,856,214/225,214/225,214/225,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,7,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,7,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,7,owner_details_with_visits,diagnosed,900,900,850,17/18,17/18,17/18,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,8,create_visit,diagnosed,900,900,845,169/180,169/180,169/180,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,8,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,8,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,8,owner_details_with_visits,diagnosed,900,900,859,859/900,859/900,859/900,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,9,create_visit,diagnosed,900,900,852,71/75,71/75,71/75,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,N,9,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,9,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,N,9,owner_details_with_visits,diagnosed,900,900,857,857/900,857/900,857/900,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,NC,0,create_visit,diagnosed,900,900,839,839/900,839/900,839/900,0,0,0,0.0,0,0,0,72
spring_petclinic_microservices,colocated,NC,0,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,0,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,0,owner_details_with_visits,diagnosed,900,900,836,209/225,209/225,209/225,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,NC,3,create_visit,diagnosed,900,900,823,823/900,823/900,823/900,0,0,0,0.0,0,0,0,72
spring_petclinic_microservices,colocated,NC,3,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,3,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,3,owner_details_with_visits,diagnosed,900,900,823,823/900,823/900,823/900,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,NC,7,create_visit,diagnosed,900,900,807,269/300,269/300,269/300,0,0,0,0.0,0,0,0,76
spring_petclinic_microservices,colocated,NC,7,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,7,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,7,owner_details_with_visits,diagnosed,900,900,807,269/300,269/300,269/300,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,NC,8,create_visit,diagnosed,900,900,810,9/10,9/10,9/10,0,0,0,0.0,0,0,0,72
spring_petclinic_microservices,colocated,NC,8,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,8,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,8,owner_details_with_visits,diagnosed,900,900,814,407/450,407/450,407/450,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,NC,9,create_visit,diagnosed,900,900,829,829/900,829/900,829/900,0,0,0,0.0,0,0,0,72
spring_petclinic_microservices,colocated,NC,9,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,9,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NC,9,owner_details_with_visits,diagnosed,900,900,833,833/900,833/900,833/900,0,0,0,0.0,0,0,0,36
spring_petclinic_microservices,colocated,NCD,1,create_visit,diagnosed,900,900,754,377/450,377/450,377/450,0,0,0,0.0,0,0,0,72
spring_petclinic_microservices,colocated,NCD,1,list_owners,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NCD,1,list_vets,diagnosed,900,900,900,1,1,1,0,0,0,0.0,900,0,0,0
spring_petclinic_microservices,colocated,NCD,1,owner_details_with_visits,diagnosed,900,900,762,127/150,127/150,127/150,0,0,0,0.0,0,0,0,36
