application,placement,law,repetition,operation,method,representation,all_eleven_bounds_exact
deathstarbench_social_network,colocated,N,5,compose_post,ours_direct,original,True
deathstarbench_social_network,colocated,N,5,compose_post,ours_prepared,original,True
deathstarbench_social_network,colocated,N,5,compose_post,cudd_fixed,original,True
deathstarbench_social_network,colocated,N,5,compose_post,cudd_sift,original,True
deathstarbench_social_network,colocated,N,5,compose_post,agrum_conditioned,original,True
deathstarbench_social_network,colocated,N,5,compose_post,agrum_joint,original,True
deathstarbench_social_network,colocated,N,5,compose_post,storm_sparse,original,True
deathstarbench_social_network,colocated,N,5,compose_post,storm_compact,original,True
deathstarbench_social_network,colocated,N,5,compose_post,ours_direct,completion_projected,True
deathstarbench_social_network,colocated,N,5,compose_post,ours_prepared,completion_projected,True
deathstarbench_social_network,colocated,N,5,compose_post,cudd_fixed,completion_projected,True
deathstarbench_social_network,colocated,N,5,compose_post,cudd_sift,completion_projected,True
deathstarbench_social_network,colocated,N,5,compose_post,agrum_conditioned,completion_projected,True
deathstarbench_social_network,colocated,N,5,compose_post,agrum_joint,completion_projected,True
deathstarbench_social_network,colocated,N,5,compose_post,storm_sparse,completion_projected,True
deathstarbench_social_network,colocated,N,5,compose_post,storm_compact,completion_projected,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,ours_direct,original,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,ours_prepared,original,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,cudd_fixed,original,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,cudd_sift,original,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,agrum_conditioned,original,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,agrum_joint,original,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,storm_sparse,original,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,storm_compact,original,True
deathstarbench_social_network,colocated,N,5,read_home_timeline,ours_direct,completion_projected,True
