application,method,reason,cells
deathstarbench_social_network,GID,not_point_identified_under_declared_observation_law,12
deathstarbench_social_network,Gselected,not_point_identified_under_declared_observation_law,12
deathstarbench_social_network,G_without_deadline,not_point_identified_under_declared_observation_law,12
deathstarbench_social_network,G_without_completion,not_point_identified_under_declared_observation_law,9
opentelemetry_demo,Gstar,not_point_identified_under_declared_observation_law,5
opentelemetry_demo,Gstar,unexplained native parent boundary,1
opentelemetry_demo,GID,not_point_identified_under_declared_observation_law,17
opentelemetry_demo,GID,unexplained native parent boundary,1
opentelemetry_demo,Gselected,not_point_identified_under_declared_observation_law,17
opentelemetry_demo,Gselected,unexplained native parent boundary,1
opentelemetry_demo,G_without_deadline,not_point_identified_under_declared_observation_law,7
opentelemetry_demo,G_without_deadline,unexplained native parent boundary,1
opentelemetry_demo,G_without_selection,not_point_identified_under_declared_observation_law,5
opentelemetry_demo,G_without_selection,unexplained native parent boundary,1
opentelemetry_demo,G_without_completion,not_point_identified_under_declared_observation_law,5
opentelemetry_demo,G_without_completion,unexplained native parent boundary,1
opentelemetry_demo,G0,shared_graph_extraction_unsupported: unexplained native parent boundary,1
opentelemetry_demo,PMX,unsupported_conditional_propagation_or_positivity,9
spring_petclinic_microservices,GID,not_point_identified_under_declared_observation_law,12
spring_petclinic_microservices,Gselected,not_point_identified_under_declared_observation_law,12
spring_petclinic_microservices,G_without_deadline,not_point_identified_under_declared_observation_law,12
spring_petclinic_microservices,G_without_completion,not_point_identified_under_declared_observation_law,12
