application,operation,method,attempts,campaigns,median_absolute_error_pp,p90_absolute_error_pp,planned_campaigns,retained_conditions,standardized_mean
deathstarbench_social_network,compose_post,Gstar,7200,6,0.7499999999999951,2.7500000000000027,6,2,"{""absolute_error_pp"": 1.23611111111111, ""brier"": 0.0698099537037037, ""forecast"": 0.9280555555555556, ""observed"": 0.9237500000000001, ""signed_error_pp"": 0.43055555555555447}"
deathstarbench_social_network,read_home_timeline,Gstar,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,Gstar,7200,6,1.541666666666669,2.7916666666666643,6,2,"{""absolute_error_pp"": 1.5972222222222219, ""brier"": 0.09100648148148148, ""forecast"": 0.8977777777777778, ""observed"": 0.8976388888888889, ""signed_error_pp"": 0.013888888888892836}"
deathstarbench_social_network,compose_post,GID,0,0,,,6,0,
deathstarbench_social_network,read_home_timeline,GID,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,GID,0,0,,,6,0,
deathstarbench_social_network,compose_post,Gselected,0,0,,,6,0,
deathstarbench_social_network,read_home_timeline,Gselected,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,Gselected,0,0,,,6,0,
deathstarbench_social_network,compose_post,G_without_deadline,0,0,,,6,0,
deathstarbench_social_network,read_home_timeline,G_without_deadline,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,G_without_deadline,0,0,,,6,0,
deathstarbench_social_network,compose_post,G_without_selection,7200,6,0.7499999999999951,2.7500000000000027,6,2,"{""absolute_error_pp"": 1.23611111111111, ""brier"": 0.0698099537037037, ""forecast"": 0.9280555555555556, ""observed"": 0.9237500000000001, ""signed_error_pp"": 0.43055555555555447}"
deathstarbench_social_network,read_home_timeline,G_without_selection,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,G_without_selection,7200,6,1.541666666666669,2.7916666666666643,6,2,"{""absolute_error_pp"": 1.5972222222222219, ""brier"": 0.09100648148148148, ""forecast"": 0.8977777777777778, ""observed"": 0.8976388888888889, ""signed_error_pp"": 0.013888888888892836}"
deathstarbench_social_network,compose_post,G_without_completion,0,0,,,6,0,
deathstarbench_social_network,read_home_timeline,G_without_completion,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,G_without_completion,3600,3,0.5833333333333246,1.2499999999999978,6,1,"{""absolute_error_pp"": 0.7777777777777772, ""brier"": 0.06652314814814815, ""forecast"": 0.9205555555555556, ""observed"": 0.9283333333333333, ""signed_error_pp"": -0.7777777777777772}"
deathstarbench_social_network,compose_post,G0,7200,6,6.166666666666664,11.708333333333332,6,2,"{""absolute_error_pp"": 7.624999999999998, ""brier"": 0.07625, ""forecast"": 1.0, ""observed"": 0.9237500000000001, ""signed_error_pp"": 7.624999999999998}"
deathstarbench_social_network,read_home_timeline,G0,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,G0,7200,6,9.416666666666668,14.79166666666667,6,2,"{""absolute_error_pp"": 10.236111111111112, ""brier"": 0.10236111111111112, ""forecast"": 1.0, ""observed"": 0.8976388888888889, ""signed_error_pp"": 10.236111111111112}"
deathstarbench_social_network,compose_post,B0,7200,6,0.7499999999999951,2.7500000000000027,6,2,"{""absolute_error_pp"": 1.23611111111111, ""brier"": 0.0698099537037037, ""forecast"": 0.9280555555555556, ""observed"": 0.9237500000000001, ""signed_error_pp"": 0.43055555555555447}"
deathstarbench_social_network,read_home_timeline,B0,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,B0,7200,6,1.541666666666669,2.7916666666666643,6,2,"{""absolute_error_pp"": 1.5972222222222219, ""brier"": 0.09100648148148148, ""forecast"": 0.8977777777777778, ""observed"": 0.8976388888888889, ""signed_error_pp"": 0.013888888888892836}"
deathstarbench_social_network,compose_post,PMX,7200,6,0.7500000000000007,2.7500000000000027,6,2,"{""absolute_error_pp"": 1.2361111111111136, ""brier"": 0.0698099537037037, ""forecast"": 0.9280555555555556, ""observed"": 0.9237500000000001, ""signed_error_pp"": 0.4305555555555544}"
deathstarbench_social_network,read_home_timeline,PMX,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,PMX,7200,6,1.541666666666669,2.7916666666666643,6,2,"{""absolute_error_pp"": 1.5972222222222239, ""brier"": 0.09100648148148148, ""forecast"": 0.8977777777777778, ""observed"": 0.8976388888888889, ""signed_error_pp"": 0.013888888888887396}"
deathstarbench_social_network,compose_post,PMX_inclusive,7200,6,0.40937499999999516,2.673541666666668,6,2,"{""absolute_error_pp"": 1.110902777777778, ""brier"": 0.06976110914367926, ""forecast"": 0.9237560185185185, ""observed"": 0.9237500000000001, ""signed_error_pp"": 0.0006018518518483909}"
deathstarbench_social_network,read_home_timeline,PMX_inclusive,7200,6,0.0,0.0,6,2,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}"
deathstarbench_social_network,read_user_timeline,PMX_inclusive,7200,6,1.139027777777779,2.35291666666666,6,2,"{""absolute_error_pp"": 1.3167592592592592, ""brier"": 0.09092181271347737, ""forecast"": 0.8920648148148149, ""observed"": 0.8976388888888889, ""signed_error_pp"": -0.5574074074074065}"
opentelemetry_demo,add_to_cart,Gstar,4800,4,0.874999999999998,1.608333333333333,6,2,"{""absolute_error_pp"": 1.0555555555555558, ""brier"": 0.09836574074074075, ""forecast"": 0.8891666666666667, ""observed"": 0.8894444444444445, ""signed_error_pp"": -0.027777777777780233}"
opentelemetry_demo,browse_product,Gstar,4800,4,2.083333333333337,2.283333333333334,6,2,"{""absolute_error_pp"": 1.8888888888888882, ""brier"": 0.10847708333333334, ""forecast"": 0.8947222222222222, ""observed"": 0.8763888888888889, ""signed_error_pp"": 1.8333333333333348}"
opentelemetry_demo,checkout,Gstar,4800,4,3.125,4.383333333333334,6,2,"{""absolute_error_pp"": 3.055555555555556, ""brier"": 0.18095925925925926, ""forecast"": 0.7611111111111111, ""observed"": 0.7644444444444445, ""signed_error_pp"": -0.3333333333333337}"
opentelemetry_demo,add_to_cart,GID,0,0,,,6,0,
opentelemetry_demo,browse_product,GID,0,0,,,6,0,
opentelemetry_demo,checkout,GID,0,0,,,6,0,
opentelemetry_demo,add_to_cart,Gselected,0,0,,,6,0,
opentelemetry_demo,browse_product,Gselected,0,0,,,6,0,
opentelemetry_demo,checkout,Gselected,0,0,,,6,0,
opentelemetry_demo,add_to_cart,G_without_deadline,4800,4,0.8750000000000036,1.608333333333333,6,2,"{""absolute_error_pp"": 1.069444444444445, ""brier"": 0.09836747685185185, ""forecast"": 0.8893055555555556, ""observed"": 0.8894444444444445, ""signed_error_pp"": -0.01388888888889106}"
opentelemetry_demo,browse_product,G_without_deadline,4800,4,2.083333333333337,2.283333333333334,6,2,"{""absolute_error_pp"": 1.8888888888888882, ""brier"": 0.10847708333333334, ""forecast"": 0.8947222222222222, ""observed"": 0.8763888888888889, ""signed_error_pp"": 1.8333333333333348}"
