application,method,attempts,cell_median_absolute_error_pp,cell_p90_absolute_error_pp,own_support,per_operation,planned_cells,quantile_scope,scored_cells,standardized_mean,status
deathstarbench_social_network,B0,19176,0.3835283121226607,4.008323292135732,"[{""campaigns"": 3, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 6364, ""campaigns"": 6, ""median_absolute_error_pp"": 1.8968034868791228, ""p90_absolute_error_pp"": 4.293890074706513, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.148298390547537, ""brier"": 0.0497762518172996, ""forecast"": 0.9280555555555556, ""observed"": 0.9483436762561175, ""signed_error_pp"": -2.0288120700561905}}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 6373, ""campaigns"": 6, ""median_absolute_error_pp"": 2.4374063298950865, ""p90_absolute_error_pp"": 4.935414229204966, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.6059421407940375, ""brier"": 0.07135156603681599, ""forecast"": 0.8977777777777778, ""observed"": 0.9238371991857182, ""signed_error_pp"": -2.6059421407940375}}}",18,unweighted available campaign-operation cell errors; same estimator for every method,18,"{""absolute_error_pp"": 1.584746843780525, ""brier"": 0.040375939284705196, ""signed_error_pp"": -1.5449180702834093}",estimable_on_reported_own_support
deathstarbench_social_network,G0,19176,5.020924018083727,8.617543859649123,"[{""campaigns"": 3, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 6364, ""campaigns"": 6, ""median_absolute_error_pp"": 5.020924018083727, ""p90_absolute_error_pp"": 5.974162011173184, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 5.165632374388254, ""brier"": 0.05165632374388253, ""forecast"": 1.0, ""observed"": 0.9483436762561175, ""signed_error_pp"": 5.165632374388254}}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 6373, ""campaigns"": 6, ""median_absolute_error_pp"": 7.568859334265309, ""p90_absolute_error_pp"": 8.856536502546692, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 7.616280081428183, ""brier"": 0.07616280081428183, ""forecast"": 1.0, ""observed"": 0.9238371991857182, ""signed_error_pp"": 7.616280081428183}}}",18,unweighted available campaign-operation cell errors; same estimator for every method,18,"{""absolute_error_pp"": 4.260637485272145, ""brier"": 0.04260637485272145, ""signed_error_pp"": 4.260637485272145}",estimable_on_reported_own_support
deathstarbench_social_network,GID,6439,0.0,0.0,"[{""campaigns"": 0, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 0, ""campaigns"": 0, ""median_absolute_error_pp"": null, ""p90_absolute_error_pp"": null, ""planned_campaigns"": 6, ""retained_conditions"": 0, ""standardized_mean"": null}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 0, ""campaigns"": 0, ""median_absolute_error_pp"": null, ""p90_absolute_error_pp"": null, ""planned_campaigns"": 6, ""retained_conditions"": 0, ""standardized_mean"": null}}",18,unweighted available campaign-operation cell errors; same estimator for every method,6,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""signed_error_pp"": 0.0}",estimable_on_reported_own_support
deathstarbench_social_network,G_without_completion,10029,0.0,0.7391022390238656,"[{""campaigns"": 0, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 0, ""campaigns"": 0, ""median_absolute_error_pp"": null, ""p90_absolute_error_pp"": null, ""planned_campaigns"": 6, ""retained_conditions"": 0, ""standardized_mean"": null}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 3590, ""campaigns"": 3, ""median_absolute_error_pp"": 0.5779816513761471, ""p90_absolute_error_pp"": 1.2224640019670208, ""planned_campaigns"": 6, ""retained_conditions"": 1, ""standardized_mean"": {""absolute_error_pp"": 0.757865438726287, ""brier"": 0.06668958506063642, ""forecast"": 0.9205555555555556, ""observed"": 0.9281342099428184, ""signed_error_pp"": -0.757865438726287}}}",18,unweighted available campaign-operation cell errors; same estimator for every method,9,"{""absolute_error_pp"": 0.18946635968157174, ""brier"": 0.016672396265159106, ""signed_error_pp"": -0.18946635968157174}",estimable_on_reported_own_support
deathstarbench_social_network,G_without_deadline,6439,0.0,0.0,"[{""campaigns"": 0, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 0, ""campaigns"": 0, ""median_absolute_error_pp"": null, ""p90_absolute_error_pp"": null, ""planned_campaigns"": 6, ""retained_conditions"": 0, ""standardized_mean"": null}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 0, ""campaigns"": 0, ""median_absolute_error_pp"": null, ""p90_absolute_error_pp"": null, ""planned_campaigns"": 6, ""retained_conditions"": 0, ""standardized_mean"": null}}",18,unweighted available campaign-operation cell errors; same estimator for every method,6,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""signed_error_pp"": 0.0}",estimable_on_reported_own_support
deathstarbench_social_network,G_without_selection,19176,0.3835283121226607,4.008323292135732,"[{""campaigns"": 3, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 6364, ""campaigns"": 6, ""median_absolute_error_pp"": 1.8968034868791228, ""p90_absolute_error_pp"": 4.293890074706513, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.148298390547537, ""brier"": 0.0497762518172996, ""forecast"": 0.9280555555555556, ""observed"": 0.9483436762561175, ""signed_error_pp"": -2.0288120700561905}}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 6373, ""campaigns"": 6, ""median_absolute_error_pp"": 2.4374063298950865, ""p90_absolute_error_pp"": 4.935414229204966, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.6059421407940375, ""brier"": 0.07135156603681599, ""forecast"": 0.8977777777777778, ""observed"": 0.9238371991857182, ""signed_error_pp"": -2.6059421407940375}}}",18,unweighted available campaign-operation cell errors; same estimator for every method,18,"{""absolute_error_pp"": 1.584746843780525, ""brier"": 0.040375939284705196, ""signed_error_pp"": -1.5449180702834093}",estimable_on_reported_own_support
deathstarbench_social_network,Gselected,6439,0.0,0.0,"[{""campaigns"": 0, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 0, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 0, ""campaigns"": 0, ""median_absolute_error_pp"": null, ""p90_absolute_error_pp"": null, ""planned_campaigns"": 6, ""retained_conditions"": 0, ""standardized_mean"": null}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 0, ""campaigns"": 0, ""median_absolute_error_pp"": null, ""p90_absolute_error_pp"": null, ""planned_campaigns"": 6, ""retained_conditions"": 0, ""standardized_mean"": null}}",18,unweighted available campaign-operation cell errors; same estimator for every method,6,"{""absolute_error_pp"": 0.0, ""brier"": 0.0, ""signed_error_pp"": 0.0}",estimable_on_reported_own_support
deathstarbench_social_network,Gstar,19176,0.3835283121226607,4.008323292135732,"[{""campaigns"": 3, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 6364, ""campaigns"": 6, ""median_absolute_error_pp"": 1.8968034868791228, ""p90_absolute_error_pp"": 4.293890074706513, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.148298390547537, ""brier"": 0.0497762518172996, ""forecast"": 0.9280555555555556, ""observed"": 0.9483436762561175, ""signed_error_pp"": -2.0288120700561905}}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 6373, ""campaigns"": 6, ""median_absolute_error_pp"": 2.4374063298950865, ""p90_absolute_error_pp"": 4.935414229204966, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.6059421407940375, ""brier"": 0.07135156603681599, ""forecast"": 0.8977777777777778, ""observed"": 0.9238371991857182, ""signed_error_pp"": -2.6059421407940375}}}",18,unweighted available campaign-operation cell errors; same estimator for every method,18,"{""absolute_error_pp"": 1.584746843780525, ""brier"": 0.040375939284705196, ""signed_error_pp"": -1.5449180702834093}",estimable_on_reported_own_support
deathstarbench_social_network,PMX,19176,0.3835283121226607,4.00832329213574,"[{""campaigns"": 3, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 6364, ""campaigns"": 6, ""median_absolute_error_pp"": 1.8968034868791228, ""p90_absolute_error_pp"": 4.293890074706508, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.148298390547537, ""brier"": 0.04977625181729961, ""forecast"": 0.9280555555555556, ""observed"": 0.9483436762561175, ""signed_error_pp"": -2.0288120700561905}}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 6373, ""campaigns"": 6, ""median_absolute_error_pp"": 2.4374063298950865, ""p90_absolute_error_pp"": 4.9354142292049765, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.605942140794043, ""brier"": 0.071351566036816, ""forecast"": 0.8977777777777778, ""observed"": 0.9238371991857182, ""signed_error_pp"": -2.605942140794043}}}",18,unweighted available campaign-operation cell errors; same estimator for every method,18,"{""absolute_error_pp"": 1.5847468437805268, ""brier"": 0.040375939284705196, ""signed_error_pp"": -1.5449180702834113}",estimable_on_reported_own_support
deathstarbench_social_network,PMX_inclusive,19176,0.3997930356462953,5.461364958802403,"[{""campaigns"": 3, ""law"": ""N"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""N"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""compose_post"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_home_timeline"", ""placement"": ""split""}, {""campaigns"": 3, ""law"": ""NC"", ""operation"": ""read_user_timeline"", ""placement"": ""split""}]","{""compose_post"": {""attempts"": 6364, ""campaigns"": 6, ""median_absolute_error_pp"": 2.3322154980523093, ""p90_absolute_error_pp"": 5.069103063533331, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 2.5517706127697624, ""brier"": 0.05011783824365679, ""forecast"": 0.9237560185185185, ""observed"": 0.9483436762561175, ""signed_error_pp"": -2.4587657737598967}}, ""read_home_timeline"": {""attempts"": 6439, ""campaigns"": 6, ""median_absolute_error_pp"": 0.0, ""p90_absolute_error_pp"": 0.0, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 0.0, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0}}, ""read_user_timeline"": {""attempts"": 6373, ""campaigns"": 6, ""median_absolute_error_pp"": 2.839211885450643, ""p90_absolute_error_pp"": 6.247497562538301, ""planned_campaigns"": 6, ""retained_conditions"": 2, ""standardized_mean"": {""absolute_error_pp"": 3.1772384370903364, ""brier"": 0.0719106606832408, ""forecast"": 0.8920648148148149, ""observed"": 0.9238371991857182, ""signed_error_pp"": -3.1772384370903364}}}",18,unweighted available campaign-operation cell errors; same estimator for every method,18,"{""absolute_error_pp"": 1.9096696832866995, ""brier"": 0.040676166308965866, ""signed_error_pp"": -1.878668070283411}",estimable_on_reported_own_support
