campaign_id,job_role,attempt_id,input_bytes,native_bytes,ordinary_role_bytes,pmx_role_bytes,input_loading_seconds,combined_process_seconds,acquisition_process_seconds,shared_native_extraction_seconds,manual_integration_seconds,manual_reason,update_seconds,update_reason
v4-confirmation-771621/deathstarbench_social_network/split/N/0,acquisition,1,,59158326,36792315,36550968,,,2060.465090732,1.5754352600001766,,,,
v4-confirmation-771621/deathstarbench_social_network/split/N/0,graph,1,36791799,,,,0.4295682579999891,1.5282312419999897,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/deathstarbench_social_network/split/N/1,acquisition,1,,59174619,36785390,36543903,,,2062.576978514,1.9229715470000883,,,,
v4-confirmation-771621/deathstarbench_social_network/split/N/1,graph,1,36784874,,,,0.46156143500000013,1.5070516879999971,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/deathstarbench_social_network/split/N/2,acquisition,1,,59179530,36816102,36574709,,,2063.13016879,2.050912571000026,,,,
v4-confirmation-771621/deathstarbench_social_network/split/N/2,graph,1,36815586,,,,0.4762090549999982,1.5382992330000036,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,acquisition,1,,58032815,36776754,36534840,,,2062.215145642,1.982869977000064,,,,
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,graph,1,36776238,,,,0.2795302880000037,0.9117601519999994,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/deathstarbench_social_network/split/NC/1,acquisition,1,,57219958,36756161,36513618,,,2061.329096988,1.7172531710002659,,,,
v4-confirmation-771621/deathstarbench_social_network/split/NC/1,graph,1,36755645,,,,0.2772857989999977,0.7800793729999924,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/deathstarbench_social_network/split/NC/1,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/deathstarbench_social_network/split/NC/2,acquisition,1,,58321387,36739830,36497647,,,2062.240240628,1.9892856829997072,,,,
v4-confirmation-771621/deathstarbench_social_network/split/NC/2,graph,1,36739314,,,,0.3051283620000049,0.9118191450000097,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/deathstarbench_social_network/split/NC/2,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/opentelemetry_demo/split/N/0,acquisition,1,,232927598,123922802,123681473,,,2098.4881757890003,9.489884028999768,,,,
v4-confirmation-771621/opentelemetry_demo/split/N/0,graph,1,123922286,,,,1.2549498069999458,3.9478154249999875,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/opentelemetry_demo/split/N/0,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/opentelemetry_demo/split/N/1,acquisition,1,,233903593,123712547,123470870,,,2098.731662029,9.373583614999916,,,,
v4-confirmation-771621/opentelemetry_demo/split/N/1,graph,1,123712031,,,,1.368937692000003,3.9586102020000027,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/opentelemetry_demo/split/N/1,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/opentelemetry_demo/split/N/2,acquisition,1,,235478683,126028835,125787131,,,2096.7223187179998,8.807967238000401,,,,
v4-confirmation-771621/opentelemetry_demo/split/N/2,graph,1,126028319,,,,1.3273888330000005,3.9627958199999966,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/opentelemetry_demo/split/N/2,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/opentelemetry_demo/split/NC/0,acquisition,1,,225525244,121392398,121149791,,,2097.12117648,9.19720337300032,,,,
v4-confirmation-771621/opentelemetry_demo/split/NC/0,graph,1,121391882,,,,1.2308946260000084,3.8525287460000186,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/opentelemetry_demo/split/NC/0,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/opentelemetry_demo/split/NC/1,acquisition,1,,224130852,116134444,115892296,,,2085.884638766,6.85256088899996,,,,
v4-confirmation-771621/opentelemetry_demo/split/NC/1,graph,1,116133928,,,,0.9447671869999965,2.7684124290000085,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/opentelemetry_demo/split/NC/1,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/opentelemetry_demo/split/NC/2,acquisition,1,,213865611,111863840,111621550,,,2094.624792673,8.936828112999592,,,,
v4-confirmation-771621/opentelemetry_demo/split/NC/2,graph,1,111863324,,,,1.1496617319999984,2.9835591820000005,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/opentelemetry_demo/split/NC/2,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/N/0,acquisition,1,,87807034,49024309,48781355,,,2203.8896950979997,3.3160295610000503,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/N/0,graph,1,49023793,,,,0.4712078989999995,1.3192170479999987,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/spring_petclinic_microservices/split/N/0,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/N/1,acquisition,1,,88007539,49089391,48846061,,,2195.5533449219997,2.6006940949996533,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/N/1,graph,1,49088875,,,,0.4747280029999956,1.354129370999999,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/spring_petclinic_microservices/split/N/1,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/N/2,acquisition,1,,87613902,49054682,48811137,,,2219.101487728,3.404895278999902,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/N/2,graph,1,49054166,,,,0.48995201799999677,1.2141491299999956,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/spring_petclinic_microservices/split/N/2,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/NC/0,acquisition,1,,86476941,48872369,48628144,,,2209.38422319,3.455227224999817,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/NC/0,graph,1,48871853,,,,0.3365872530000047,0.9214614050000023,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/spring_petclinic_microservices/split/NC/0,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/NC/1,acquisition,1,,86639657,48580784,48336580,,,2214.408782936,3.380882622000172,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/NC/1,graph,1,48580268,,,,0.5016510770000053,1.3564066270000055,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/spring_petclinic_microservices/split/NC/1,pmx,1,,,,,,,,,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/NC/2,acquisition,1,,86651632,48633119,48389163,,,2194.73766608,2.6479483130001427,,,,
v4-confirmation-771621/spring_petclinic_microservices/split/NC/2,graph,1,48632603,,,,0.3555326579999871,0.8461723109999895,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v4-confirmation-771621/spring_petclinic_microservices/split/NC/2,pmx,1,,,,,,,,,,,,
