campaign_id,job_role,attempt_id,model_id,variant,extraction_status,status,repetition,load_solve_elapsed_nanoseconds,evaluated_physical_states,total_physical_states
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--compose_post--conditional_local,conditional_local,prepared,solved,0,151574791,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--compose_post--conditional_local,conditional_local,prepared,solved,1,141406610,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--compose_post--inclusive,inclusive,prepared,solved,0,159695741,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--compose_post--inclusive,inclusive,prepared,solved,1,147282397,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,46382361,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,37508788,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_home_timeline--inclusive,inclusive,prepared,solved,0,36814342,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_home_timeline--inclusive,inclusive,prepared,solved,1,39656124,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,56945921,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,45295985,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_user_timeline--inclusive,inclusive,prepared,solved,0,55367475,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_user_timeline--inclusive,inclusive,prepared,solved,1,69382364,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--compose_post--conditional_local,conditional_local,prepared,solved,0,220795500,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--compose_post--conditional_local,conditional_local,prepared,solved,1,135732815,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--compose_post--inclusive,inclusive,prepared,solved,0,220738423,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--compose_post--inclusive,inclusive,prepared,solved,1,143765541,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,60535243,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,36722552,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_home_timeline--inclusive,inclusive,prepared,solved,0,47498143,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_home_timeline--inclusive,inclusive,prepared,solved,1,35194768,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,87571183,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,46751872,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_user_timeline--inclusive,inclusive,prepared,solved,0,82186214,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_user_timeline--inclusive,inclusive,prepared,solved,1,49111134,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--compose_post--conditional_local,conditional_local,prepared,solved,0,284123314,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--compose_post--conditional_local,conditional_local,prepared,solved,1,143618686,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--compose_post--inclusive,inclusive,prepared,solved,0,269543960,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--compose_post--inclusive,inclusive,prepared,solved,1,176899197,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,70941503,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,53252123,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_home_timeline--inclusive,inclusive,prepared,solved,0,68961328,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_home_timeline--inclusive,inclusive,prepared,solved,1,50018862,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,100633487,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,74285323,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_user_timeline--inclusive,inclusive,prepared,solved,0,104080326,1,1
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_user_timeline--inclusive,inclusive,prepared,solved,1,77599592,1,1
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,pmx,1,campaign-f5a8d50fb8a61a2d8b75--compose_post--conditional_local,conditional_local,prepared,solved,0,166424950,1,1
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,pmx,1,campaign-f5a8d50fb8a61a2d8b75--compose_post--conditional_local,conditional_local,prepared,solved,1,145062604,1,1
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,pmx,1,campaign-f5a8d50fb8a61a2d8b75--compose_post--inclusive,inclusive,prepared,solved,0,157465497,1,1
