profile,case_id,phase,functional,lower_exact,upper_exact,status
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,execution,1753/1890,1753/1890,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,reachability,1753/1890,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,reachability_minus_execution,0,137/1890,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,selected,1753/1890,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,selected_minus_execution,0,137/1890,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,without_completion,1753/1890,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,without_completion_minus_execution,0,1/1890,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,without_deadline,1753/1890,1889/1890,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,without_deadline_minus_execution,0,68/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,without_selection,1753/1890,1753/1890,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,execution,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,reachability,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,reachability_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,selected,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,selected_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,without_completion,143/150,229/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,without_completion_minus_execution,0,1/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,without_deadline,143/150,1199/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,without_deadline_minus_execution,0,11/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,without_selection,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,execution,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,reachability,1753/1890,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,reachability_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,selected,1753/1890,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,selected_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,without_completion,1753/1890,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,without_completion_minus_execution,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,without_deadline,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,without_deadline_minus_execution,0,68/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,without_selection,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,without_selection_minus_execution,0,1/1890,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,execution,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,reachability,1753/1890,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,reachability_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,selected,1753/1890,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,selected_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_completion,1753/1890,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_completion_minus_execution,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_deadline,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_deadline_minus_execution,0,68/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_selection,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_selection_minus_execution,0,1/1890,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,execution,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,reachability,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,reachability_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,selected,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,selected_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_completion,143/150,229/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_completion_minus_execution,0,1/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_deadline,143/150,1199/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_deadline_minus_execution,0,11/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_selection,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,execution,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,reachability,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,reachability_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,selected,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,selected_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_completion,143/150,229/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_completion_minus_execution,0,1/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_deadline,143/150,1199/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_deadline_minus_execution,0,11/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_selection,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
