profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,initial,qualified,1.911199,1.910147,1.916145,0.001052,0.084299,0.002905,0.0,1.82119,1.82119,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,repeat,qualified,1.795952,1.790973,1.798356,0.004979,0.061716,0.0,0.0,1.727713,1.727713,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,counts,qualified,1.806802,1.801362,1.809005,0.00544,0.060403,0.0,0.0,1.739546,1.739546,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,masks,qualified,2.181628,2.180897,2.183675,0.000731,0.065673,0.0,0.0,2.113791,2.113791,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,metadata,qualified,2.1191,2.118228,2.121609,0.000872,0.062357,0.0,0.0,2.054378,2.054378,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,structure,qualified,2.152534,2.151783,2.154671,0.000751,0.062507,0.001082,0.0,2.08687,2.08687,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,restore,qualified,1.783358,1.782596,1.785573,0.000762,0.061145,0.001032,0.0,1.719067,1.719067,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,initial,qualified,1.760155,1.435384,1.765355,0.324771,0.097103,0.002425,0.0,1.334092,1.334092,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,repeat,qualified,1.650648,1.313593,1.652975,0.337055,0.06896,0.0,0.0,1.243251,1.243251,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,counts,qualified,1.583181,1.258099,1.585278,0.325082,0.060564,0.0,0.0,1.196002,1.196002,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,masks,qualified,2.340798,2.013882,2.342982,0.326916,0.062768,0.0,0.0,1.949631,1.949631,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,metadata,qualified,2.470322,2.125914,2.472815,0.344408,0.057799,0.0,0.0,2.066661,2.066661,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,structure,qualified,2.381625,2.065119,2.373891,0.316506,0.063559,0.000971,0.0,1.999165,1.999165,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,restore,qualified,1.580897,1.25334,1.582924,0.327557,0.057418,0.000872,0.0,1.193889,1.193889,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_prepared,original,0,initial,qualified,2.28347,2.282528,2.288561,0.000942,0.108143,1.67814,0.0,0.494031,0.494031,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_prepared,original,0,repeat,qualified,0.495042,0.489742,0.497238,0.0053,0.062548,0.0,0.0,0.425893,0.425893,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_prepared,original,0,counts,qualified,0.486196,0.478542,0.488772,0.007654,0.077175,0.0,0.0,0.399833,0.399833,False,
