profile,case_id,phase,representation,method,baseline,paired_rounds,other_over_ours,kernel_other_over_ours,min_ratio,max_ratio
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,ours_direct,ours_prepared,3,0.8640648468316912,0.8640325856893804,0.8369713637577897,0.8785733971159129
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,ours_prepared,ours_direct,3,1.1573205456358384,1.1573637575278901,1.1382088318206462,1.1947840073168727
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,cudd_fixed,ours_direct,3,2.0640435663685466,2.064587699271313,1.6561975103051982,2.114565524032299
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,cudd_fixed,ours_prepared,3,1.7275453585989744,1.727762375751798,1.4310620480648895,1.8578010158732476
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,cudd_sift,ours_direct,3,2.247976621040233,2.248530305785768,2.2450409402683866,2.254856035608187
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,cudd_sift,ours_prepared,3,1.9483418350353021,1.9486507932276644,1.8790349774685018,1.9750124565844684
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,agrum_conditioned,ours_direct,3,9.560458314030907,9.56462237925749,9.531292852663933,9.581128391130385
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,agrum_conditioned,ours_prepared,3,8.235655098845054,8.238510327865065,8.019130095862876,8.399564338943208
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,agrum_joint,ours_direct,3,7.111833235349718,7.114767608012262,7.020731694781098,7.178481152407468
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,agrum_joint,ours_prepared,3,6.066367456497429,6.06835335284636,6.008183159840068,6.248267485303056
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,storm_sparse,ours_direct,3,3.9542942790725695,3.955594294770206,3.935474013956684,3.9739183396552256
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,storm_sparse,ours_prepared,3,3.433723141475841,3.4345385026861512,3.293879052494668,3.474137757960807
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,storm_compact,ours_direct,3,3.2051690463708224,3.205718111363412,3.191282539735299,3.2445799730954232
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,original,storm_compact,ours_prepared,3,2.7694739011220824,2.7698449087526056,2.715620524902889,2.8037759420919395
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,ours_direct,ours_prepared,3,0.8793217781483909,0.8490489808808196,0.858876561517228,0.8806712593899934
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,ours_prepared,ours_direct,3,1.137240114882318,1.1777883520484072,1.1354974848306745,1.1643116657339836
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,cudd_fixed,ours_direct,3,1.9879602743808817,2.1950752091334587,1.9405919306878725,2.404697881720644
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,cudd_fixed,ours_prepared,3,1.74805676335696,1.865090459123228,1.7090235395609474,2.0653386481399885
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,cudd_sift,ours_direct,3,2.508868494969383,2.8134102093934445,2.084924645964867,2.5201206711908894
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,cudd_sift,ours_prepared,3,2.16447257668092,2.34120940026251,1.8361332136951154,2.2061027061369547
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,agrum_conditioned,ours_direct,3,7.695658055979849,9.333372084584823,7.677740196166977,7.814625984643398
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,agrum_conditioned,ours_prepared,3,6.751204161454921,7.856794039656818,6.711799095233704,6.777344871994522
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,agrum_joint,ours_direct,3,5.433150274139703,6.4986630818236195,5.402225280432073,5.515150654345782
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,agrum_joint,ours_prepared,3,4.75029433954772,5.467769793565074,4.7368336302539955,4.7848192943817
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,storm_sparse,ours_direct,3,3.306384949052782,3.7943762784035493,3.268773110451327,3.3256111025812394
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,storm_sparse,ours_prepared,3,2.8787145318413163,3.2176408562729977,2.8397765360947687,2.924282268151766
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,storm_compact,ours_direct,3,2.9417812635819005,3.3964915124162256,2.938235345300386,3.0218650087606798
