profile,case_id,method,representation,round,phase,input_coordinates,input_categories,semantic_builds,infrastructure_builds,network_builds,engine_builds,space_builds,states,states_before_compaction,transitions,prepared_states,bn_nodes,cpt_entries,stats_json
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,initial,17,5,1,0,,,,,,,,,,"{""evaluated_states"": 44, ""infrastructure_builds"": 0, ""semantic_builds"": 1}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,repeat,17,5,1,0,,,,,,,,,,"{""evaluated_states"": 44, ""infrastructure_builds"": 0, ""semantic_builds"": 1}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,counts,17,5,1,0,,,,,,,,,,"{""evaluated_states"": 44, ""infrastructure_builds"": 0, ""semantic_builds"": 1}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,masks,17,5,1,0,,,,,,,,,,"{""evaluated_states"": 56, ""infrastructure_builds"": 0, ""semantic_builds"": 1}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,metadata,17,5,1,0,,,,,,,,,,"{""evaluated_states"": 56, ""infrastructure_builds"": 0, ""semantic_builds"": 1}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,structure,17,5,2,0,,,,,,,,,,"{""evaluated_states"": 56, ""infrastructure_builds"": 0, ""semantic_builds"": 2}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,original,0,restore,17,5,3,0,,,,,,,,,,"{""evaluated_states"": 44, ""infrastructure_builds"": 0, ""semantic_builds"": 3}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,initial,6,5,1,0,,,,,,,,,,"{""evaluated_states"": 28, ""infrastructure_builds"": 0, ""semantic_builds"": 1}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,repeat,6,5,1,0,,,,,,,,,,"{""evaluated_states"": 28, ""infrastructure_builds"": 0, ""semantic_builds"": 1}"
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_direct,completion_projected,0,counts,6,5,1,0,,,,,,,,,,"{""evaluated_states"": 28, ""infrastructure_builds"": 0, ""semantic_builds"": 1}"
