application,mechanism,missing_fraction_requested,information,operation_cases,attempts,successes,lower_count,upper_count,ambiguous_attempts,point_identified_attempts,success_excluded,failure_excluded,fully_observed_states,known_native_coordinates,hidden_native_coordinates,affected_attempts,revealed_native_coordinates,revealed_attempts,ambiguities_resolved,identified_lower,identified_upper,width,point_identified_fraction,compatible_fraction
deathstarbench_social_network,uniform_coordinates,0,none,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,uniform_coordinates,0,selection_and_admission,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,uniform_coordinates,0,entry_result,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,uniform_coordinates,0,required_completions,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,uniform_coordinates,0,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,uniform_coordinates,0.1,none,15,18000,17193,8074,17196,9122,8878,0,0,5260,143444,14339,9154,0,0,0,0.44855555555555554,0.9553333333333334,0.5067777777777778,0.49322222222222223,1.0
deathstarbench_social_network,uniform_coordinates,0.1,selection_and_admission,15,18000,17193,9175,17196,8021,9979,0,0,5260,143444,14339,9154,2744,2489,1101,0.5097222222222222,0.9553333333333334,0.4456111111111111,0.5543888888888889,1.0
deathstarbench_social_network,uniform_coordinates,0.1,entry_result,15,18000,17193,9017,17193,8176,9824,0,0,5847,143444,14339,9154,1841,1841,946,0.5009444444444444,0.9551666666666667,0.45422222222222225,0.5457777777777778,1.0
deathstarbench_social_network,uniform_coordinates,0.1,required_completions,15,18000,17193,12055,17196,5141,12859,0,0,6478,143444,14339,9154,9754,6841,3981,0.6697222222222222,0.9553333333333334,0.2856111111111111,0.7143888888888889,1.0
deathstarbench_social_network,uniform_coordinates,0.1,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,14339,9154,14339,9154,7740,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
