application,placement,law,repetition,operation,status,attempts,reason
deathstarbench_social_network,split,N,0,compose_post,experimented,1200,
deathstarbench_social_network,split,N,0,read_home_timeline,experimented,1200,
deathstarbench_social_network,split,N,0,read_user_timeline,experimented,1200,
deathstarbench_social_network,split,N,1,compose_post,experimented,1200,
deathstarbench_social_network,split,N,1,read_home_timeline,experimented,1200,
deathstarbench_social_network,split,N,1,read_user_timeline,experimented,1200,
deathstarbench_social_network,split,N,2,compose_post,experimented,1200,
deathstarbench_social_network,split,N,2,read_home_timeline,experimented,1200,
deathstarbench_social_network,split,N,2,read_user_timeline,experimented,1200,
deathstarbench_social_network,split,NC,0,compose_post,experimented,1200,
deathstarbench_social_network,split,NC,0,read_home_timeline,experimented,1200,
deathstarbench_social_network,split,NC,0,read_user_timeline,unsupported,1200,unexplained native parent boundary
deathstarbench_social_network,split,NC,1,compose_post,experimented,1200,
deathstarbench_social_network,split,NC,1,read_home_timeline,experimented,1200,
deathstarbench_social_network,split,NC,1,read_user_timeline,unsupported,1200,unexplained native parent boundary
deathstarbench_social_network,split,NC,2,compose_post,experimented,1200,
deathstarbench_social_network,split,NC,2,read_home_timeline,experimented,1200,
deathstarbench_social_network,split,NC,2,read_user_timeline,unsupported,1200,unexplained native parent boundary
opentelemetry_demo,split,N,0,add_to_cart,experimented,1200,
opentelemetry_demo,split,N,0,browse_product,experimented,1200,
opentelemetry_demo,split,N,0,checkout,experimented,1200,
opentelemetry_demo,split,N,1,add_to_cart,experimented,1200,
opentelemetry_demo,split,N,1,browse_product,experimented,1200,
opentelemetry_demo,split,N,1,checkout,experimented,1200,
opentelemetry_demo,split,N,2,add_to_cart,experimented,1200,
opentelemetry_demo,split,N,2,browse_product,experimented,1200,
opentelemetry_demo,split,N,2,checkout,experimented,1200,
opentelemetry_demo,split,NC,0,add_to_cart,experimented,1200,
opentelemetry_demo,split,NC,0,browse_product,experimented,1200,
opentelemetry_demo,split,NC,0,checkout,experimented,1200,
opentelemetry_demo,split,NC,1,add_to_cart,experimented,1200,
opentelemetry_demo,split,NC,1,browse_product,experimented,1200,
opentelemetry_demo,split,NC,1,checkout,experimented,1200,
opentelemetry_demo,split,NC,2,add_to_cart,experimented,1200,
opentelemetry_demo,split,NC,2,browse_product,experimented,1200,
opentelemetry_demo,split,NC,2,checkout,experimented,1200,
spring_petclinic_microservices,split,N,0,create_visit,experimented,900,
spring_petclinic_microservices,split,N,0,list_owners,experimented,900,
spring_petclinic_microservices,split,N,0,list_vets,experimented,900,
spring_petclinic_microservices,split,N,0,owner_details_with_visits,experimented,900,
spring_petclinic_microservices,split,N,1,create_visit,experimented,900,
spring_petclinic_microservices,split,N,1,list_owners,experimented,900,
spring_petclinic_microservices,split,N,1,list_vets,experimented,900,
spring_petclinic_microservices,split,N,1,owner_details_with_visits,experimented,900,
spring_petclinic_microservices,split,N,2,create_visit,experimented,900,
spring_petclinic_microservices,split,N,2,list_owners,experimented,900,
spring_petclinic_microservices,split,N,2,list_vets,experimented,900,
spring_petclinic_microservices,split,N,2,owner_details_with_visits,experimented,900,
spring_petclinic_microservices,split,NC,0,create_visit,experimented,900,
spring_petclinic_microservices,split,NC,0,list_owners,experimented,900,
spring_petclinic_microservices,split,NC,0,list_vets,experimented,900,
spring_petclinic_microservices,split,NC,0,owner_details_with_visits,experimented,900,
spring_petclinic_microservices,split,NC,1,create_visit,experimented,900,
spring_petclinic_microservices,split,NC,1,list_owners,experimented,900,
spring_petclinic_microservices,split,NC,1,list_vets,experimented,900,
spring_petclinic_microservices,split,NC,1,owner_details_with_visits,experimented,900,
spring_petclinic_microservices,split,NC,2,create_visit,experimented,900,
spring_petclinic_microservices,split,NC,2,list_owners,experimented,900,
spring_petclinic_microservices,split,NC,2,list_vets,experimented,900,
spring_petclinic_microservices,split,NC,2,owner_details_with_visits,experimented,900,
