case,operation,variant,source_artifact_id,source_artifact_sha256,model_id,calibration_attempts,calibration_successes,b0_exact,recorded_pmx_probability,recalculated_probability,recurrence_absolute_error,pmx_minus_b0,external_wrapper_uses_calibration_success_labels,wrapper_conditional_error_exact,empirical_subcalls_survival_exact,modeled_subcalls_survival,conditional_wrapper_identity_holds,conditional_difference_decomposition
deathstarbench_social_network--colocated--N--r0,compose_post,inclusive,10165139821,31dee21d11587afca49e004e01e7d8f1f6fcf5b908b5bf7d703c9ed396f853f1,campaign-cab5f63e4c701ae863c4--compose_post--inclusive,1200,1155,1155/1200,0.9616979166666667,0.9616979166666666,1.1102230246251565e-16,-0.0008020833333334254,True,4/109,1199/1200,0.9991666666666666,True,0.0
deathstarbench_social_network--colocated--N--r0,compose_post,conditional_local,10165139821,31dee21d11587afca49e004e01e7d8f1f6fcf5b908b5bf7d703c9ed396f853f1,campaign-cab5f63e4c701ae863c4--compose_post--conditional_local,1200,1155,1155/1200,0.9625,0.9624999999999999,1.1102230246251565e-16,-1.1102230246251565e-16,True,4/109,1199/1200,0.9991666666666666,True,0.0
deathstarbench_social_network--colocated--N--r0,read_home_timeline,inclusive,10165139821,31dee21d11587afca49e004e01e7d8f1f6fcf5b908b5bf7d703c9ed396f853f1,campaign-cab5f63e4c701ae863c4--read_home_timeline--inclusive,1200,1200,1200/1200,1.0,1.0,0.0,0.0,True,0,1,1.0,True,0.0
deathstarbench_social_network--colocated--N--r0,read_home_timeline,conditional_local,10165139821,31dee21d11587afca49e004e01e7d8f1f6fcf5b908b5bf7d703c9ed396f853f1,campaign-cab5f63e4c701ae863c4--read_home_timeline--conditional_local,1200,1200,1200/1200,1.0,1.0,0.0,0.0,True,0,1,1.0,True,0.0
deathstarbench_social_network--colocated--N--r0,read_user_timeline,inclusive,10165139821,31dee21d11587afca49e004e01e7d8f1f6fcf5b908b5bf7d703c9ed396f853f1,campaign-cab5f63e4c701ae863c4--read_user_timeline--inclusive,1200,1114,1114/1200,0.9283333333333333,0.9283333333333333,0.0,0.0,True,43/600,1,1.0,True,0.0
deathstarbench_social_network--colocated--N--r0,read_user_timeline,conditional_local,10165139821,31dee21d11587afca49e004e01e7d8f1f6fcf5b908b5bf7d703c9ed396f853f1,campaign-cab5f63e4c701ae863c4--read_user_timeline--conditional_local,1200,1114,1114/1200,0.9283333333333333,0.9283333333333333,0.0,0.0,True,43/600,1,1.0,True,0.0
deathstarbench_social_network--split--NC--r1,compose_post,inclusive,10165314874,fab96e26fa6e0a945fcabea8779c54326578af87dfcdc427280c75c5ccb91480,campaign-3a8b5bdde23528b322d8--compose_post--inclusive,1200,1057,1057/1200,0.8272493055555556,0.8272493055555556,0.0,-0.05358402777777771,True,10/161,1127/1200,0.9391666666666667,True,0.0
deathstarbench_social_network--split--NC--r1,compose_post,conditional_local,10165314874,fab96e26fa6e0a945fcabea8779c54326578af87dfcdc427280c75c5ccb91480,campaign-3a8b5bdde23528b322d8--compose_post--conditional_local,1200,1057,1057/1200,0.8808333333333334,0.8808333333333334,0.0,0.0,True,10/161,1127/1200,0.9391666666666667,True,0.0
deathstarbench_social_network--split--NC--r1,read_home_timeline,inclusive,10165314874,fab96e26fa6e0a945fcabea8779c54326578af87dfcdc427280c75c5ccb91480,campaign-3a8b5bdde23528b322d8--read_home_timeline--inclusive,1200,1200,1200/1200,1.0,1.0,0.0,0.0,True,0,1,1.0,True,0.0
deathstarbench_social_network--split--NC--r1,read_home_timeline,conditional_local,10165314874,fab96e26fa6e0a945fcabea8779c54326578af87dfcdc427280c75c5ccb91480,campaign-3a8b5bdde23528b322d8--read_home_timeline--conditional_local,1200,1200,1200/1200,1.0,1.0,0.0,0.0,True,0,1,1.0,True,0.0
