application,repetition,multiplier,route,target,status,position,order,attempts,native_span_records,first_answer_seconds,first_cpu_seconds,first_peak_rss_mib,internal_pipeline_seconds,first_query_seconds,frequency_identification_seconds,interpretation_seconds,projection_seconds,read_seconds,representation_seconds,save_seconds,startup_dispatch_seconds,source_files_read,models,whole_process_seconds,whole_process_resource
deathstarbench_social_network,0,1,full_e,E,qualified,0,"[""full_e"", ""full_r"", ""projected_r"", ""direct_r""]",3600,53155,1.951119912,2.518322,206.375,1.1812626949999867,0.0016066809999983889,0.010159877999967648,0.7714281839951127,0.0,0.2238248209999938,0.17120272500483225,0.0006232490000002144,0.772274374000095,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 1200}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 1200}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 1200}}",2.121252426999945,"{""maximum_rss_bytes"": 216399872.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.1, ""user_seconds"": 2.55, ""wall_seconds"": 2.09}"
deathstarbench_social_network,0,1,full_r,R,qualified,1,"[""full_e"", ""full_r"", ""projected_r"", ""direct_r""]",3600,53155,1.942460722,2.5067820000000003,206.1875,1.1800032769999689,0.00014291099989804934,0.010193644999958451,0.7688268799944353,0.0,0.2268010109999068,0.17101729200555837,0.0006573059999936959,0.7648216770002494,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 1200}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 1200}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 1200}}",2.071612823999999,"{""maximum_rss_bytes"": 216203264.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.1, ""user_seconds"": 2.5, ""wall_seconds"": 2.04}"
deathstarbench_social_network,0,1,projected_r,R,qualified,2,"[""full_e"", ""full_r"", ""projected_r"", ""direct_r""]",3600,53155,1.941485074,2.5080620000000002,206.38671875,1.1804532039999458,8.884699980171717e-05,0.010324752999963493,0.8007738439983996,0.00013320000005023758,0.22439262000000326,0.142044451001766,0.00036206599997967714,0.7633652930000361,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 1200}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 1200}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}}",2.074509830000011,"{""maximum_rss_bytes"": 216412160.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.1, ""user_seconds"": 2.49, ""wall_seconds"": 2.03}"
deathstarbench_social_network,0,1,direct_r,R,qualified,3,"[""full_e"", ""full_r"", ""projected_r"", ""direct_r""]",3600,53155,1.837170245,2.41147,206.55078125,1.0733819969999558,9.905099989282462e-05,0.007573485000079927,0.7441086600041444,0.0,0.22644910299993626,0.09345807599572709,0.0008124869999619477,0.7646693830002576,"[""requests.json"", ""native.json"", ""declarations.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 1200}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 1200}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}}",1.968753602999982,"{""maximum_rss_bytes"": 216584192.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.1, ""user_seconds"": 2.4, ""wall_seconds"": 1.93}"
deathstarbench_social_network,0,2,full_r,R,qualified,0,"[""full_r"", ""projected_r"", ""direct_r"", ""full_e""]",7200,106310,3.317806929,3.890659,310.4765625,2.5506287560000374,0.0001582160000452859,0.02182096499996078,1.549542189986255,0.0,0.4622313500000246,0.5108863190137072,0.0006464719999712543,0.7725214170000361,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 2400}}",3.474418740000033,"{""maximum_rss_bytes"": 325558272.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.16, ""user_seconds"": 3.85, ""wall_seconds"": 3.44}"
deathstarbench_social_network,0,2,projected_r,R,qualified,1,"[""full_r"", ""projected_r"", ""direct_r"", ""full_e""]",7200,106310,3.307765567,3.878201,310.7734375,2.5437221519999866,9.503900002982846e-05,0.021500225000067985,1.5425101909989962,0.00014591800004382094,0.46275506699998914,0.5111094400008369,0.00035641699992083886,0.7692932700001154,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}}",3.4742025829999648,"{""maximum_rss_bytes"": 325869568.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.13, ""user_seconds"": 3.86, ""wall_seconds"": 3.43}"
deathstarbench_social_network,0,2,direct_r,R,qualified,2,"[""full_r"", ""projected_r"", ""direct_r"", ""full_e""]",7200,106310,3.103276069,3.673686,310.5234375,2.3420093660000703,0.0001032840000334545,0.014506544000028043,1.580906615994195,0.0,0.464602252000077,0.27962179700580236,0.0003763550000712712,0.763159220999793,"[""requests.json"", ""native.json"", ""declarations.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}}",3.272377980999977,"{""maximum_rss_bytes"": 325607424.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.14, ""user_seconds"": 3.65, ""wall_seconds"": 3.22}"
deathstarbench_social_network,0,2,full_e,E,qualified,3,"[""full_r"", ""projected_r"", ""direct_r"", ""full_e""]",7200,106310,3.316799655,3.888179,310.83203125,2.5513338089999706,0.001626790999921468,0.020143573999916953,1.6853518209887852,0.0,0.46373055199990176,0.3743716860112727,0.0006384529999650113,0.770936778000237,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 2400}}",3.5234807520000686,"{""maximum_rss_bytes"": 325931008.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.13, ""user_seconds"": 3.91, ""wall_seconds"": 3.48}"
deathstarbench_social_network,0,4,projected_r,R,qualified,0,"[""projected_r"", ""direct_r"", ""full_e"", ""full_r""]",14400,212620,6.200525985,6.773235000000001,519.07421875,5.428149451999957,0.00010158400016280211,0.03911910199997237,3.6364352129918416,0.0003731019999122509,0.9584534509999685,0.7814102580081226,0.00036329299996396003,0.7842699820000556,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 4800}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}}",6.380060407999963,"{""maximum_rss_bytes"": 544288768.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.25, ""user_seconds"": 6.69, ""wall_seconds"": 6.37}"
deathstarbench_social_network,0,4,direct_r,R,qualified,1,"[""projected_r"", ""direct_r"", ""full_e"", ""full_r""]",14400,212620,5.494842156,6.068209,519.15625,4.732770061999986,0.00011099100004230422,0.02889435700001286,3.1740364460183628,0.0,0.9310778500000652,0.5944300039817563,0.00038908499993794976,0.7659034229998225,"[""requests.json"", ""native.json"", ""declarations.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 4800}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}}",5.6775270419999515,"{""maximum_rss_bytes"": 544374784.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.26, ""user_seconds"": 5.98, ""wall_seconds"": 5.66}"
