application,repetition,multiplier,route,target,operation,query_repetition,nanoseconds
deathstarbench_social_network,0,1,full_e,E,compose_post,0,1223166
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,0,28299
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,0,178538
deathstarbench_social_network,0,1,full_e,E,compose_post,1,1172871
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,1,23600
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,1,175147
deathstarbench_social_network,0,1,full_e,E,compose_post,2,1177359
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,2,23275
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,2,175361
deathstarbench_social_network,0,1,full_e,E,compose_post,3,1163419
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,3,23070
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,3,173179
deathstarbench_social_network,0,1,full_e,E,compose_post,4,1178171
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,4,22187
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,4,173955
deathstarbench_social_network,0,1,full_e,E,compose_post,5,1174479
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,5,22470
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,5,174047
deathstarbench_social_network,0,1,full_e,E,compose_post,6,1164789
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,6,22690
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,6,175187
deathstarbench_social_network,0,1,full_e,E,compose_post,7,1165847
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,7,21577
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,7,182288
deathstarbench_social_network,0,1,full_e,E,compose_post,8,1171573
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,8,22015
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,8,176786
deathstarbench_social_network,0,1,full_e,E,compose_post,9,1178788
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,9,22619
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,9,175722
deathstarbench_social_network,0,1,full_e,E,compose_post,10,1201975
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,10,23035
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,10,177535
deathstarbench_social_network,0,1,full_e,E,compose_post,11,1173652
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,11,21545
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,11,174165
deathstarbench_social_network,0,1,full_e,E,compose_post,12,1166986
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,12,22006
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,12,174092
deathstarbench_social_network,0,1,full_e,E,compose_post,13,1178245
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,13,22040
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,13,174077
deathstarbench_social_network,0,1,full_e,E,compose_post,14,1170076
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,14,21826
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,14,175473
deathstarbench_social_network,0,1,full_e,E,compose_post,15,1173007
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,15,22448
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,15,182350
deathstarbench_social_network,0,1,full_e,E,compose_post,16,1175184
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,16,22349
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,16,174835
deathstarbench_social_network,0,1,full_e,E,compose_post,17,1173589
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,17,22616
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,17,175200
deathstarbench_social_network,0,1,full_e,E,compose_post,18,1179790
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,18,22731
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,18,176018
deathstarbench_social_network,0,1,full_e,E,compose_post,19,1170338
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,19,22706
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,19,174384
deathstarbench_social_network,0,1,full_e,E,compose_post,20,1190388
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,20,22829
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,20,176253
deathstarbench_social_network,0,1,full_e,E,compose_post,21,1190316
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,21,22419
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,21,181309
deathstarbench_social_network,0,1,full_e,E,compose_post,22,1183271
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,22,21728
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,22,178826
deathstarbench_social_network,0,1,full_e,E,compose_post,23,1226703
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,23,28718
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,23,182622
deathstarbench_social_network,0,1,full_e,E,compose_post,24,1203549
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,24,22296
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,24,178681
deathstarbench_social_network,0,1,full_e,E,compose_post,25,1180511
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,25,22063
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,25,176409
deathstarbench_social_network,0,1,full_e,E,compose_post,26,1186120
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,26,21953
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,26,176042
deathstarbench_social_network,0,1,full_e,E,compose_post,27,1184199
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,27,22412
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,27,175271
deathstarbench_social_network,0,1,full_e,E,compose_post,28,1172175
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,28,22261
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,28,182261
deathstarbench_social_network,0,1,full_e,E,compose_post,29,1180771
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,29,22220
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,29,175518
deathstarbench_social_network,0,1,full_e,E,compose_post,30,1183487
deathstarbench_social_network,0,1,full_e,E,read_home_timeline,30,22075
deathstarbench_social_network,0,1,full_e,E,read_user_timeline,30,174673
deathstarbench_social_network,0,1,full_r,R,compose_post,0,49485
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,0,8453
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,0,11672
deathstarbench_social_network,0,1,full_r,R,compose_post,1,17560
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,1,5672
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,1,9835
deathstarbench_social_network,0,1,full_r,R,compose_post,2,16571
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,2,5040
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,2,9439
deathstarbench_social_network,0,1,full_r,R,compose_post,3,16583
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,3,5153
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,3,9351
deathstarbench_social_network,0,1,full_r,R,compose_post,4,16251
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,4,5274
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,4,9455
deathstarbench_social_network,0,1,full_r,R,compose_post,5,16563
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,5,4992
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,5,9525
deathstarbench_social_network,0,1,full_r,R,compose_post,6,16245
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,6,5399
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,6,9943
deathstarbench_social_network,0,1,full_r,R,compose_post,7,16280
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,7,5249
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,7,9380
deathstarbench_social_network,0,1,full_r,R,compose_post,8,16460
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,8,5342
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,8,9561
deathstarbench_social_network,0,1,full_r,R,compose_post,9,16143
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,9,4949
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,9,9084
deathstarbench_social_network,0,1,full_r,R,compose_post,10,16256
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,10,4948
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,10,9338
deathstarbench_social_network,0,1,full_r,R,compose_post,11,16146
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,11,5002
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,11,9177
deathstarbench_social_network,0,1,full_r,R,compose_post,12,16429
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,12,4946
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,12,9368
deathstarbench_social_network,0,1,full_r,R,compose_post,13,15920
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,13,4967
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,13,9336
deathstarbench_social_network,0,1,full_r,R,compose_post,14,16093
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,14,5099
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,14,9500
deathstarbench_social_network,0,1,full_r,R,compose_post,15,16540
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,15,5084
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,15,9410
deathstarbench_social_network,0,1,full_r,R,compose_post,16,16231
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,16,5143
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,16,9199
deathstarbench_social_network,0,1,full_r,R,compose_post,17,16189
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,17,5042
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,17,9272
deathstarbench_social_network,0,1,full_r,R,compose_post,18,16397
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,18,5049
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,18,9441
deathstarbench_social_network,0,1,full_r,R,compose_post,19,16392
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,19,4912
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,19,9564
deathstarbench_social_network,0,1,full_r,R,compose_post,20,16369
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,20,5145
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,20,9438
deathstarbench_social_network,0,1,full_r,R,compose_post,21,15991
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,21,5042
deathstarbench_social_network,0,1,full_r,R,read_user_timeline,21,9457
deathstarbench_social_network,0,1,full_r,R,compose_post,22,16047
deathstarbench_social_network,0,1,full_r,R,read_home_timeline,22,4974
