application,multiplier,route,operation,queries,median_ns,min_ns,max_ns
deathstarbench_social_network,1,direct_r,compose_post,93,5501,5218,24035
deathstarbench_social_network,1,direct_r,read_home_timeline,93,3915,3672,6649
deathstarbench_social_network,1,direct_r,read_user_timeline,93,4780,4565,19401
deathstarbench_social_network,1,full_e,compose_post,93,1139235,1113130,1226703
deathstarbench_social_network,1,full_e,read_home_timeline,93,22287,21545,28718
deathstarbench_social_network,1,full_e,read_user_timeline,93,174077,167685,200845
deathstarbench_social_network,1,full_r,compose_post,93,16540,15920,49485
deathstarbench_social_network,1,full_r,read_home_timeline,93,5196,4888,8774
deathstarbench_social_network,1,full_r,read_user_timeline,93,9569,9084,11918
deathstarbench_social_network,1,projected_r,compose_post,93,5545,5305,19857
deathstarbench_social_network,1,projected_r,read_home_timeline,93,3995,3745,6385
deathstarbench_social_network,1,projected_r,read_user_timeline,93,4863,4633,19440
deathstarbench_social_network,2,direct_r,compose_post,93,5475,5210,21816
deathstarbench_social_network,2,direct_r,read_home_timeline,93,3963,3717,6710
deathstarbench_social_network,2,direct_r,read_user_timeline,93,4837,4546,6461
deathstarbench_social_network,2,full_e,compose_post,93,1166467,1138265,1265457
deathstarbench_social_network,2,full_e,read_home_timeline,93,22600,21724,29636
deathstarbench_social_network,2,full_e,read_user_timeline,93,177085,168685,230222
deathstarbench_social_network,2,full_r,compose_post,93,16238,15895,36018
deathstarbench_social_network,2,full_r,read_home_timeline,93,5086,4807,18925
deathstarbench_social_network,2,full_r,read_user_timeline,93,9369,8961,11972
deathstarbench_social_network,2,projected_r,compose_post,93,5599,5300,20932
deathstarbench_social_network,2,projected_r,read_home_timeline,93,4014,3769,6852
deathstarbench_social_network,2,projected_r,read_user_timeline,93,4892,4693,6450
deathstarbench_social_network,4,direct_r,compose_post,93,5655,5199,20342
deathstarbench_social_network,4,direct_r,read_home_timeline,93,4011,3695,6921
deathstarbench_social_network,4,direct_r,read_user_timeline,93,4987,4697,27537
deathstarbench_social_network,4,full_e,compose_post,93,1159914,1130783,1235556
deathstarbench_social_network,4,full_e,read_home_timeline,93,22426,21637,28861
deathstarbench_social_network,4,full_e,read_user_timeline,93,174611,168775,186862
deathstarbench_social_network,4,full_r,compose_post,93,16515,15739,37218
deathstarbench_social_network,4,full_r,read_home_timeline,93,5136,4824,9110
deathstarbench_social_network,4,full_r,read_user_timeline,93,9578,9185,17746
deathstarbench_social_network,4,projected_r,compose_post,93,5594,5274,19690
deathstarbench_social_network,4,projected_r,read_home_timeline,93,3986,3791,6787
deathstarbench_social_network,4,projected_r,read_user_timeline,93,4880,4705,24296
opentelemetry_demo,1,direct_r,add_to_cart,93,5160,4789,21470
opentelemetry_demo,1,direct_r,browse_product,93,5340,4959,45736
opentelemetry_demo,1,direct_r,checkout,93,5931,5560,8716
opentelemetry_demo,1,full_e,add_to_cart,93,478913,454669,578119
opentelemetry_demo,1,full_e,browse_product,93,380531,356115,554976
opentelemetry_demo,1,full_e,checkout,93,2243437,2170040,2648132
opentelemetry_demo,1,full_r,add_to_cart,93,13475,12774,39754
opentelemetry_demo,1,full_r,browse_product,93,12373,11732,23624
opentelemetry_demo,1,full_r,checkout,93,34474,33312,57648
opentelemetry_demo,1,projected_r,add_to_cart,93,5060,4709,19807
opentelemetry_demo,1,projected_r,browse_product,93,5240,4909,24987
opentelemetry_demo,1,projected_r,checkout,93,5831,5500,8917
opentelemetry_demo,2,direct_r,add_to_cart,93,5119,4748,30036
opentelemetry_demo,2,direct_r,browse_product,93,5310,4920,28233
opentelemetry_demo,2,direct_r,checkout,93,5871,5460,8937
opentelemetry_demo,2,full_e,add_to_cart,93,479445,462433,550988
opentelemetry_demo,2,full_e,browse_product,93,377083,365592,425283
opentelemetry_demo,2,full_e,checkout,93,2254557,2205315,2358291
opentelemetry_demo,2,full_r,add_to_cart,93,13415,12854,57467
opentelemetry_demo,2,full_r,browse_product,93,12383,11712,37450
opentelemetry_demo,2,full_r,checkout,93,34795,33873,61244
opentelemetry_demo,2,projected_r,add_to_cart,93,5090,4679,32130
opentelemetry_demo,2,projected_r,browse_product,93,5230,4939,10199
opentelemetry_demo,2,projected_r,checkout,93,5820,5410,8956
opentelemetry_demo,4,direct_r,add_to_cart,93,5169,4758,44583
opentelemetry_demo,4,direct_r,browse_product,93,5520,5049,26309
opentelemetry_demo,4,direct_r,checkout,93,5891,5490,28794
opentelemetry_demo,4,full_e,add_to_cart,93,476359,457324,553202
opentelemetry_demo,4,full_e,browse_product,93,375080,360303,419712
opentelemetry_demo,4,full_e,checkout,93,2244319,2192082,2389200
opentelemetry_demo,4,full_r,add_to_cart,93,13505,12934,58539
opentelemetry_demo,4,full_r,browse_product,93,12423,11832,58699
opentelemetry_demo,4,full_r,checkout,93,34514,33663,64430
