application,law,repetition,period,operation,full_support,E_failure_excluded,E_lower_count,E_lower_exact,E_point_attempts,E_point_fraction,E_success_excluded,E_upper_count,E_upper_exact,E_width,R_failure_excluded,R_lower_count,R_lower_exact,R_minus_E_lower_count,R_minus_E_lower_exact,R_minus_E_point_attempts,R_minus_E_point_fraction,R_minus_E_upper_count,R_minus_E_upper_exact,R_minus_E_width,R_point_attempts,R_point_fraction,R_success_excluded,R_upper_count,R_upper_exact,R_width,attempts,equivalent_for_all_states,hidden_native_coordinates,information,known_native_coordinates,mechanism,missing_fraction,revealed_native_coordinates,same_R_routes_qualified,same_marginal_bounds_but_possible_difference,R_and_K_difference_not_determined,R_fixed_true_K_unknown,event_difference_undecided
deathstarbench_social_network,N,0,test,compose_post,True,0,1139,1139/1200,1200,1.0,0,1139,1139/1200,0.0,0,1139,1139/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,0,1139,1139/1200,0.0,1200,1200,0,none,17926,uniform_coordinates,0,0,True,0,,,
deathstarbench_social_network,N,0,test,compose_post,True,0,1139,1139/1200,1200,1.0,0,1139,1139/1200,0.0,0,1139,1139/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,0,1139,1139/1200,0.0,1200,1200,0,selection_and_admission,17926,uniform_coordinates,0,0,True,0,,,
deathstarbench_social_network,N,0,test,compose_post,True,0,1139,1139/1200,1200,1.0,0,1139,1139/1200,0.0,0,1139,1139/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,0,1139,1139/1200,0.0,1200,1200,0,entry_result,17926,uniform_coordinates,0,0,True,0,,,
deathstarbench_social_network,N,0,test,compose_post,True,0,1139,1139/1200,1200,1.0,0,1139,1139/1200,0.0,0,1139,1139/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,0,1139,1139/1200,0.0,1200,1200,0,required_completions,17926,uniform_coordinates,0,0,True,0,,,
deathstarbench_social_network,N,0,test,compose_post,True,0,1139,1139/1200,1200,1.0,0,1139,1139/1200,0.0,0,1139,1139/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,0,1139,1139/1200,0.0,1200,1200,0,all_native,17926,uniform_coordinates,0,0,True,0,,,
deathstarbench_social_network,N,0,test,compose_post,True,0,234,39/200,295,0.24583333333333332,0,1139,1139/1200,0.7541666666666667,0,330,11/40,0,0,887,0.7391666666666666,313,313/1200,0.2608333333333333,391,0.3258333333333333,0,1139,1139/1200,0.6741666666666667,1200,887,1792,none,17926,uniform_coordinates,0.1,0,True,217,217,96,313
deathstarbench_social_network,N,0,test,compose_post,True,0,330,11/40,391,0.3258333333333333,0,1139,1139/1200,0.6741666666666667,0,330,11/40,0,0,1200,1.0,0,0,0.0,391,0.3258333333333333,0,1139,1139/1200,0.6741666666666667,1200,1200,1792,selection_and_admission,17926,uniform_coordinates,0.1,366,True,0,,,
deathstarbench_social_network,N,0,test,compose_post,True,0,260,13/60,321,0.2675,0,1139,1139/1200,0.7325,0,367,367/1200,0,0,887,0.7391666666666666,313,313/1200,0.2608333333333333,428,0.3566666666666667,0,1139,1139/1200,0.6433333333333333,1200,887,1792,entry_result,17926,uniform_coordinates,0.1,110,True,206,206,107,313
deathstarbench_social_network,N,0,test,compose_post,True,0,747,249/400,808,0.6733333333333333,0,1139,1139/1200,0.32666666666666666,0,1034,517/600,0,0,887,0.7391666666666666,313,313/1200,0.2608333333333333,1095,0.9125,0,1139,1139/1200,0.0875,1200,887,1792,required_completions,17926,uniform_coordinates,0.1,1316,True,26,26,287,313
deathstarbench_social_network,N,0,test,compose_post,True,0,1139,1139/1200,1200,1.0,0,1139,1139/1200,0.0,0,1139,1139/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,0,1139,1139/1200,0.0,1200,1200,1792,all_native,17926,uniform_coordinates,0.1,1792,True,0,,,
