application,law,repetition,period,operation,full_support,direct_support,full_reason,direct_reason,full_original_reproduced,same_R_routes_qualified,E_lower_count,E_lower_exact,E_point_attempts,E_point_fraction,E_upper_count,E_upper_exact,E_width,R_lower_count,R_lower_exact,R_minus_E_lower_count,R_minus_E_lower_exact,R_minus_E_point_attempts,R_minus_E_point_fraction,R_minus_E_upper_count,R_minus_E_upper_exact,R_minus_E_width,R_point_attempts,R_point_fraction,R_upper_count,R_upper_exact,R_width,attempts,equivalent_for_all_states,same_marginal_bounds_but_possible_difference,E_failure_excluded,E_success_excluded,R_failure_excluded,R_success_excluded,R_and_K_difference_not_determined,event_difference_undecided
deathstarbench_social_network,N,0,calibration,compose_post,True,True,,,True,True,1144,143/150,1200,1.0,1144,143/150,0.0,1144,143/150,0,0,1200,1.0,0,0,0.0,1200,1.0,1144,143/150,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,0,calibration,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,0,calibration,read_user_timeline,True,True,,,True,True,1116,93/100,1200,1.0,1116,93/100,0.0,1116,93/100,0,0,1200,1.0,0,0,0.0,1200,1.0,1116,93/100,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,0,test,compose_post,True,True,,,True,True,1139,1139/1200,1200,1.0,1139,1139/1200,0.0,1139,1139/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1139,1139/1200,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,N,0,test,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,N,0,test,read_user_timeline,True,True,,,True,True,1123,1123/1200,1200,1.0,1123,1123/1200,0.0,1123,1123/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1123,1123/1200,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,N,1,calibration,compose_post,True,True,,,True,True,1138,569/600,1200,1.0,1138,569/600,0.0,1138,569/600,0,0,1200,1.0,0,0,0.0,1200,1.0,1138,569/600,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,1,calibration,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,1,calibration,read_user_timeline,True,True,,,True,True,1104,23/25,1200,1.0,1104,23/25,0.0,1104,23/25,0,0,1200,1.0,0,0,0.0,1200,1.0,1104,23/25,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,1,test,compose_post,True,True,,,True,True,1139,1139/1200,1200,1.0,1139,1139/1200,0.0,1139,1139/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1139,1139/1200,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,N,1,test,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,N,1,test,read_user_timeline,True,True,,,True,True,1121,1121/1200,1200,1.0,1121,1121/1200,0.0,1121,1121/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1121,1121/1200,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,N,2,calibration,compose_post,True,True,,,True,True,1137,379/400,1200,1.0,1137,379/400,0.0,1137,379/400,0,0,1200,1.0,0,0,0.0,1200,1.0,1137,379/400,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,2,calibration,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,2,calibration,read_user_timeline,True,True,,,True,True,1094,547/600,1200,1.0,1094,547/600,0.0,1094,547/600,0,0,1200,1.0,0,0,0.0,1200,1.0,1094,547/600,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,N,2,test,compose_post,True,True,,,True,True,1141,1141/1200,1200,1.0,1141,1141/1200,0.0,1141,1141/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1141,1141/1200,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,N,2,test,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,N,2,test,read_user_timeline,True,True,,,True,True,1098,183/200,1200,1.0,1098,183/200,0.0,1098,183/200,0,0,1200,1.0,0,0,0.0,1200,1.0,1098,183/200,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,NC,0,calibration,compose_post,True,True,,,True,True,1083,361/400,1200,1.0,1083,361/400,0.0,1083,361/400,0,0,1200,1.0,0,0,0.0,1200,1.0,1083,361/400,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,0,calibration,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,0,calibration,read_user_timeline,True,True,,,True,True,1052,263/300,1200,1.0,1052,263/300,0.0,1052,263/300,0,0,1200,1.0,0,0,0.0,1200,1.0,1052,263/300,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,0,test,compose_post,True,True,,,True,True,660,11/20,790,0.6583333333333333,1070,107/120,0.3416666666666667,660,11/20,0,0,790,0.6583333333333333,410,41/120,0.3416666666666667,790,0.6583333333333333,1070,107/120,0.3416666666666667,1200,790,410,0,0,0,0,410,410
deathstarbench_social_network,NC,0,test,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,NC,0,test,read_user_timeline,False,False,unexplained native parent boundary,unexplained native parent boundary,True,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,
deathstarbench_social_network,NC,1,calibration,compose_post,True,True,,,True,True,1091,1091/1200,1200,1.0,1091,1091/1200,0.0,1091,1091/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1091,1091/1200,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,1,calibration,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,1,calibration,read_user_timeline,True,True,,,True,True,1051,1051/1200,1200,1.0,1051,1051/1200,0.0,1051,1051/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1051,1051/1200,0.0,1200,1200,0,,,,,,
