application,repetition,multiplier,route,position,order,status,attempts,first_answer_seconds,first_cpu_seconds,first_peak_rss_mib,internal_pipeline_seconds,build_seconds,first_query_seconds,projection_seconds,read_seconds,save_seconds,whole_process_seconds,whole_process_resource,source_files_read,models
deathstarbench_social_network,0,1,full,0,"[""full"", ""projected"", ""direct""]",qualified,3600,1.609446484,2.173869,206.4375,0.9309149469999909,0.7379156849999902,0.00015690799997969407,0,0.19228086300000768,0.0005376639999781219,1.7174299419999954,"{""maximum_rss_bytes"": 216465408.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.09, ""user_seconds"": 2.17, ""wall_seconds"": 1.7}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 1200}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 1200}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 1200}}"
deathstarbench_social_network,0,1,projected,1,"[""full"", ""projected"", ""direct""]",qualified,3600,1.609113684,2.161491,206.2578125,0.9251779239999962,0.7331258630000264,9.191999998847677e-05,0.00015263800003140204,0.1914621329999875,0.00032450899999503235,1.7211429310000028,"{""maximum_rss_bytes"": 216276992.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.07, ""user_seconds"": 2.18, ""wall_seconds"": 1.7}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 1200}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 1200}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}}"
deathstarbench_social_network,0,1,direct,2,"[""full"", ""projected"", ""direct""]",qualified,3600,1.527931854,2.1007890000000002,206.390625,0.8540383849999955,0.6623011170000268,0.00010732699999493889,0,0.1912747420000187,0.000330193999985795,1.6698684019999916,"{""maximum_rss_bytes"": 216416256.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.08, ""user_seconds"": 2.11, ""wall_seconds"": 1.62}","[""requests.json"", ""native.json"", ""declarations.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 1200}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 1200}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}}"
deathstarbench_social_network,0,2,projected,0,"[""projected"", ""direct"", ""full""]",qualified,7200,2.603697645,3.186687,310.6875,1.941246972999977,1.5525550490000342,0.00010229300002606578,0.00015103199996246985,0.38803956900000003,0.0003737659999956122,2.7707654040000023,"{""maximum_rss_bytes"": 325779456.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.13, ""user_seconds"": 3.17, ""wall_seconds"": 2.72}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}}"
deathstarbench_social_network,0,2,direct,1,"[""projected"", ""direct"", ""full""]",qualified,7200,2.47449417,3.05793,310.4375,1.786911157999981,1.4043493309999917,0.00010496000004422967,0,0.38035875499997474,0.0020729750000043623,2.619031781000018,"{""maximum_rss_bytes"": 325517312.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.12, ""user_seconds"": 3.05, ""wall_seconds"": 2.59}","[""requests.json"", ""native.json"", ""declarations.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}}"
deathstarbench_social_network,0,2,full,2,"[""projected"", ""direct"", ""full""]",qualified,7200,2.657959641,3.2443989999999996,310.46875,1.9865350019999823,1.5972416289999956,0.0001711629999761044,0,0.38847525299999575,0.0006205579999800648,2.8194663570000102,"{""maximum_rss_bytes"": 325550080.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.14, ""user_seconds"": 3.22, ""wall_seconds"": 2.78}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 2400}}"
deathstarbench_social_network,0,4,direct,0,"[""direct"", ""full"", ""projected""]",qualified,14400,4.367898183,4.946311000000001,519.08984375,3.6954845740000053,2.905339693000002,0.00012731600003235144,0,0.7896270459999926,0.00036435300000903226,4.573809210000007,"{""maximum_rss_bytes"": 544305152.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.22, ""user_seconds"": 4.9, ""wall_seconds"": 4.55}","[""requests.json"", ""native.json"", ""declarations.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 4800}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}}"
deathstarbench_social_network,0,4,full,1,"[""direct"", ""full"", ""projected""]",qualified,14400,4.869496564,5.454143999999999,519.30078125,4.217793251000018,3.4233922850000056,0.00018410999999218802,0,0.7935076210000034,0.0006806250000011005,5.0754344769999875,"{""maximum_rss_bytes"": 544526336.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.22, ""user_seconds"": 5.4, ""wall_seconds"": 5.05}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 4800}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 4800}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 4800}}"
deathstarbench_social_network,0,4,projected,2,"[""direct"", ""full"", ""projected""]",qualified,14400,4.830356513,5.419117,519.140625,4.164269211000004,3.372731324,0.00011858299998834809,0.00025874899998257206,0.7907321200000013,0.0004010499999935746,5.025075354999984,"{""maximum_rss_bytes"": 544358400.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.22, ""user_seconds"": 5.37, ""wall_seconds"": 5.01}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 4800}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}}"
deathstarbench_social_network,1,2,direct,0,"[""direct"", ""full"", ""projected""]",qualified,7200,2.477996167,3.0641839999999996,310.4375,1.8063166240000044,1.4204843380000227,0.00011366900000098212,0,0.38533502799998587,0.0003585030000010647,2.6226087089999908,"{""maximum_rss_bytes"": 325517312.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.13, ""user_seconds"": 3.05, ""wall_seconds"": 2.6}","[""requests.json"", ""native.json"", ""declarations.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}}"
deathstarbench_social_network,1,2,full,1,"[""direct"", ""full"", ""projected""]",qualified,7200,2.614132768,3.1972590000000003,310.4453125,1.959633015999998,1.5758878050000362,0.00017582099999913225,0,0.3829067469999927,0.0006355270000142355,2.7734525239999925,"{""maximum_rss_bytes"": 325525504.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.13, ""user_seconds"": 3.18, ""wall_seconds"": 2.73}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 2400}}"
deathstarbench_social_network,1,2,projected,2,"[""direct"", ""full"", ""projected""]",qualified,7200,2.674007843,3.2543059999999997,310.47265625,2.0057847899999786,1.617430890999998,0.00010807200001750061,0.00015688799999225012,0.3876826319999793,0.0003787849999810078,2.819592646999979,"{""maximum_rss_bytes"": 325554176.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.13, ""user_seconds"": 3.24, ""wall_seconds"": 2.8}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 2, ""samples"": 2400}, ""read_user_timeline"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}}"
deathstarbench_social_network,1,4,full,0,"[""full"", ""projected"", ""direct""]",qualified,14400,4.875907551,5.452661,518.87109375,4.2042661899999985,3.4174510499999826,0.0001864230000023781,0,0.7859180250000009,0.0006812429999740743,5.075269093999992,"{""maximum_rss_bytes"": 544075776.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.22, ""user_seconds"": 5.41, ""wall_seconds"": 5.05}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""compose_post"": {""categories"": 5, ""coordinates"": 17, ""samples"": 4800}, ""read_home_timeline"": {""categories"": 1, ""coordinates"": 4, ""samples"": 4800}, ""read_user_timeline"": {""categories"": 4, ""coordinates"": 8, ""samples"": 4800}}"
