application,repetition,multiplier,route,operation,query_repetition,nanoseconds
deathstarbench_social_network,0,1,full,compose_post,0,27801
deathstarbench_social_network,0,1,full,read_home_timeline,0,7423
deathstarbench_social_network,0,1,full,read_user_timeline,0,9184
deathstarbench_social_network,0,1,full,compose_post,1,14167
deathstarbench_social_network,0,1,full,read_home_timeline,1,4470
deathstarbench_social_network,0,1,full,read_user_timeline,1,7925
deathstarbench_social_network,0,1,full,compose_post,2,13917
deathstarbench_social_network,0,1,full,read_home_timeline,2,3881
deathstarbench_social_network,0,1,full,read_user_timeline,2,7761
deathstarbench_social_network,0,1,full,compose_post,3,13720
deathstarbench_social_network,0,1,full,read_home_timeline,3,4359
deathstarbench_social_network,0,1,full,read_user_timeline,3,7700
deathstarbench_social_network,0,1,full,compose_post,4,13401
deathstarbench_social_network,0,1,full,read_home_timeline,4,4101
deathstarbench_social_network,0,1,full,read_user_timeline,4,7614
deathstarbench_social_network,0,1,full,compose_post,5,13277
deathstarbench_social_network,0,1,full,read_home_timeline,5,4033
deathstarbench_social_network,0,1,full,read_user_timeline,5,7753
deathstarbench_social_network,0,1,full,compose_post,6,13312
deathstarbench_social_network,0,1,full,read_home_timeline,6,3959
deathstarbench_social_network,0,1,full,read_user_timeline,6,7646
deathstarbench_social_network,0,1,full,compose_post,7,13688
deathstarbench_social_network,0,1,full,read_home_timeline,7,3920
deathstarbench_social_network,0,1,full,read_user_timeline,7,7876
deathstarbench_social_network,0,1,full,compose_post,8,13650
deathstarbench_social_network,0,1,full,read_home_timeline,8,4477
deathstarbench_social_network,0,1,full,read_user_timeline,8,7733
deathstarbench_social_network,0,1,full,compose_post,9,13453
deathstarbench_social_network,0,1,full,read_home_timeline,9,4047
deathstarbench_social_network,0,1,full,read_user_timeline,9,7551
deathstarbench_social_network,0,1,full,compose_post,10,26826
deathstarbench_social_network,0,1,full,read_home_timeline,10,5197
deathstarbench_social_network,0,1,full,read_user_timeline,10,7510
deathstarbench_social_network,0,1,full,compose_post,11,13615
deathstarbench_social_network,0,1,full,read_home_timeline,11,4080
deathstarbench_social_network,0,1,full,read_user_timeline,11,7538
deathstarbench_social_network,0,1,full,compose_post,12,13455
deathstarbench_social_network,0,1,full,read_home_timeline,12,3928
deathstarbench_social_network,0,1,full,read_user_timeline,12,7578
deathstarbench_social_network,0,1,full,compose_post,13,13010
deathstarbench_social_network,0,1,full,read_home_timeline,13,4228
deathstarbench_social_network,0,1,full,read_user_timeline,13,7561
deathstarbench_social_network,0,1,full,compose_post,14,12964
deathstarbench_social_network,0,1,full,read_home_timeline,14,4050
deathstarbench_social_network,0,1,full,read_user_timeline,14,7646
deathstarbench_social_network,0,1,full,compose_post,15,13113
deathstarbench_social_network,0,1,full,read_home_timeline,15,4249
deathstarbench_social_network,0,1,full,read_user_timeline,15,7649
deathstarbench_social_network,0,1,full,compose_post,16,13664
deathstarbench_social_network,0,1,full,read_home_timeline,16,4120
deathstarbench_social_network,0,1,full,read_user_timeline,16,7506
deathstarbench_social_network,0,1,full,compose_post,17,13310
deathstarbench_social_network,0,1,full,read_home_timeline,17,4065
deathstarbench_social_network,0,1,full,read_user_timeline,17,7524
deathstarbench_social_network,0,1,full,compose_post,18,13251
deathstarbench_social_network,0,1,full,read_home_timeline,18,3969
deathstarbench_social_network,0,1,full,read_user_timeline,18,7391
deathstarbench_social_network,0,1,full,compose_post,19,13322
deathstarbench_social_network,0,1,full,read_home_timeline,19,3998
deathstarbench_social_network,0,1,full,read_user_timeline,19,7387
deathstarbench_social_network,0,1,full,compose_post,20,12992
deathstarbench_social_network,0,1,full,read_home_timeline,20,4003
deathstarbench_social_network,0,1,full,read_user_timeline,20,7617
deathstarbench_social_network,0,1,full,compose_post,21,14180
deathstarbench_social_network,0,1,full,read_home_timeline,21,4291
deathstarbench_social_network,0,1,full,read_user_timeline,21,7879
deathstarbench_social_network,0,1,full,compose_post,22,13632
deathstarbench_social_network,0,1,full,read_home_timeline,22,4038
deathstarbench_social_network,0,1,full,read_user_timeline,22,7677
deathstarbench_social_network,0,1,full,compose_post,23,13401
deathstarbench_social_network,0,1,full,read_home_timeline,23,4048
deathstarbench_social_network,0,1,full,read_user_timeline,23,7526
deathstarbench_social_network,0,1,full,compose_post,24,13208
