application,multiplier,route,operation,queries,median_ns,min_ns,max_ns
deathstarbench_social_network,1,direct,compose_post,93,4299,4077,19104
deathstarbench_social_network,1,direct,read_home_timeline,93,3092,2864,6226
deathstarbench_social_network,1,direct,read_user_timeline,93,3760,3518,22490
deathstarbench_social_network,1,full,compose_post,93,13321,12865,28896
deathstarbench_social_network,1,full,read_home_timeline,93,4047,3823,7588
deathstarbench_social_network,1,full,read_user_timeline,93,7526,7160,9184
deathstarbench_social_network,1,projected,compose_post,93,4303,3889,18180
deathstarbench_social_network,1,projected,read_home_timeline,93,3045,2819,5957
deathstarbench_social_network,1,projected,read_user_timeline,93,3738,3488,5312
deathstarbench_social_network,2,direct,compose_post,93,4305,4018,34121
deathstarbench_social_network,2,direct,read_home_timeline,93,3070,2801,7172
deathstarbench_social_network,2,direct,read_user_timeline,93,3806,3522,5991
deathstarbench_social_network,2,full,compose_post,93,13045,12535,37420
deathstarbench_social_network,2,full,read_home_timeline,93,4014,3779,15522
deathstarbench_social_network,2,full,read_user_timeline,93,7518,7111,27686
deathstarbench_social_network,2,projected,compose_post,93,4410,4125,26416
deathstarbench_social_network,2,projected,read_home_timeline,93,3123,2900,23554
deathstarbench_social_network,2,projected,read_user_timeline,93,3846,3631,5416
deathstarbench_social_network,4,direct,compose_post,93,4355,4083,16086
deathstarbench_social_network,4,direct,read_home_timeline,93,3093,2849,6607
deathstarbench_social_network,4,direct,read_user_timeline,93,3863,3576,6093
deathstarbench_social_network,4,full,compose_post,93,13205,12608,29041
deathstarbench_social_network,4,full,read_home_timeline,93,4052,3857,7367
deathstarbench_social_network,4,full,read_user_timeline,93,7464,7118,27226
deathstarbench_social_network,4,projected,compose_post,93,4294,3952,13641
deathstarbench_social_network,4,projected,read_home_timeline,93,3044,2823,5991
deathstarbench_social_network,4,projected,read_user_timeline,93,3788,3557,5444
opentelemetry_demo,1,direct,add_to_cart,93,5127,4807,18307
opentelemetry_demo,1,direct,browse_product,93,5238,4777,20991
opentelemetry_demo,1,direct,checkout,93,5809,5508,8433
opentelemetry_demo,1,full,add_to_cart,93,13160,12609,43834
opentelemetry_demo,1,full,browse_product,93,11897,11477,18778
opentelemetry_demo,1,full,checkout,93,34782,33549,57495
opentelemetry_demo,1,projected,add_to_cart,93,5137,4747,34611
opentelemetry_demo,1,projected,browse_product,93,5257,4807,10135
opentelemetry_demo,1,projected,checkout,93,5848,5398,21732
opentelemetry_demo,2,direct,add_to_cart,93,5218,4877,28372
opentelemetry_demo,2,direct,browse_product,93,5298,4927,10286
opentelemetry_demo,2,direct,checkout,93,5899,5538,9063
opentelemetry_demo,2,full,add_to_cart,93,13380,12819,33329
opentelemetry_demo,2,full,browse_product,93,12118,11547,18748
opentelemetry_demo,2,full,checkout,93,35272,34241,56884
opentelemetry_demo,2,projected,add_to_cart,93,5187,4717,18528
opentelemetry_demo,2,projected,browse_product,93,5227,4737,22704
opentelemetry_demo,2,projected,checkout,93,5808,5518,28853
opentelemetry_demo,4,direct,add_to_cart,93,5278,4807,21632
opentelemetry_demo,4,direct,browse_product,93,5368,4867,28843
opentelemetry_demo,4,direct,checkout,93,5829,5438,8583
opentelemetry_demo,4,full,add_to_cart,93,13500,12748,36013
opentelemetry_demo,4,full,browse_product,93,12118,11377,20230
opentelemetry_demo,4,full,checkout,93,34781,33249,56944
opentelemetry_demo,4,projected,add_to_cart,93,5267,4828,19118
opentelemetry_demo,4,projected,browse_product,93,5298,4797,27491
opentelemetry_demo,4,projected,checkout,93,5908,5468,8032
spring_petclinic_microservices,1,direct,create_visit,93,5831,5510,22091
spring_petclinic_microservices,1,direct,list_owners,93,4268,4038,26710
spring_petclinic_microservices,1,direct,list_vets,93,4128,3977,6142
spring_petclinic_microservices,1,direct,owner_details_with_visits,93,6011,5530,8596
spring_petclinic_microservices,1,full,create_visit,93,12763,11973,30837
spring_petclinic_microservices,1,full,list_owners,93,5520,5129,10370
spring_petclinic_microservices,1,full,list_vets,93,5190,4920,7675
spring_petclinic_microservices,1,full,owner_details_with_visits,93,13034,12343,35085
spring_petclinic_microservices,1,projected,create_visit,93,5891,5561,27211
spring_petclinic_microservices,1,projected,list_owners,93,4278,4078,8826
spring_petclinic_microservices,1,projected,list_vets,93,4187,4058,6232
spring_petclinic_microservices,1,projected,owner_details_with_visits,93,6032,5661,32090
spring_petclinic_microservices,2,direct,create_visit,93,5891,5440,26690
spring_petclinic_microservices,2,direct,list_owners,93,4248,3928,8806
spring_petclinic_microservices,2,direct,list_vets,93,4128,3887,6382
spring_petclinic_microservices,2,direct,owner_details_with_visits,93,6042,5520,8746
spring_petclinic_microservices,2,full,create_visit,93,12603,12133,33041
spring_petclinic_microservices,2,full,list_owners,93,5490,5189,10981
spring_petclinic_microservices,2,full,list_vets,93,5229,4959,25548
spring_petclinic_microservices,2,full,owner_details_with_visits,93,12904,12473,50915
spring_petclinic_microservices,2,projected,create_visit,93,5761,5500,20890
spring_petclinic_microservices,2,projected,list_owners,93,4187,3967,8556
spring_petclinic_microservices,2,projected,list_vets,93,4088,3908,5951
spring_petclinic_microservices,2,projected,owner_details_with_visits,93,5851,5580,11972
spring_petclinic_microservices,4,direct,create_visit,93,5911,5480,32671
spring_petclinic_microservices,4,direct,list_owners,93,4259,3948,30957
spring_petclinic_microservices,4,direct,list_vets,93,4158,3817,28082
spring_petclinic_microservices,4,direct,owner_details_with_visits,93,6011,5650,9247
spring_petclinic_microservices,4,full,create_visit,93,12753,12042,50143
spring_petclinic_microservices,4,full,list_owners,93,5580,5050,11161
spring_petclinic_microservices,4,full,list_vets,93,5290,4809,7965
spring_petclinic_microservices,4,full,owner_details_with_visits,93,13064,12263,42149
spring_petclinic_microservices,4,projected,create_visit,93,5730,5359,18985
